effective_date,bp,direction,target_upper
2015-12-16,25,hike,0.5
2016-12-14,25,hike,0.75
2017-03-16,25,hike,1.0
2017-06-15,25,hike,1.25
2017-12-14,25,hike,1.5
2018-03-22,25,hike,1.75
2018-06-14,25,hike,2.0
2018-09-27,25,hike,2.25
2018-12-20,25,hike,2.5
2019-08-01,-25,cut,2.25
2019-09-19,-25,cut,2.0
2019-10-31,-25,cut,1.75
2020-03-04,-50,cut,1.25
2020-03-16,-100,cut,0.25
2022-03-17,25,hike,0.5
2022-05-05,50,hike,1.0
2022-06-16,75,hike,1.75
2022-07-28,75,hike,2.5
2022-09-22,75,hike,3.25
2022-11-03,75,hike,4.0
2022-12-15,50,hike,4.5
2023-02-02,25,hike,4.75
2023-03-23,25,hike,5.0
2023-05-04,25,hike,5.25
2023-07-27,25,hike,5.5
2024-09-19,-50,cut,5.0
2024-11-08,-25,cut,4.75
2024-12-19,-25,cut,4.5
2025-09-18,-25,cut,4.25
2025-10-30,-25,cut,4.0
2025-12-11,-25,cut,3.75
