period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,1.88,,,0.37,5.14,,,
2006-06-30,1.71,,,0.39,4.39,,,
2006-09-30,2.3,,,0.42,5.52,,,
2006-12-31,2.54,0.1,25.74,0.47,5.44,0.84,3.02,
2007-03-31,2.78,0.11,24.61,0.51,5.49,0.87,3.18,
2007-06-30,3.65,0.13,28.86,0.55,6.63,0.91,4.0,
2007-09-30,4.59,0.14,32.69,0.6,7.71,0.99,4.64,
2007-12-31,5.92,0.16,36.44,0.68,8.67,1.08,5.47,
2008-03-31,4.29,0.17,24.82,0.73,5.87,1.17,3.67,
2008-06-30,5.01,0.18,27.44,0.79,6.33,1.25,4.01,
2008-09-30,3.4,0.24,14.04,0.9,3.79,1.49,2.29,
2008-12-31,2.55,0.27,9.5,0.92,2.78,1.58,1.62,
2009-03-31,3.14,0.29,10.8,0.97,3.23,1.64,1.92,
2009-06-30,4.26,0.32,13.3,1.03,4.13,1.72,2.47,
2009-09-30,5.54,0.32,17.09,1.26,4.41,1.69,3.27,
2009-12-31,6.3,0.37,17.22,1.41,4.47,1.83,3.44,
2010-03-31,7.03,0.42,16.69,1.54,4.55,1.99,3.52,
2010-06-30,7.52,0.47,15.85,1.69,4.46,2.22,3.39,
2010-09-30,8.49,0.54,15.68,1.86,4.55,2.52,3.37,
2010-12-31,9.65,0.64,15.08,2.12,4.55,2.94,3.29,
2011-03-31,10.42,0.75,13.91,2.37,4.39,3.36,3.11,
2011-06-30,10.04,0.9,11.13,2.67,3.76,3.84,2.62,
2011-09-30,11.41,0.99,11.54,2.94,3.87,4.13,2.76,
2011-12-31,12.11,1.25,9.66,3.45,3.51,4.86,2.49,
2012-03-31,17.93,1.47,12.24,3.92,4.58,5.4,3.32,
2012-06-30,17.47,1.52,11.49,4.26,4.1,5.64,3.1,
2012-09-30,20.04,1.58,12.7,4.5,4.46,5.92,3.39,
2012-12-31,16.06,1.58,10.19,4.84,3.32,6.22,2.58,
2013-03-31,13.44,1.5,8.98,5.15,2.61,6.38,2.11,
2013-06-30,12.11,1.43,8.47,4.85,2.5,6.43,1.89,
2013-09-30,14.66,1.42,10.33,4.91,2.99,6.5,2.25,
2013-12-31,17.35,1.44,12.02,5.19,3.34,6.73,2.58,
2014-03-31,16.7,1.5,11.14,4.98,3.35,6.94,2.41,
2014-06-30,20.36,1.55,13.12,5.05,4.03,7.12,2.86,
2014-09-30,22.18,1.61,13.75,4.75,4.67,7.4,3.0,
2014-12-31,24.4,1.86,13.12,5.29,4.61,8.29,2.94,
2015-03-31,27.62,2.03,13.62,5.6,4.93,8.92,3.1,
2015-06-30,27.96,2.17,12.88,5.51,5.08,9.52,2.94,
2015-09-30,24.7,2.31,10.71,5.35,4.62,10.03,2.46,
2015-12-31,23.67,2.36,10.03,5.78,4.09,10.25,2.31,
2016-03-31,24.64,2.25,10.94,5.95,4.14,10.04,2.45,
2016-06-30,21.74,2.15,10.14,5.87,3.71,9.83,2.21,
2016-09-30,25.85,2.08,12.44,6.01,4.3,9.74,2.66,
2016-12-31,26.62,2.1,12.69,6.3,4.23,10.02,2.66,
2017-03-31,33.16,2.15,15.44,6.44,5.15,10.25,3.23,
2017-06-30,33.39,2.21,15.11,6.4,5.21,10.49,3.18,
2017-09-30,35.87,2.3,15.58,6.54,5.49,10.86,3.3,
2017-12-31,39.52,2.44,16.23,6.9,5.73,11.46,3.45,
2018-03-31,39.35,2.59,15.18,6.42,6.13,11.97,3.29,
2018-06-30,43.58,2.76,15.79,5.93,7.34,12.5,3.49,
2018-09-30,53.33,2.98,17.9,5.63,9.47,13.14,4.06,
2018-12-31,37.39,3.05,12.25,6.23,6.0,13.28,2.82,
2019-03-31,45.22,2.99,15.15,5.74,7.87,13.35,3.39,
2019-06-30,47.3,2.95,16.06,5.32,8.89,13.57,3.49,
2019-09-30,53.73,2.97,18.09,5.09,10.55,13.87,3.87,
2019-12-31,70.66,3.18,22.25,5.1,13.84,14.61,4.84,
2020-03-31,61.33,3.2,19.17,4.53,13.53,14.83,4.14,
2020-06-30,88.23,3.31,26.69,4.22,20.92,15.33,5.75,
2020-09-30,112.24,3.28,34.22,3.85,29.16,15.58,7.2,
2020-12-31,128.82,3.71,34.72,3.94,32.72,16.94,7.6,
2021-03-31,118.76,4.47,26.57,4.15,28.65,18.92,6.28,
2021-06-30,133.39,5.12,26.05,3.88,34.36,20.35,6.56,
2021-09-25,,,,,,,,26.67
2021-09-30,138.02,5.61,24.6,3.84,35.93,21.6,6.39,
2021-12-25,,,,,,,,30.88
2021-12-31,173.45,6.03,28.76,4.4,39.4,22.59,7.68,
2022-03-26,,,,,,,,27.97
2022-03-31,170.78,6.15,27.77,4.16,41.07,23.23,7.35,
2022-06-25,,,,,,,,23.03
2022-06-30,133.91,6.05,22.13,3.61,37.09,23.48,5.7,
2022-09-24,,,,,,,,24.27
2022-09-30,135.55,6.11,22.19,3.18,42.65,24.06,5.63,
2022-12-31,127.65,5.89,21.67,3.58,35.65,23.9,5.34,20.98
2023-03-31,162.26,5.89,27.55,3.95,41.04,23.95,6.77,
2023-04-01,,,,,,,,26.57
2023-06-30,191.12,5.95,32.12,3.85,49.62,24.03,7.95,
2023-07-01,,,,,,,,30.81
2023-09-30,168.93,6.13,27.56,4.0,42.27,24.17,6.99,26.72
2023-12-30,,,,,,,,29.28
2023-12-31,190.21,6.43,29.58,4.79,39.69,24.51,7.76,
2024-03-30,,,,,,,,25.67
2024-03-31,169.63,6.44,26.34,4.84,35.07,24.39,6.95,
2024-06-29,,,,,,,,30.63
2024-06-30,208.63,6.58,31.71,4.38,47.61,24.79,8.41,
2024-09-28,,,,,,,,31.48
2024-09-30,231.07,6.08,38.0,3.77,61.33,25.29,9.13,
2024-12-28,,,,,,,,34.57
2024-12-31,248.62,6.3,39.46,4.44,56.01,25.82,9.63,
2025-03-29,,,,,,,,28.96
2025-03-31,220.77,6.42,34.39,4.47,49.38,26.29,8.4,
2025-06-28,,,,,,,,27.72
2025-06-30,204.18,6.59,30.98,4.43,46.08,26.99,7.57,
2025-09-27,,,,,,,,32.97
2025-09-30,253.69,7.46,34.01,4.99,50.83,27.66,9.17,
2025-12-27,,,,,,,,33.06
2025-12-31,271.12,7.9,34.32,6.0,45.2,29.16,9.3,
2026-03-28,,,,,,,,28.99
2026-03-31,253.34,8.26,30.67,7.26,34.89,30.38,8.34,
2026-06-27,,,,,,,,31.15
2026-06-30,289.11,8.71,33.19,7.36,39.28,31.52,9.17,
2026-09-14,333.08,,38.24,,45.26,,10.57,36.18
