period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2012-12-31,19.86,,,,0.0,,,
2013-03-31,23.99,,,1.87,12.85,,,
2013-06-30,24.54,,,2.24,10.93,,,
2013-09-30,26.8,2.84,9.44,2.25,11.9,11.82,2.27,
2013-12-31,31.92,2.56,12.47,2.83,11.28,11.7,2.73,
2014-03-31,31.32,2.57,12.19,2.95,10.6,11.84,2.64,
2014-06-30,34.7,2.59,13.4,3.28,10.58,11.99,2.89,
2014-09-30,35.78,2.3,15.55,2.92,12.27,12.2,2.93,
2014-12-31,40.84,1.1,37.12,1.09,37.31,12.4,3.29,
2015-03-31,36.8,1.12,32.86,0.86,42.58,12.7,2.9,
2015-06-30,42.59,1.27,33.54,3.33,12.81,12.99,3.28,
2015-09-30,34.75,1.7,20.44,2.97,11.68,13.45,2.58,
2015-12-31,38.18,3.13,12.2,2.45,15.58,13.97,2.73,
2016-03-31,37.2,3.33,11.17,2.87,12.96,14.5,2.57,
2016-06-30,40.71,3.48,11.7,3.46,11.75,15.1,2.7,
2016-09-30,41.84,3.71,11.28,3.98,10.51,15.45,2.71,
2016-12-31,41.92,3.63,11.55,2.91,14.4,15.71,2.67,
2017-03-31,44.06,3.86,11.41,3.14,14.03,16.12,2.73,
2017-06-30,49.52,4.07,12.17,3.77,13.13,16.51,3.0,
2017-09-30,61.23,4.11,14.9,4.19,14.61,16.95,3.61,
2017-12-31,67.1,3.3,20.33,3.2,20.96,17.61,3.81,
2018-03-31,66.15,3.98,16.62,2.24,29.54,18.5,3.57,
2018-06-30,65.42,4.05,16.15,-2.23,-29.35,19.43,3.37,
2018-09-30,67.46,4.85,13.91,-1.94,-34.74,20.5,3.29,
2018-12-31,66.46,3.66,18.16,-5.69,-11.68,21.05,3.16,
2019-03-31,58.81,3.57,16.47,-5.29,-11.11,21.35,2.75,
2019-06-30,53.77,2.8,19.2,-5.79,-9.28,21.65,2.48,
2019-09-30,56.84,2.25,25.26,-5.56,-10.22,21.93,2.59,
2019-12-31,67.44,5.28,12.77,-5.53,-12.2,22.42,3.01,
2020-03-31,58.81,5.65,10.41,-5.02,-11.71,22.95,2.56,
2020-06-30,76.92,4.7,16.37,8.35,9.21,23.72,3.24,
2020-09-30,69.46,4.73,14.69,8.66,8.02,25.28,2.75,
2020-12-31,86.13,2.72,31.67,7.42,11.61,27.69,3.11,
2021-03-31,88.01,2.69,32.72,7.78,11.32,29.22,3.01,
2021-06-30,92.72,3.57,25.97,7.13,13.01,30.75,3.02,
2021-09-30,89.78,4.06,22.11,7.68,11.69,31.54,2.85,8.24
2021-12-31,114.06,6.45,17.68,8.73,13.07,31.64,3.61,10.04
2022-03-31,137.98,6.97,19.8,9.23,14.94,31.92,4.32,11.43
2022-06-30,131.47,7.06,18.62,8.31,15.82,32.27,4.07,10.88
2022-09-30,116.28,7.49,15.52,9.06,12.83,32.54,3.57,9.96
2022-12-31,141.44,6.63,21.33,9.77,14.48,32.67,4.33,12.72
2023-03-31,140.81,4.25,33.13,7.54,18.67,31.94,4.41,14.3
2023-06-30,120.13,4.88,24.62,7.31,16.44,31.56,3.81,12.15
2023-09-30,134.38,3.67,36.62,6.87,19.56,31.08,4.32,13.59
2023-12-31,141.11,2.72,51.88,5.89,23.97,30.64,4.61,13.96
2024-03-31,167.4,3.36,49.82,4.56,36.73,30.7,5.45,16.26
2024-06-30,159.14,2.99,53.23,3.86,41.2,31.04,5.13,14.7
2024-09-30,184.91,2.87,64.43,3.44,53.82,31.34,5.9,16.93
2024-12-31,167.73,2.39,70.18,1.91,88.02,31.79,5.28,14.81
2025-03-31,199.63,2.34,85.31,0.83,241.19,32.37,6.17,17.06
2025-06-30,178.49,2.09,85.4,-0.08,-2285.44,32.92,5.42,16.52
2025-09-30,224.57,1.31,171.43,-1.47,-152.71,33.66,6.67,17.53
2025-12-31,223.21,2.36,94.58,-1.83,-122.25,34.51,6.47,16.57
2026-03-31,214.18,2.03,105.51,-3.74,-57.23,35.44,6.04,14.96
2026-06-30,249.86,3.54,70.58,-3.33,-74.99,36.33,6.88,16.85
2026-09-14,261.77,,73.95,,0.0,,7.21,
2026-09-15,,,,,,,,17.25
