period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,12.73,,,9.46,1.34,,,
2006-06-30,13.16,,,9.94,1.32,,,
2006-09-30,14.75,,,10.19,1.45,,,
2006-12-31,14.89,1.12,13.29,9.14,1.63,14.62,1.02,
2007-03-31,17.16,1.01,16.99,9.3,1.85,15.46,1.11,
2007-06-30,16.56,1.24,13.35,9.92,1.67,15.95,1.04,
2007-09-30,16.68,1.24,13.45,10.1,1.65,16.43,1.02,
2007-12-31,17.58,2.31,7.61,11.5,1.53,16.62,1.06,
2008-03-31,17.36,2.46,7.06,11.65,1.49,17.14,1.01,
2008-06-30,16.78,2.68,6.26,12.3,1.36,17.77,0.94,
2008-09-30,18.36,2.91,6.31,12.47,1.47,18.47,0.99,
2008-12-31,17.14,3.12,5.49,11.28,1.52,18.93,0.91,
2009-03-31,15.43,3.44,4.49,11.64,1.33,18.91,0.82,
2009-06-30,15.35,3.42,4.49,12.89,1.19,19.04,0.81,
2009-09-30,16.29,3.68,4.43,13.82,1.18,19.24,0.85,
2009-12-31,17.92,3.69,4.86,14.95,1.2,19.8,0.91,
2010-03-31,17.62,3.41,5.17,13.61,1.29,20.42,0.86,
2010-06-30,15.77,3.41,4.63,12.95,1.22,21.27,0.74,
2010-09-30,17.78,3.03,5.87,13.9,1.28,21.85,0.81,
2010-12-31,16.44,2.96,5.55,14.72,1.12,22.61,0.73,
2011-03-31,16.99,2.87,5.92,15.9,1.07,23.48,0.72,
2011-06-30,18.4,3.27,5.63,17.01,1.08,23.93,0.77,
2011-09-30,18.04,2.89,6.24,15.85,1.14,24.61,0.73,
2011-12-31,20.02,2.99,6.7,15.62,1.28,24.78,0.81,
2012-03-31,22.01,3.22,6.84,16.23,1.36,22.3,0.99,
2012-06-30,23.35,3.07,7.61,15.66,1.49,19.51,1.2,
2012-09-30,25.03,4.09,6.12,17.15,1.46,16.55,1.51,
2012-12-31,24.08,3.72,6.47,17.01,1.42,11.97,2.01,
2013-03-31,27.18,3.28,8.29,14.55,1.87,12.04,2.26,
2013-06-30,26.94,2.5,10.78,14.43,1.87,12.15,2.22,
2013-09-30,25.74,1.9,13.55,15.38,1.67,11.93,2.16,
2013-12-31,29.85,1.62,18.43,16.32,1.83,12.47,2.39,
2014-03-31,30.16,1.52,19.84,15.64,1.93,12.15,2.48,
2014-06-30,32.22,1.52,21.2,15.76,2.04,12.03,2.68,
2014-09-30,32.94,1.27,25.94,15.27,2.16,12.29,2.68,
2014-12-31,35.85,1.49,24.06,14.35,2.5,13.26,2.7,
2015-03-31,37.09,2.76,13.44,14.77,2.51,13.41,2.76,
2015-06-30,39.49,2.98,13.25,15.52,2.55,13.52,2.92,
2015-09-30,32.52,3.0,10.84,14.22,2.29,13.6,2.39,
2015-12-31,36.52,2.92,12.51,14.48,2.52,13.53,2.7,
2016-03-31,34.23,1.62,21.13,14.19,2.41,13.6,2.52,
2016-06-30,32.36,1.51,21.43,14.15,2.29,13.76,2.35,
2016-09-30,35.03,0.91,38.5,14.19,2.47,13.93,2.51,
2016-12-31,32.02,0.94,34.06,14.07,2.28,14.08,2.27,
2017-03-31,37.26,0.97,38.41,18.18,2.05,14.44,2.58,
2017-06-30,41.03,0.72,56.99,18.3,2.24,14.63,2.8,
2017-09-30,45.29,1.28,35.39,18.51,2.45,14.94,3.03,
2017-12-31,48.68,0.27,180.29,17.84,2.73,15.68,3.1,
2018-03-31,51.35,0.26,197.52,18.02,2.85,16.21,3.17,
2018-06-30,52.52,0.51,102.99,17.54,2.99,16.81,3.12,
2018-09-30,63.46,0.49,129.51,17.59,3.61,17.24,3.68,
2018-12-31,62.83,1.33,47.24,17.5,3.59,17.29,3.63,
2019-03-31,69.76,1.48,47.13,17.65,3.95,17.34,4.02,
