period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,24.54,,,10.13,2.42,,,
2006-04-30,23.47,,,10.09,2.33,,,
2006-07-31,20.11,,,10.34,1.95,,,
2006-10-31,19.91,1.48,13.45,10.05,1.98,6.0,3.32,
2007-01-31,20.59,1.6,12.87,9.77,2.11,6.16,3.34,
2007-04-30,24.4,1.58,15.44,9.37,2.6,6.22,3.92,
2007-07-31,22.51,1.56,14.43,8.15,2.76,6.31,3.57,
2007-10-31,21.35,1.5,14.23,7.7,2.77,7.32,2.92,
2008-01-31,18.21,2.28,7.98,7.96,2.29,7.54,2.41,
2008-04-30,20.81,2.36,8.82,7.94,2.62,7.98,2.61,
2008-07-31,19.83,2.46,8.06,8.23,2.41,8.33,2.38,
2008-10-31,13.98,2.65,5.28,8.31,1.68,8.67,1.61,
2009-01-31,13.24,1.52,8.71,8.25,1.61,8.29,1.6,
2009-04-30,14.26,1.25,11.41,8.31,1.72,7.72,1.85,
2009-07-31,18.5,1.0,18.5,8.43,2.19,7.16,2.58,
2009-10-31,17.44,0.85,20.52,8.67,2.01,6.89,2.53,
2010-01-31,18.47,1.16,15.92,9.29,1.99,7.23,2.55,
2010-04-30,20.64,1.53,13.49,9.7,2.13,7.8,2.65,
2010-07-31,20.65,1.96,10.54,10.18,2.03,8.47,2.44,
2010-10-31,23.58,2.33,10.12,10.71,2.2,9.03,2.61,
2011-01-31,27.36,2.65,10.33,11.23,2.44,9.41,2.91,
2011-04-30,28.57,2.88,9.92,11.95,2.39,9.78,2.92,
2011-07-31,24.53,2.94,8.34,12.41,1.98,9.89,2.48,
2011-10-31,26.28,2.81,9.35,12.74,2.06,9.69,2.71,
2012-01-31,28.33,2.55,11.11,12.9,2.2,9.45,3.0,
2012-04-30,28.45,2.3,12.37,13.16,2.16,9.11,3.12,
2012-07-31,28.75,2.15,13.37,13.48,2.13,8.89,3.23,
2012-10-31,29.0,2.13,13.62,13.82,2.1,8.83,3.28,
2013-01-31,32.59,2.09,15.59,14.13,2.31,8.72,3.74,
2013-04-30,33.1,2.08,15.92,14.47,2.29,8.62,3.84,
2013-07-31,37.44,2.08,18.0,14.94,2.51,8.52,4.4,
2013-10-31,37.66,2.14,17.6,15.24,2.47,8.41,4.48,
2014-01-31,37.13,2.2,16.88,15.34,2.42,8.38,4.43,
2014-04-30,39.74,2.27,17.51,15.7,2.53,8.45,4.7,
2014-07-31,38.72,2.28,16.98,15.94,2.43,8.6,4.5,
2014-10-31,39.0,1.98,19.7,15.29,2.55,9.0,4.33,
2015-01-31,41.23,2.07,19.92,15.42,2.67,9.47,4.35,
2015-04-30,49.26,2.13,23.13,15.83,3.11,9.88,4.99,
2015-07-31,46.75,2.24,20.87,16.15,2.89,10.31,4.53,
2015-10-31,48.56,2.2,22.07,16.26,2.99,10.84,4.48,
2016-01-31,43.79,2.15,20.37,16.11,2.72,10.84,4.04,
2016-04-30,46.17,2.05,22.52,15.86,2.91,10.74,4.3,
2016-07-31,52.71,2.11,24.98,16.21,3.25,10.83,4.87,
2016-10-31,53.28,2.76,19.3,16.76,3.18,10.95,4.86,
2017-01-31,62.64,2.93,21.38,17.16,3.65,11.65,5.38,
2017-04-30,64.04,2.65,24.17,27.16,2.36,12.48,5.13,
2017-07-31,66.78,2.09,31.95,26.99,2.47,13.54,4.93,
2017-10-31,77.59,2.29,33.88,27.57,2.81,15.12,5.13,
2018-01-31,78.5,2.38,32.98,27.98,2.81,16.17,4.86,
2018-04-30,75.01,3.17,23.66,28.54,2.63,17.02,4.41,
2018-07-31,82.95,4.07,20.38,29.21,2.84,17.3,4.8,
2018-10-31,72.58,4.0,18.14,30.44,2.38,16.6,4.37,
2019-01-31,86.17,4.17,20.66,31.46,2.74,16.55,5.21,
2019-04-30,101.84,4.09,24.9,31.76,3.21,16.47,6.18,
2019-07-31,103.48,3.98,26.0,31.92,3.24,16.29,6.35,
2019-10-31,94.41,3.65,25.87,31.79,2.97,16.06,5.88,
2020-01-31,97.63,3.25,30.04,31.75,3.08,15.43,6.33,
2020-04-30,98.03,2.99,32.79,31.46,3.12,14.89,6.58,
2020-07-31,103.28,2.99,34.54,31.9,3.24,14.83,6.96,
2020-10-31,107.14,3.28,32.67,32.47,3.3,15.07,7.11,
2021-01-31,133.77,3.77,35.48,32.77,4.08,15.74,8.5,
2021-04-30,139.66,4.19,33.33,32.99,4.23,16.66,8.38,
2021-07-31,153.31,4.57,33.55,33.31,4.6,17.47,8.77,
2021-10-30,,,,,,,,24.69
2021-10-31,159.53,3.46,46.11,72.32,2.21,19.2,8.31,
2022-01-29,,,,,,,,20.95
2022-01-31,151.36,2.95,51.31,71.52,2.12,20.08,7.54,
2022-04-30,143.2,3.3,43.39,71.37,2.01,21.27,6.73,17.76
2022-07-30,,,,,,,,17.62
2022-07-31,160.25,3.39,47.27,71.23,2.25,22.52,7.12,
2022-10-29,,,,,,,,15.13
2022-10-31,133.55,5.25,25.44,71.6,1.87,22.89,5.83,
2023-01-28,,,,,,,,17.52
2023-01-31,161.28,6.6,24.44,72.22,2.23,24.19,6.67,
2023-04-29,,,,,,,,17.1
2023-04-30,169.98,7.03,24.18,71.82,2.37,24.95,6.81,
2023-07-29,,,,,,,,20.56
2023-07-31,189.45,7.33,25.85,72.05,2.63,25.09,7.55,
2023-10-28,,,,,,,,20.13
2023-10-31,150.09,6.55,22.91,71.67,2.09,24.25,6.19,
2024-01-31,184.37,5.6,32.92,71.68,2.57,22.93,8.04,
2024-02-03,,,,,,,,27.21
2024-04-30,193.18,4.29,45.03,71.04,2.72,20.85,9.27,
2024-05-04,,,,,,,,34.25
2024-07-31,223.7,3.34,66.98,70.88,3.16,19.37,11.55,
2024-08-03,,,,,,,,30.57
2024-10-31,216.62,3.28,66.04,70.88,3.06,18.9,11.46,
2024-11-02,,,,,,,,32.39
2025-01-31,206.6,3.13,66.0,70.71,2.92,18.72,11.03,
2025-02-01,,,,,,,,29.8
2025-04-30,190.88,3.66,52.15,70.55,2.71,19.69,9.69,
2025-05-03,,,,,,,,26.68
2025-07-31,220.97,3.91,56.51,69.29,3.19,20.86,10.59,
2025-08-02,,,,,,,,27.34
2025-10-31,231.24,4.56,50.71,69.06,3.35,22.15,10.44,
2025-11-01,,,,,,,,25.59
2026-01-31,308.12,5.47,56.33,69.21,4.45,23.72,12.99,31.13
2026-04-30,399.94,6.73,59.43,69.27,5.77,25.81,15.5,
2026-05-02,,,,,,,,33.12
2026-07-31,366.29,8.43,43.45,69.24,5.29,28.24,12.97,
2026-08-01,,,,,,,,26.2
2026-09-14,361.02,,42.83,,5.21,,12.79,22.69
