period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2024-03-31,74.19,,,5.2,14.26,,,134.89
2024-06-30,60.51,,,5.4,11.21,,,128.39
2024-09-30,52.39,,,5.61,9.34,,,72.68
2024-12-31,132.45,-0.64,0.0,5.95,22.24,3.53,37.49,121.76
2025-03-31,59.67,1.31,45.55,6.32,9.45,3.19,18.73,47.33
2025-06-30,90.42,1.65,54.8,6.83,13.23,3.77,23.99,65.88
2025-09-30,195.8,2.2,89.0,7.53,26.0,4.32,45.28,113.61
2025-12-31,166.36,1.22,136.36,8.01,20.76,4.76,34.98,76.61
2026-03-31,109.6,1.48,74.05,8.72,12.57,5.56,19.7,44.46
2026-06-30,483.02,2.02,239.12,9.95,48.56,6.63,72.9,142.79
2026-09-14,257.04,,127.25,,25.84,,38.79,45.81
