period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,13.82,,,5.46,2.53,,,
2006-04-30,13.05,,,5.51,2.37,,,
2006-07-31,11.49,,,5.65,2.03,,,
2006-10-31,12.72,0.97,13.11,4.78,2.66,5.81,2.19,
2007-01-31,13.0,1.17,11.11,4.99,2.61,6.27,2.07,
2007-04-30,14.13,1.2,11.78,5.09,2.78,6.65,2.12,
2007-07-31,16.25,1.21,13.43,5.36,3.03,6.84,2.38,
2007-10-31,14.36,1.2,11.97,5.64,2.54,6.89,2.08,
2008-01-31,13.29,1.1,12.09,5.51,2.41,6.78,1.96,
2008-04-30,13.89,1.03,13.48,5.69,2.44,6.55,2.12,
2008-07-31,12.93,0.81,15.96,5.62,2.3,6.08,2.13,
2008-10-31,9.67,0.7,13.81,5.67,1.7,5.91,1.64,
2009-01-31,7.06,0.41,17.21,5.53,1.27,5.41,1.3,
2009-04-30,9.25,0.0,0.0,5.32,1.74,4.61,2.01,
2009-07-31,10.51,-0.16,0.0,5.26,2.0,4.11,2.56,
2009-10-31,9.33,-0.23,0.0,5.29,1.76,3.76,2.48,
2010-01-31,9.36,-0.07,0.0,5.32,1.76,4.13,2.27,
2010-04-30,10.64,0.32,33.25,5.45,1.95,5.06,2.1,
2010-07-31,9.16,0.45,20.36,5.45,1.68,6.08,1.51,
2010-10-31,9.65,0.7,13.78,5.67,1.7,7.07,1.36,
2011-01-31,12.33,1.02,12.09,5.94,2.07,7.72,1.6,
2011-04-30,12.38,1.19,10.4,6.21,1.99,8.16,1.52,
2011-07-31,9.78,1.46,6.7,6.49,1.51,8.39,1.17,
2011-10-31,9.85,1.45,6.79,6.74,1.46,7.9,1.25,
2012-01-31,9.89,1.16,8.53,6.7,1.48,7.55,1.31,
2012-04-30,9.72,1.01,9.62,6.79,1.43,7.36,1.32,
2012-07-31,8.9,0.82,10.85,6.74,1.32,7.11,1.25,
2012-10-31,8.73,0.09,96.97,6.04,1.44,6.76,1.29,
2013-01-31,10.72,0.03,357.49,5.95,1.8,6.39,1.68,
2013-04-30,12.13,-0.3,0.0,5.74,2.11,6.07,2.0,
2013-07-31,13.74,-0.33,0.0,5.78,2.38,5.85,2.35,
