period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,33.16,,,9.74,3.4,,,
2006-06-30,24.42,,,9.99,2.44,,,
2006-09-30,24.85,,,10.29,2.41,,,
2006-12-31,20.35,-0.34,0.0,10.58,1.92,11.35,1.79,
2007-03-31,13.06,-1.83,0.0,9.46,1.38,10.91,1.2,
2007-06-30,14.3,-3.1,0.0,8.09,1.77,10.85,1.32,
2007-09-30,13.2,-4.08,0.0,7.43,1.78,10.99,1.2,
2007-12-31,7.5,-6.08,0.0,4.93,1.52,10.58,0.71,
2008-03-31,5.89,-5.57,0.0,4.35,1.35,10.79,0.55,
2008-06-30,5.83,-6.45,0.0,2.43,2.4,10.66,0.55,
2008-09-30,5.25,-5.96,0.0,2.2,2.38,10.8,0.49,
2008-12-31,2.16,-5.15,0.0,0.21,10.36,9.57,0.23,
2009-03-31,3.05,-5.21,0.0,-0.24,-12.48,8.99,0.34,
2009-06-30,3.87,-3.73,0.0,-0.7,-5.56,8.53,0.45,
2009-09-30,5.66,-3.69,0.0,-0.85,-6.66,7.58,0.75,
2009-12-31,9.68,0.45,21.51,0.97,10.02,8.09,1.2,
2010-03-31,9.27,1.46,6.35,1.18,7.84,8.3,1.12,
2010-06-30,7.32,1.89,3.87,1.12,6.56,8.86,0.83,
2010-09-30,7.11,1.9,3.74,0.9,7.89,9.12,0.78,
2010-12-31,8.18,0.64,12.78,1.48,5.52,8.94,0.92,
2011-03-31,8.6,0.97,8.87,2.27,3.79,8.96,0.96,
2011-06-30,6.99,1.11,6.3,2.37,2.94,8.75,0.8,
2011-09-30,5.08,1.41,3.6,2.5,2.03,8.76,0.58,
2011-12-31,5.4,0.66,8.18,2.28,2.37,8.79,0.61,
2012-03-31,8.02,-0.82,0.0,1.5,5.34,8.84,0.91,
2012-06-30,5.73,-0.85,0.0,1.58,3.63,8.59,0.67,
2012-09-30,3.37,-1.19,0.0,1.39,2.43,8.01,0.42,
2012-12-31,2.4,-1.6,0.0,0.75,3.18,7.29,0.33,
2013-03-31,2.55,-0.99,0.0,0.58,4.39,6.59,0.39,
2013-06-30,4.08,-1.14,0.0,0.5,8.18,6.26,0.65,
2013-09-30,3.81,-0.87,0.0,0.6,6.35,6.47,0.59,
2013-12-31,3.87,-0.11,0.0,0.75,5.16,7.02,0.55,
2014-03-31,4.01,0.05,80.2,0.67,5.98,7.4,0.54,
2014-06-30,4.19,0.1,41.9,0.65,6.4,7.74,0.54,
2014-09-30,3.41,0.06,56.83,0.69,4.94,7.65,0.45,
2014-12-31,2.67,-0.53,0.0,0.24,11.08,7.16,0.37,
2015-03-31,2.68,-0.73,0.0,0.02,122.37,6.65,0.4,
2015-06-30,2.4,-0.91,0.0,-0.18,-13.26,5.97,0.4,
2015-09-30,1.72,-1.18,0.0,-0.43,-4.04,5.5,0.31,
2015-12-31,2.87,-0.84,0.0,-0.52,-5.52,5.11,0.56,
2016-03-31,2.85,-0.75,0.0,-0.63,-4.49,4.84,0.59,
2016-06-30,5.14,-0.44,0.0,-0.52,-9.89,4.88,1.05,
2016-09-30,6.91,-0.69,0.0,0.42,16.62,5.13,1.35,
2016-12-31,11.34,-0.6,0.0,0.44,25.49,5.28,2.15,
2017-03-31,14.55,-0.5,0.0,0.43,33.51,5.49,2.65,
2017-06-30,12.48,-0.62,0.0,0.44,28.34,5.46,2.29,
2017-09-30,12.75,-0.06,0.0,0.54,23.66,5.37,2.37,
2017-12-31,10.28,-0.03,0.0,0.62,16.68,5.4,1.9,
2018-03-31,10.05,0.09,111.67,0.74,13.62,5.73,1.75,
2018-06-30,14.99,0.24,62.46,0.9,16.63,6.04,2.48,
2018-09-30,30.89,0.27,114.41,1.13,27.43,6.06,5.1,
2018-12-31,18.46,0.32,57.69,1.26,14.65,5.99,3.08,
2019-03-31,25.52,0.25,102.08,1.65,15.44,5.56,4.59,
2019-06-30,30.37,0.17,178.65,1.75,17.35,5.41,5.61,
2019-09-30,28.99,0.19,152.58,1.95,14.84,5.49,5.28,
2019-12-31,45.86,0.3,152.87,2.42,18.98,6.05,7.57,
2020-03-31,45.48,0.43,105.77,2.59,17.54,6.35,7.16,
2020-06-30,52.61,0.53,99.26,2.82,18.69,6.55,8.04,
2020-09-30,81.99,0.74,110.8,3.22,25.49,7.24,11.33,
2020-12-31,91.71,2.06,44.52,4.82,19.03,8.03,11.43,
2021-03-31,78.5,2.37,33.12,5.33,14.73,9.37,8.38,
2021-06-30,93.93,2.82,33.31,5.82,16.13,10.92,8.6,
2021-09-25,,,,,,,,39.45
2021-09-30,102.9,3.25,31.66,5.89,17.48,12.12,8.49,
2021-12-25,,,,,,,,46.64
2021-12-31,143.9,2.57,55.99,6.21,23.17,13.36,10.77,
2022-03-26,,,,,,,,29.72
2022-03-31,109.34,2.68,40.8,34.16,3.2,14.73,7.42,
2022-06-25,,,,,,,,19.95
2022-06-30,76.47,2.37,32.27,34.22,2.23,15.62,4.9,
2022-09-24,,,,,,,,15.35
2022-09-30,63.36,1.66,38.17,33.84,1.87,15.54,4.08,
2022-12-31,64.77,0.84,77.11,33.96,1.91,15.18,4.27,20.28
2023-03-31,98.01,0.19,515.84,33.99,2.88,14.32,6.84,
2023-04-01,,,,,,,,32.13
2023-06-30,113.91,-0.06,0.0,34.16,3.33,13.61,8.37,
2023-07-01,,,,,,,,35.83
2023-09-30,102.82,0.08,1285.25,34.04,3.02,13.74,7.48,30.56
2023-12-30,,,,,,,,44.35
2023-12-31,147.41,0.53,278.13,34.59,4.26,13.97,10.55,
2024-03-30,,,,,,,,49.85
2024-03-31,180.49,0.69,261.58,34.73,5.2,13.99,12.9,
2024-06-29,,,,,,,,40.26
2024-06-30,162.21,0.83,195.43,34.94,4.64,14.26,11.38,
2024-09-28,,,,,,,,37.43
2024-09-30,164.08,1.12,146.5,35.11,4.67,14.87,11.04,
2024-12-28,,,,,,,,27.74
2024-12-31,120.79,1.0,120.79,35.49,3.4,15.75,7.67,
2025-03-29,,,,,,,,22.19
2025-03-31,102.74,1.37,74.99,35.82,2.87,16.99,6.05,
2025-06-28,,,,,,,,35.51
2025-06-30,141.9,1.75,81.09,36.78,3.86,18.14,7.82,
2025-09-27,,,,,,,,31.5
2025-09-30,161.79,2.03,79.7,37.34,4.33,19.6,8.25,
2025-12-27,,,,,,,,38.76
2025-12-31,214.16,2.65,80.82,38.65,5.54,21.2,10.1,
2026-03-28,,,,,,,,30.51
2026-03-31,203.43,3.05,66.7,39.55,5.14,22.84,8.91,
2026-06-27,,,,,,,,59.82
2026-06-30,580.91,3.89,149.33,41.19,14.1,25.08,23.16,
2026-09-14,493.41,,126.84,,11.98,,19.67,44.63
