period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,48.56,,,14.76,3.29,,,
2006-06-30,43.54,,,14.39,3.03,,,
2006-09-30,47.74,,,15.2,3.14,,,
2006-12-31,45.59,2.48,18.38,16.26,2.8,11.97,3.81,
2007-03-31,37.3,2.6,14.34,17.01,2.19,12.46,2.99,
2007-06-30,36.9,3.49,10.57,15.12,2.44,12.71,2.9,
2007-09-30,37.76,2.73,13.83,15.55,2.43,12.96,2.91,
2007-12-31,31.0,2.74,11.31,16.44,1.89,13.07,2.37,
2008-03-31,27.89,2.81,9.92,17.54,1.59,13.24,2.11,
2008-06-30,31.48,2.75,11.45,17.53,1.8,13.44,2.34,
2008-09-30,39.56,3.62,10.93,18.73,2.11,13.77,2.87,
2008-12-31,38.54,3.77,10.22,19.95,1.93,13.92,2.77,
2009-03-31,33.05,3.74,8.84,19.75,1.67,13.8,2.39,
2009-06-30,35.33,4.15,8.51,21.04,1.68,13.97,2.53,
2009-09-30,40.2,4.46,9.01,22.5,1.79,14.06,2.86,
2009-12-31,37.76,4.51,8.37,22.78,1.66,14.3,2.64,
2010-03-31,39.94,4.71,8.48,23.13,1.73,14.75,2.71,
2010-06-30,35.11,4.71,7.45,24.19,1.45,15.04,2.33,
2010-09-30,36.78,4.63,7.94,25.28,1.45,15.28,2.41,
2010-12-31,36.64,4.79,7.65,25.69,1.43,15.53,2.36,
2011-03-31,35.67,4.81,7.42,26.78,1.33,15.83,2.25,
2011-06-30,38.95,4.81,8.1,27.72,1.4,16.12,2.42,
2011-09-30,36.88,4.03,9.15,26.8,1.38,16.47,2.24,
2011-12-31,43.3,4.04,10.72,23.92,1.81,16.84,2.57,
2012-03-31,46.08,4.32,10.67,24.16,1.91,17.97,2.57,
2012-06-30,49.69,4.68,10.62,25.01,1.99,19.43,2.56,
2012-09-30,57.69,5.59,10.32,25.91,2.23,20.64,2.8,
2012-12-31,59.25,5.52,10.73,25.2,2.35,21.9,2.71,
2013-03-31,70.85,5.92,11.97,26.0,2.72,22.38,3.17,
2013-06-30,68.49,5.96,11.49,27.35,2.5,22.8,3.0,
2013-09-30,78.03,6.34,12.31,28.81,2.71,23.49,3.32,
2013-12-31,79.87,6.64,12.03,29.28,2.73,24.42,3.27,
2014-03-31,86.79,6.16,14.09,30.04,2.89,24.76,3.51,
2014-06-30,83.75,6.52,12.85,32.11,2.61,25.38,3.3,
2014-09-30,99.86,6.34,15.75,33.3,3.0,25.71,3.88,
2014-12-31,113.68,6.7,16.97,33.9,3.35,26.08,4.36,
2015-03-31,114.68,7.41,15.48,34.86,3.29,26.73,4.29,
2015-06-30,110.69,7.55,14.66,36.21,3.06,26.98,4.1,
2015-09-30,100.19,8.38,11.96,37.05,2.7,27.94,3.59,
2015-12-31,118.17,9.06,13.04,37.25,3.17,28.25,4.18,
2016-03-31,109.9,9.45,11.63,38.18,2.88,28.98,3.79,
2016-06-30,112.26,9.77,11.49,40.24,2.79,29.51,3.8,
2016-09-30,123.8,10.01,12.37,41.32,3.0,29.74,4.16,
2016-12-31,109.23,10.24,10.67,40.47,2.7,30.42,3.59,
2017-03-31,123.42,10.53,11.72,41.62,2.97,30.53,4.04,
2017-06-30,130.49,10.97,11.9,43.41,3.01,30.87,4.23,
2017-09-30,142.22,11.05,12.87,44.36,3.21,31.03,4.58,
2017-12-31,133.55,2.69,49.65,34.95,3.82,31.02,4.31,
2018-03-31,131.92,3.15,41.88,23.44,5.63,31.45,4.19,
2018-06-30,143.94,3.72,38.69,22.97,6.27,32.76,4.39,
2018-09-30,162.74,3.82,42.6,22.4,7.26,33.98,4.79,
2018-12-31,153.9,12.62,12.19,19.85,7.75,35.46,4.34,
2019-03-31,151.35,12.55,12.06,17.63,8.58,36.52,4.14,
2019-06-30,148.07,12.64,11.71,17.93,8.26,36.97,4.01,
2019-09-30,156.59,13.05,12.0,18.33,8.54,37.4,4.19,
2019-12-31,196.37,12.88,15.25,16.36,12.01,38.21,5.14,
2020-03-31,166.32,12.77,13.02,16.13,10.31,39.7,4.19,
2020-06-30,194.8,12.25,15.9,18.18,10.72,40.56,4.8,
2020-09-30,211.32,12.41,17.03,18.78,11.25,41.94,5.04,
2020-12-31,192.47,12.31,15.64,16.27,11.83,43.0,4.48,
2021-03-31,209.85,12.07,17.39,16.22,12.93,42.79,4.9,
2021-06-30,207.03,9.83,21.06,14.48,14.3,43.64,4.74,
2021-09-30,182.01,9.71,18.74,14.54,12.51,44.5,4.09,12.64
2021-12-31,194.17,10.28,18.89,12.0,16.18,45.2,4.3,13.06
2022-03-31,210.5,10.13,20.78,1.71,122.76,46.36,4.54,13.71
2022-06-30,213.49,11.77,18.14,4.52,47.21,47.31,4.51,13.71
2022-09-30,199.32,12.44,16.02,6.85,29.11,47.91,4.16,12.61
2022-12-31,233.84,12.11,19.31,6.86,34.11,48.61,4.81,14.4
2023-03-31,217.14,14.71,14.76,10.01,21.69,48.63,4.46,13.46
2023-06-30,201.3,14.83,13.57,12.68,15.88,49.36,4.08,11.85
2023-09-30,245.66,14.07,17.46,14.31,17.17,49.83,4.93,14.17
2023-12-31,265.33,12.49,21.24,11.64,22.79,52.42,5.06,14.95
2024-03-31,263.97,7.0,37.71,9.36,28.19,54.97,4.8,14.53
2024-06-30,292.15,5.81,50.28,11.03,26.49,57.46,5.08,15.3
2024-09-30,303.37,7.81,38.84,14.0,21.66,60.32,5.03,15.27
2024-12-31,247.36,7.56,32.72,10.95,22.6,61.88,4.0,12.59
2025-03-31,298.07,10.97,27.17,11.54,25.82,63.05,4.73,15.09
2025-06-30,269.49,12.24,22.02,13.8,19.53,64.51,4.18,13.43
2025-09-30,274.58,12.95,21.2,17.86,15.37,66.46,4.13,13.61
2025-12-31,320.75,14.23,22.54,16.07,19.96,67.87,4.73,15.46
2026-03-31,347.18,14.37,24.16,17.03,20.39,68.64,5.06,15.72
2026-06-30,360.02,16.09,22.38,21.62,16.65,70.16,5.13,15.99
2026-09-14,381.5,,23.71,,17.65,,5.44,
2026-09-15,,,,,,,,16.27
