period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,1.83,,,0.04,47.07,,,
2006-06-30,1.93,,,0.05,42.32,,,
2006-09-30,1.61,,,0.02,67.48,,,
2006-12-31,1.97,0.02,87.69,0.05,37.87,1.26,1.57,
2007-03-31,1.99,0.03,67.44,0.04,46.05,1.35,1.47,
2007-06-30,3.42,0.04,93.71,0.07,51.36,1.44,2.37,
2007-09-30,4.66,0.04,107.07,0.09,50.79,1.55,3.0,
2007-12-31,4.63,0.06,82.71,0.14,32.19,1.75,2.64,
2008-03-31,3.57,0.06,59.42,0.18,20.22,1.88,1.9,
2008-06-30,3.67,0.07,53.14,0.26,14.01,2.01,1.82,
2008-09-30,3.64,0.07,49.84,0.29,12.35,2.12,1.72,
2008-12-31,2.56,0.07,34.42,0.31,8.22,2.22,1.15,
2009-03-31,3.67,0.08,47.08,0.34,10.8,2.3,1.6,
2009-06-30,4.18,0.08,55.4,0.38,11.1,2.35,1.78,
2009-09-30,4.67,0.08,55.24,0.41,11.28,2.48,1.88,
2009-12-31,6.73,0.1,65.94,0.59,11.36,2.78,2.42,
2010-03-31,6.79,0.11,59.29,0.63,10.78,3.01,2.26,
2010-06-30,5.46,0.12,45.15,0.65,8.36,3.2,1.71,
2010-09-30,7.85,0.12,63.33,0.71,11.02,3.41,2.3,
2010-12-31,9.0,0.13,71.15,0.76,11.83,3.76,2.4,
2011-03-31,9.01,0.12,77.98,0.81,11.08,4.04,2.23,
2011-06-30,10.22,0.11,90.08,0.86,11.96,4.4,2.32,
2011-09-30,10.81,0.1,113.81,0.85,12.67,4.75,2.28,
2011-12-31,8.66,0.07,126.35,0.85,10.15,5.22,1.66,
2012-03-31,10.13,0.06,167.36,0.81,12.53,5.58,1.81,
2012-06-30,11.42,0.04,281.91,0.83,13.75,5.9,1.93,
2012-09-30,12.72,0.0,0.0,0.83,15.25,6.25,2.03,
2012-12-31,12.54,0.0,0.0,0.9,13.9,6.71,1.87,
2013-03-31,13.32,-0.01,0.0,0.93,14.38,7.01,1.9,
2013-06-30,13.88,-0.01,0.0,0.96,14.53,7.33,1.89,
2013-09-30,15.63,0.01,1078.07,0.99,15.76,7.67,2.04,
