period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2014-06-30,3.9,,,0.45,8.71,,,
2014-09-30,5.52,,,0.48,11.54,,,
2014-12-31,3.8,,,0.53,7.17,,,
2015-03-31,4.41,0.09,49.25,0.57,7.67,0.69,6.37,
2015-06-30,5.11,0.09,57.53,0.62,8.27,0.67,7.65,
2015-09-30,3.82,0.09,40.51,0.67,5.73,0.72,5.33,
2015-12-31,4.87,0.1,46.6,0.72,6.73,0.73,6.63,
2016-03-31,3.94,0.11,34.87,0.77,5.09,0.79,5.02,
2016-06-30,4.02,0.13,32.04,0.83,4.86,0.84,4.77,
2016-09-30,5.32,0.14,36.85,0.9,5.9,0.9,5.89,
2016-12-31,6.05,0.16,38.72,0.98,6.19,0.97,6.25,
2017-03-31,8.27,0.19,42.81,1.07,7.74,1.03,8.04,
2017-06-30,9.36,0.24,38.8,1.17,7.99,1.12,8.37,
2017-09-30,11.85,0.3,39.09,1.3,9.09,1.22,9.74,
2017-12-31,14.72,0.33,44.02,1.41,10.45,1.31,11.26,
2018-03-31,15.96,0.38,42.05,1.55,10.29,1.4,11.38,
2018-06-30,16.09,0.17,95.68,1.44,11.2,1.52,10.61,
2018-09-30,16.62,0.19,86.01,1.61,10.3,1.61,10.34,
2018-12-31,13.17,0.25,51.89,1.77,7.44,1.7,7.76,
2019-03-31,19.65,0.3,66.33,1.96,10.02,1.79,10.98,
2019-06-30,16.23,0.57,28.37,2.06,7.87,1.82,8.91,
2019-09-30,14.93,0.6,24.73,2.17,6.87,1.89,7.89,
2019-12-31,12.71,0.67,19.12,2.37,5.37,1.86,6.84,
2020-03-31,12.66,0.62,20.46,2.35,5.38,1.81,6.99,
2020-06-30,13.13,0.59,22.34,2.5,5.25,1.77,7.42,
2020-09-30,12.93,0.56,23.17,2.55,5.07,1.74,7.44,
2020-12-31,18.16,0.5,36.32,2.72,6.67,1.82,9.97,
2021-03-31,18.87,0.53,35.31,2.83,6.67,1.94,9.74,
2021-06-30,22.64,0.58,39.38,3.01,7.51,2.07,10.96,
2021-09-30,21.48,0.62,34.78,3.14,6.84,2.17,9.88,30.99
2021-12-31,35.94,0.66,54.66,3.23,11.12,2.31,15.56,44.18
2022-03-31,34.75,0.73,47.76,3.37,10.31,2.47,14.06,38.25
2022-06-30,23.44,0.81,29.02,3.29,7.12,2.75,8.53,24.65
2022-09-30,28.22,0.92,30.84,3.59,7.86,3.1,9.11,26.65
2022-12-31,30.34,1.07,28.35,3.98,7.62,3.46,8.77,23.53
2023-03-31,41.97,1.2,34.9,4.32,9.7,3.84,10.92,28.89
2023-06-30,40.52,1.36,29.9,4.73,8.56,4.17,9.72,27.32
2023-09-30,45.98,1.5,30.6,5.23,8.79,4.42,10.41,28.88
2023-12-31,58.88,1.65,35.68,5.78,10.19,4.63,12.73,33.56
2024-03-31,72.5,1.81,40.16,6.27,11.57,4.78,15.16,38.73
2024-06-30,87.62,1.94,45.22,6.71,13.06,4.95,17.7,43.76
2024-09-30,95.96,2.09,45.97,7.34,13.07,5.18,18.54,44.61
2024-12-31,110.53,2.23,49.57,7.92,13.95,5.47,20.21,46.87
2025-03-31,77.48,2.37,32.69,8.05,9.62,5.81,13.34,31.06
2025-06-30,102.31,2.55,40.12,8.67,11.79,6.22,16.45,39.4
2025-09-30,145.71,2.64,55.19,9.46,15.41,6.62,22.02,48.79
2025-12-31,131.03,2.75,47.65,9.85,13.31,7.06,18.56,40.86
2026-03-31,122.78,2.91,42.19,10.71,11.46,7.62,16.11,34.69
2026-06-30,169.88,3.16,53.76,11.73,14.48,8.26,20.56,45.02
2026-09-14,187.81,,59.43,,16.01,,22.73,40.43
