period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,1.42,,,0.53,2.67,,,
2006-06-30,1.52,,,0.57,2.69,,,
2006-09-30,1.68,,,0.62,2.72,,,
2006-12-31,1.69,0.17,9.71,0.63,2.67,1.69,1.0,
2007-03-31,1.76,0.19,9.3,0.68,2.58,1.74,1.01,
2007-06-30,1.94,0.21,9.24,0.74,2.62,1.8,1.08,
2007-09-30,2.17,0.23,9.51,0.8,2.72,1.87,1.16,
2007-12-31,2.53,0.24,10.41,0.88,2.86,1.95,1.29,
2008-03-31,2.03,0.26,7.92,0.87,2.32,2.04,0.99,
2008-06-30,2.45,0.28,8.89,0.96,2.55,2.16,1.13,
2008-09-30,2.19,0.29,7.51,1.04,2.1,2.26,0.97,
2008-12-31,1.31,0.29,4.47,1.0,1.31,2.25,0.58,
2009-03-31,1.56,0.28,5.58,1.03,1.51,2.19,0.71,
2009-06-30,1.73,0.26,6.74,1.11,1.56,2.1,0.82,
2009-09-30,2.06,0.24,8.71,1.19,1.72,2.01,1.02,
2009-12-31,2.52,0.23,11.03,1.27,1.98,2.03,1.24,
2010-03-31,2.31,0.25,9.41,1.34,1.72,2.1,1.1,
2010-06-30,2.15,0.28,7.57,1.42,1.51,2.24,0.96,
2010-09-30,2.68,0.32,8.31,1.55,1.73,2.4,1.12,
2010-12-31,2.89,0.35,8.2,1.67,1.73,2.52,1.14,
2011-03-31,2.98,0.37,7.99,1.65,1.8,2.64,1.13,
2011-06-30,2.96,0.39,7.65,1.7,1.74,2.74,1.08,
2011-09-30,2.23,0.39,5.76,1.69,1.32,2.83,0.79,
2011-12-31,2.49,0.38,6.52,1.67,1.49,2.84,0.87,
2012-03-31,3.28,0.39,8.47,1.74,1.89,2.93,1.12,
2012-06-30,3.02,0.39,7.77,1.74,1.74,3.0,1.01,
2012-09-30,3.24,0.4,8.06,1.88,1.72,3.08,1.05,
2012-12-31,3.57,0.42,8.45,1.91,1.87,3.27,1.09,
2013-03-31,4.13,0.44,9.3,1.97,2.1,3.35,1.23,
2013-06-30,4.31,0.46,9.48,2.03,2.13,3.42,1.26,
2013-09-30,4.29,0.47,9.18,2.11,2.04,3.47,1.24,
2013-12-31,4.96,0.49,10.12,2.28,2.18,3.55,1.4,
2014-03-31,5.11,0.5,10.32,2.31,2.22,3.69,1.39,
2014-06-30,5.38,0.51,10.53,2.39,2.25,3.84,1.4,
2014-09-30,5.59,0.53,10.58,2.4,2.33,4.01,1.4,
2014-12-31,6.04,0.55,10.93,2.37,2.55,4.16,1.45,
2015-03-31,6.63,0.57,11.58,2.41,2.75,4.24,1.56,
2015-06-30,6.54,0.58,11.32,2.51,2.6,4.28,1.53,
2015-09-30,5.76,0.6,9.64,2.58,2.23,4.38,1.32,
2015-12-31,5.92,0.6,9.83,2.66,2.23,4.39,1.35,
2016-03-31,6.57,0.59,11.23,2.78,2.36,4.51,1.46,
2016-06-30,6.53,0.61,10.75,2.9,2.26,4.67,1.4,
2016-09-30,7.41,0.62,11.91,3.04,2.44,4.81,1.54,
2016-12-31,7.69,0.65,11.79,3.02,2.55,4.99,1.54,
2017-03-31,8.16,0.71,11.58,3.07,2.66,5.06,1.61,
2017-06-30,8.48,0.74,11.43,3.21,2.64,5.16,1.65,
2017-09-30,9.75,0.79,12.42,3.37,2.89,5.32,1.83,
2017-12-31,10.14,0.52,19.68,3.31,3.07,5.54,1.83,
2018-03-31,9.96,0.55,18.2,3.28,3.03,5.79,1.72,
2018-06-30,10.11,0.58,17.58,3.17,3.18,6.06,1.67,
2018-09-30,10.93,0.61,17.99,3.36,3.25,6.3,1.73,
2018-12-31,9.44,0.96,9.81,3.4,2.77,6.55,1.44,
2019-03-31,11.04,0.97,11.38,3.49,3.16,6.66,1.66,
2019-06-30,11.24,0.98,11.53,3.53,3.18,6.7,1.68,
2019-09-30,11.33,0.95,11.9,3.55,3.19,6.71,1.69,
2019-12-31,12.74,0.94,13.55,3.86,3.3,6.68,1.91,
2020-03-31,8.61,0.92,9.33,3.76,2.29,6.61,1.3,
2020-06-30,11.34,0.9,12.6,4.02,2.82,6.61,1.71,
2020-09-30,12.85,0.95,13.53,4.27,3.01,6.78,1.89,
2020-12-31,15.56,0.98,15.87,4.55,3.42,7.01,2.22,
2021-03-31,15.73,1.05,15.05,4.61,3.41,7.4,2.13,
2021-06-30,16.35,1.13,14.47,4.82,3.39,7.89,2.07,
2021-09-30,17.53,1.19,14.73,5.03,3.49,8.26,2.12,29.22
2021-12-31,20.99,1.27,16.53,5.31,3.95,8.7,2.41,35.42
2022-03-31,18.13,1.35,13.48,5.43,3.34,9.16,1.98,27.32
2022-06-30,15.54,1.43,10.87,5.48,2.84,9.56,1.63,22.73
2022-09-30,16.21,1.49,10.88,5.57,2.91,9.97,1.63,22.65
2022-12-31,18.48,1.53,12.08,5.95,3.11,10.16,1.82,25.43
2023-03-31,19.89,1.55,12.87,6.19,3.22,10.2,1.95,27.28
2023-06-30,20.73,1.54,13.5,6.35,3.26,10.14,2.04,29.06
2023-09-30,20.55,1.55,13.3,6.62,3.11,10.05,2.04,27.82
2023-12-31,24.3,1.55,15.68,7.01,3.47,10.12,2.4,31.71
2024-03-31,28.34,1.64,17.33,7.27,3.9,10.32,2.75,35.05
2024-06-30,33.15,1.68,19.79,7.5,4.42,10.7,3.1,38.42
2024-09-30,32.15,1.75,18.42,7.89,4.08,11.32,2.84,34.66
2024-12-31,34.34,1.92,17.89,8.14,4.22,12.06,2.85,33.84
2025-03-31,32.52,2.06,15.78,8.57,3.79,13.26,2.45,28.14
2025-06-30,49.04,2.51,19.54,9.5,5.16,14.85,3.3,36.58
2025-09-30,61.54,3.0,20.51,10.29,5.98,16.49,3.73,38.49
2025-12-31,67.34,3.34,20.16,11.01,6.12,18.11,3.72,35.36
2026-03-31,63.08,3.48,18.13,11.46,5.51,20.22,3.12,28.78
2026-06-30,88.16,3.99,22.1,12.67,6.96,22.57,3.91,35.31
2026-09-14,78.55,,19.69,,6.2,,3.48,
2026-09-15,,,,,,,,26.62
