period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2021-06-30,75.17,,,5.37,14.01,,,
2021-09-30,72.37,,,5.48,13.2,,,59.09
2021-12-31,94.26,,,5.7,16.54,,,57.55
2022-03-31,55.07,-0.17,0.0,5.36,10.27,7.78,7.08,30.88
2022-06-30,34.44,-0.27,0.0,5.11,6.74,7.96,4.32,42.71
2022-09-30,19.49,-0.21,0.0,5.06,3.85,7.96,2.45,22.7
2022-12-31,10.53,-0.52,0.0,5.09,2.07,7.53,1.4,41.87
2023-03-31,15.75,-0.22,0.0,5.11,3.08,7.77,2.03,51.86
2023-06-30,25.73,0.06,428.83,4.35,5.91,7.74,3.32,67.94
2023-09-30,39.96,0.3,133.2,3.26,12.24,8.28,4.83,36.28
2023-12-31,39.85,0.98,40.66,3.7,10.78,5.04,7.91,28.37
2024-03-31,69.22,1.66,41.7,2.31,29.95,6.16,11.24,28.14
2024-06-30,83.22,2.33,35.72,2.44,34.13,6.15,13.52,25.7
2024-09-30,130.55,3.28,39.8,2.8,46.68,6.13,21.29,33.35
2024-12-31,323.83,4.53,71.49,3.21,101.04,9.26,34.97,58.54
2025-03-31,264.97,5.53,47.92,1.7,155.81,9.58,27.65,40.09
2025-06-30,350.08,7.03,49.8,3.45,101.62,11.22,31.2,38.59
2025-09-30,718.54,8.23,87.31,4.35,165.04,12.94,55.52,61.0
2025-12-31,673.82,9.75,69.11,6.31,106.79,16.01,42.09,50.39
2026-03-31,398.0,11.64,34.19,7.03,56.63,18.09,22.01,25.29
2026-06-30,515.23,13.01,39.6,9.43,54.62,20.12,25.61,29.67
2026-09-15,331.46,,25.48,,35.14,,16.48,18.37
