period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2023-09-30,53.52,,,4.66,11.5,,,58.17
2023-12-31,75.15,,,4.87,15.44,,,74.88
2024-03-31,124.99,,,5.09,24.56,,,93.56
2024-06-30,163.62,0.4,409.05,5.4,30.28,3.35,48.89,104.07
2024-09-30,143.01,0.61,234.44,5.72,25.0,3.35,42.64,87.44
2024-12-31,123.36,0.77,160.21,6.09,20.26,3.49,35.32,69.1
2025-03-31,106.79,0.75,142.39,6.47,16.5,3.77,28.32,54.91
2025-06-30,161.74,0.66,245.06,6.62,24.44,3.87,41.75,90.72
2025-09-30,141.49,0.78,181.4,6.98,20.27,4.14,34.16,76.92
2025-12-31,109.31,0.75,145.75,7.34,14.89,4.38,24.96,56.38
2026-03-31,151.28,0.85,177.98,7.79,19.43,4.61,32.83,78.15
2026-06-30,354.57,0.98,361.81,8.08,43.88,4.81,73.65,162.76
2026-09-14,239.01,,243.89,,29.58,,49.64,100.1
