period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,19.12,,,,0.0,,,
2006-06-30,18.98,,,,0.0,,,
2006-09-30,21.85,,,,0.0,,,
2006-12-31,23.12,2.33,9.92,,0.0,13.3,1.74,
2007-03-31,23.23,2.57,9.04,,0.0,14.26,1.63,
2007-06-30,25.76,2.71,9.51,,0.0,15.31,1.68,
2007-09-30,30.84,2.65,11.65,,0.0,14.96,2.06,
2007-12-31,28.28,2.71,10.44,,0.0,14.87,1.9,
2008-03-31,22.42,2.81,7.97,,0.0,15.67,1.43,
2008-06-30,22.37,3.04,7.37,,0.0,15.73,1.42,
2008-09-30,16.14,2.75,5.87,,0.0,15.37,1.05,
2008-12-31,16.56,1.52,10.9,,0.0,13.15,1.26,
2009-03-31,16.3,0.42,39.23,,0.0,9.77,1.67,
2009-06-30,20.16,-0.92,0.0,,0.0,6.99,2.88,
2009-09-30,27.53,-1.18,0.0,,0.0,6.22,4.42,
2009-12-31,31.74,-0.61,0.0,,0.0,6.74,4.71,
2010-03-31,33.23,0.29,115.45,,0.0,8.99,3.69,
2010-06-30,25.78,1.61,15.99,,0.0,11.83,2.18,
2010-09-30,27.91,2.56,10.89,,0.0,13.94,2.0,
2010-12-31,35.99,3.95,9.11,,0.0,17.52,2.05,
2011-03-31,41.77,5.21,8.01,,0.0,20.71,2.02,
2011-06-30,35.15,6.15,5.72,,0.0,23.13,1.52,
2011-09-30,32.85,6.6,4.98,,0.0,24.71,1.33,
2011-12-31,39.75,6.12,6.5,,0.0,23.46,1.69,
2012-03-31,47.69,5.58,8.54,,0.0,22.42,2.13,
2012-06-30,49.48,4.9,10.11,,0.0,20.75,2.38,
2012-09-30,51.66,4.52,11.43,,0.0,19.6,2.64,
2012-12-31,56.41,4.26,13.24,,0.0,17.78,3.17,
2013-03-31,59.57,3.4,17.5,,0.0,15.5,3.84,
2013-06-30,69.97,2.94,23.77,,0.0,14.37,4.87,
2013-09-30,87.35,2.42,36.1,,0.0,13.45,6.49,
2013-12-31,82.87,3.01,27.53,,0.0,16.08,5.15,
2014-03-31,82.57,3.33,24.8,,0.0,16.68,4.95,
2014-06-30,83.32,3.9,21.36,,0.0,18.16,4.59,
2014-09-30,88.28,4.06,21.73,,,18.17,4.86,
2014-12-31,96.33,3.41,28.22,,0.0,16.52,5.83,
2015-03-31,90.25,3.84,23.49,,0.0,17.34,5.2,
2015-06-30,93.72,3.54,26.45,,0.0,16.46,5.69,
2015-09-30,79.19,3.63,21.79,,0.0,16.45,4.81,
2015-12-31,79.9,3.56,22.41,21.76,3.67,16.1,4.96,
2016-03-31,90.36,3.02,29.9,,0.0,15.25,5.92,
2016-06-30,90.36,3.02,29.92,,0.0,15.64,5.78,
2016-09-30,99.8,3.22,30.97,,0.0,16.41,6.08,
2016-12-31,102.19,3.81,26.84,25.28,4.04,17.6,5.8,
2017-03-31,120.95,4.42,27.37,,0.0,18.97,6.38,
2017-06-30,119.86,4.67,25.67,,0.0,19.71,6.08,
2017-09-30,157.47,5.15,30.57,,0.0,21.61,7.29,
2017-12-31,159.88,5.55,28.81,28.23,5.66,23.68,6.75,
2018-03-31,182.63,5.98,30.54,,0.0,25.44,7.18,
2018-06-30,183.7,6.43,28.59,,0.0,27.74,6.62,
2018-09-30,174.47,6.77,25.78,,0.0,28.66,6.09,
2018-12-31,144.41,7.18,20.11,32.65,4.42,30.26,4.77,
2019-03-31,174.5,6.58,26.5,,0.0,29.7,5.87,
2019-06-30,195.21,6.22,31.38,,0.0,28.9,6.75,
2019-09-30,233.22,6.01,38.78,,0.0,29.2,7.99,
2019-12-31,279.04,6.89,40.52,33.6,8.31,31.38,8.89,
2020-03-31,246.69,6.96,35.45,,0.0,31.82,7.75,
2020-06-30,348.76,7.66,45.54,,0.0,33.71,10.35,
2020-09-30,349.94,8.97,39.03,,0.0,36.88,9.49,
2020-12-31,463.98,9.69,47.9,38.03,12.2,38.1,12.18,
2021-03-31,587.31,12.52,46.91,,0.0,44.33,13.25,
2021-06-30,659.12,13.59,48.5,,0.0,47.35,13.92,
2021-09-30,710.9,15.65,45.42,,0.0,51.43,13.82,
2021-12-31,761.55,16.97,44.89,29.8,25.56,53.51,14.23,
2022-03-31,638.91,15.05,42.45,,0.0,50.73,12.59,
2022-06-30,458.33,15.78,29.04,,0.0,53.49,8.57,
2022-09-30,400.99,15.08,26.59,,0.0,53.04,7.56,
2022-12-31,529.1,14.89,35.54,23.53,22.49,55.99,9.45,
2023-03-31,660.59,18.26,36.18,,0.0,64.46,10.25,
2023-06-30,705.39,19.84,35.55,,0.0,68.96,10.23,
2023-09-30,574.21,20.75,27.67,,0.0,72.74,7.89,
2023-12-31,740.23,21.53,34.39,37.01,20.0,75.67,9.78,
2024-03-31,950.73,19.59,48.53,,0.0,71.92,13.22,
2024-06-30,1004.01,18.55,54.11,,0.0,69.98,14.35,
2024-09-30,819.52,19.13,42.85,,0.0,72.39,11.32,
2024-12-31,683.24,20.82,32.82,50.84,13.44,77.72,8.79,
2025-03-31,654.6,23.76,27.55,,0.0,83.91,7.8,
2025-06-30,794.13,26.14,30.38,,0.0,89.31,8.89,
2025-09-30,961.76,26.74,35.96,,0.0,91.11,10.56,
2025-12-31,1064.74,27.96,38.09,57.57,18.49,94.95,11.21,
2026-03-31,1316.25,30.0,43.87,,0.0,100.77,13.06,
2026-06-30,1986.87,32.12,61.86,,0.0,106.47,18.66,
2026-09-14,1575.15,,49.04,,0.0,,14.79,
