period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2009-10-31,1.07,,,0.44,2.42,,,
2010-01-31,1.24,,,0.46,2.69,,,
2010-04-30,1.46,,,0.5,2.9,,,
2010-07-31,1.55,0.09,16.65,0.56,2.78,0.81,1.9,
2010-10-31,1.76,0.17,10.39,0.63,2.8,0.85,2.06,
2011-01-31,2.05,0.2,10.19,0.68,3.03,0.88,2.32,
2011-04-30,2.39,0.22,10.98,0.73,3.29,0.9,2.67,
2011-07-31,2.41,0.23,10.72,0.76,3.17,0.91,2.64,
2011-10-31,2.43,0.22,11.09,0.82,2.98,0.93,2.62,
2012-01-31,2.45,0.22,11.1,0.84,2.93,0.93,2.63,
2012-04-30,2.5,0.22,11.31,0.89,2.82,0.94,2.66,
2012-07-31,2.69,0.22,12.11,0.94,2.87,0.95,2.84,
2012-10-31,2.42,0.23,10.74,0.99,2.45,0.95,2.56,
2013-01-31,2.63,0.23,11.69,1.02,2.57,0.95,2.77,
2013-04-30,2.36,0.22,10.94,1.06,2.23,0.94,2.51,
2013-07-31,2.73,0.21,12.74,1.1,2.48,0.96,2.85,
2013-10-31,3.4,0.22,15.51,1.16,2.93,1.0,3.39,
2014-01-31,4.11,0.22,18.49,1.2,3.43,1.05,3.91,
2014-04-30,4.79,0.24,20.13,1.25,3.82,1.1,4.36,
2014-07-31,5.26,0.12,44.93,1.23,4.29,1.35,3.9,
2014-10-31,6.56,0.1,66.25,1.28,5.14,1.65,3.98,
2015-01-31,7.85,0.17,45.65,1.42,5.55,1.96,4.01,
2015-04-30,8.95,0.23,38.56,1.56,5.72,2.26,3.97,
2015-07-31,9.61,0.38,25.21,1.56,6.17,2.36,4.08,
2015-10-31,9.48,0.49,19.55,1.71,5.56,2.42,3.92,
2016-01-31,10.33,0.49,21.12,1.84,5.61,2.44,4.23,
2016-04-30,11.29,0.07,171.13,5.77,1.96,2.73,4.14,
2016-07-31,12.59,-0.09,0.0,5.68,2.22,3.03,4.16,
2016-10-31,13.28,-0.49,0.0,5.49,2.42,3.45,3.85,
2017-01-31,15.64,-0.56,0.0,5.5,2.85,3.78,4.14,
2017-04-30,17.39,-0.15,0.0,5.5,3.16,3.88,4.49,
2017-07-31,19.51,0.04,527.38,5.57,3.5,3.97,4.91,
2017-10-31,20.96,0.4,52.15,5.67,3.7,4.04,5.18,
2018-01-31,19.83,1.81,10.98,7.09,2.8,4.35,4.56,
2018-04-30,18.48,2.54,7.29,7.35,2.51,4.52,4.09,
2018-07-31,17.98,2.69,6.68,6.65,2.71,4.67,3.85,
2018-10-31,18.26,2.84,6.42,6.53,2.79,4.78,3.82,
2019-01-31,22.14,1.49,14.82,5.86,3.78,4.91,4.51,
2019-04-30,26.52,0.83,32.14,5.56,4.77,5.1,5.2,
2019-07-31,24.38,0.73,33.63,5.4,4.51,5.27,4.63,
2019-10-31,24.85,0.64,38.65,6.27,3.97,5.39,4.61,
2020-01-31,26.16,0.61,43.23,6.11,4.28,5.4,4.84,
2020-04-30,23.68,0.56,42.43,5.96,3.98,5.47,4.33,
2020-07-31,27.9,0.53,52.44,5.83,4.78,5.53,5.04,
2020-10-31,31.07,0.63,49.09,5.87,5.3,5.69,5.46,
2021-01-31,40.38,0.86,46.73,5.88,6.87,5.85,6.91,
2021-04-30,41.21,1.08,38.26,5.84,7.06,6.01,6.86,
2021-07-31,44.19,1.35,32.68,5.91,7.48,6.21,7.11,
2021-10-31,48.76,1.5,32.5,6.04,8.07,6.4,7.62,17.43
2022-01-30,,,,,,,,16.91
2022-01-31,54.07,1.75,30.83,5.6,9.65,6.64,8.14,
2022-04-30,51.51,2.02,25.54,5.16,9.98,7.01,7.34,
2022-05-01,,,,,,,,15.04
2022-07-31,50.16,2.31,21.7,5.15,9.73,7.4,6.78,13.57
2022-10-30,,,,,,,,11.74
2022-10-31,44.41,2.65,16.76,5.43,8.17,7.79,5.7,
2023-01-29,,,,,,,,14.5
2023-01-31,55.72,2.97,18.76,5.59,9.97,8.07,6.91,
2023-04-30,60.1,3.19,18.82,5.32,11.31,8.2,7.33,14.89
2023-07-30,,,,,,,,20.72
2023-07-31,86.67,3.25,26.69,5.35,16.21,8.31,10.43,
2023-10-29,,,,,,,,18.77
2023-10-31,81.59,3.3,24.72,5.8,14.08,8.38,9.74,
2024-01-31,114.96,2.7,42.58,15.18,7.57,8.86,12.97,
2024-02-04,,,,,,,,26.1
2024-04-30,127.21,2.33,54.71,15.05,8.46,9.42,13.5,
2024-05-05,,,,,,,,25.4
2024-07-31,157.7,1.16,136.54,14.06,11.22,10.14,15.55,
2024-08-04,,,,,,,,26.24
2024-10-31,167.17,1.23,135.91,14.44,11.57,10.91,15.32,
2024-11-03,,,,,,,,28.55
2025-01-31,218.46,2.09,104.53,14.84,14.72,11.43,19.11,
2025-02-02,,,,,,,,34.84
2025-04-30,190.6,2.68,71.12,14.8,12.88,11.94,15.97,
2025-05-04,,,,,,,,29.43
2025-07-31,291.54,3.93,74.18,15.52,18.79,12.42,23.48,
2025-08-03,,,,,,,,39.55
2025-10-31,367.54,4.77,77.05,17.15,21.44,13.19,27.87,
2025-11-02,,,,,,,,44.02
2026-01-31,330.06,5.13,64.34,16.86,19.57,14.05,23.48,
2026-02-01,,,,,,,,32.17
2026-04-30,416.74,6.01,69.34,18.43,22.61,15.5,26.89,
2026-05-03,,,,,,,,31.24
2026-07-31,389.28,7.84,49.65,20.88,18.64,18.27,21.31,
2026-08-02,,,,,,,,24.7
2026-09-14,344.72,,43.97,,16.51,,18.87,19.91
