period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,38.69,,,8.6,4.5,,,
2006-06-30,39.28,,,8.61,4.56,,,
2006-09-30,41.5,,,8.93,4.65,,,
2006-12-31,45.02,2.99,15.06,8.77,5.14,22.31,2.02,
2007-03-31,41.95,3.17,13.23,8.83,4.75,23.03,1.82,
2007-06-30,45.63,3.29,13.87,9.0,5.07,23.71,1.92,
2007-09-30,44.39,3.4,13.06,9.32,4.76,24.69,1.8,
2007-12-31,38.99,3.34,11.67,9.52,4.09,26.3,1.48,
2008-03-31,32.88,3.32,9.9,9.94,3.31,27.31,1.2,
2008-06-30,28.44,3.0,9.48,10.59,2.69,27.95,1.02,
2008-09-30,26.87,2.8,9.6,10.79,2.49,28.21,0.95,
2008-12-31,14.14,2.32,6.09,10.21,1.39,27.51,0.51,
2009-03-31,10.48,1.78,5.89,13.51,0.78,26.06,0.4,
2009-06-30,18.24,1.31,13.93,11.29,1.62,24.57,0.74,
2009-09-30,26.75,1.14,23.47,11.73,2.28,23.18,1.15,
2009-12-31,31.98,1.54,20.76,12.09,2.65,22.72,1.41,
2010-03-31,32.85,1.96,16.76,11.22,2.93,23.12,1.42,
2010-06-30,31.75,2.71,11.71,12.07,2.63,23.62,1.34,
2010-09-30,33.61,3.08,10.91,13.22,2.54,24.39,1.38,
2010-12-31,34.48,3.35,10.29,13.56,2.54,25.1,1.37,
2011-03-31,36.46,3.59,10.16,14.54,2.51,25.45,1.43,
2011-06-30,42.03,3.85,10.92,15.26,2.75,26.1,1.61,
2011-09-30,36.5,3.98,9.17,15.48,2.36,26.68,1.37,
2011-12-31,38.5,4.12,9.35,16.15,2.38,27.13,1.42,
2012-03-31,47.41,4.22,11.23,17.07,2.78,27.77,1.71,
2012-06-30,47.86,4.27,11.21,16.92,2.83,28.31,1.69,
2012-09-30,46.91,4.33,10.83,17.36,2.7,28.85,1.63,
2012-12-31,47.58,3.89,12.23,17.09,2.78,29.44,1.62,
2013-03-31,56.04,3.97,14.12,17.57,3.19,30.04,1.87,
2013-06-30,62.29,4.09,15.23,17.56,3.55,30.61,2.03,
2013-09-30,63.11,4.25,14.85,17.94,3.52,31.3,2.02,
2013-12-31,76.06,4.88,15.59,18.32,4.15,31.86,2.39,
2014-03-31,75.66,5.06,14.95,18.86,4.01,32.34,2.34,
2014-06-30,79.93,5.22,15.31,19.32,4.14,32.95,2.43,
2014-09-30,73.96,5.37,13.77,19.53,3.79,33.16,2.23,
2014-12-31,78.84,5.56,14.18,20.21,3.9,34.0,2.32,
2015-03-31,66.62,5.71,11.67,21.49,3.1,34.11,1.95,
2015-06-30,66.52,5.7,11.67,21.84,3.05,34.12,1.95,
2015-09-30,63.45,5.54,11.45,21.66,2.93,34.4,1.84,
2015-12-31,59.75,5.05,11.83,21.33,2.8,34.14,1.75,
2016-03-31,52.98,5.02,10.55,21.8,2.43,34.81,1.52,
2016-06-30,52.95,5.7,9.29,22.39,2.36,35.44,1.49,
2016-09-30,55.81,5.66,9.86,22.92,2.43,35.71,1.56,
2016-12-31,64.88,5.61,11.57,22.68,2.86,39.52,1.64,
2017-03-31,69.58,5.51,12.63,23.39,2.97,40.81,1.71,
2017-06-30,74.4,4.88,15.25,23.93,3.11,42.45,1.75,
2017-09-30,80.2,5.19,15.45,24.21,3.31,44.75,1.79,
2017-12-31,88.38,2.99,29.56,21.26,4.16,43.79,2.02,
2018-03-31,83.31,3.5,23.8,22.81,3.65,45.66,1.82,
2018-06-30,87.85,3.87,22.7,24.26,3.62,47.24,1.86,
2018-09-30,95.8,4.24,22.6,25.13,3.81,48.75,1.97,
2018-12-31,86.06,7.91,10.88,26.32,3.27,50.3,1.71,
2019-03-31,99.09,7.85,12.62,26.54,3.73,51.65,1.92,
2019-06-30,112.31,8.08,13.9,27.75,4.05,53.25,2.11,
2019-09-30,107.95,8.28,13.04,28.05,3.85,54.9,1.97,
2019-12-31,114.05,7.99,14.27,28.48,4.0,56.39,2.02,
2020-03-31,78.7,6.6,11.92,26.09,3.02,56.68,1.39,
2020-06-30,88.01,4.82,18.26,26.16,3.36,52.86,1.66,
2020-09-30,93.09,4.04,23.04,27.17,3.43,49.94,1.86,
2020-12-31,112.75,3.77,29.91,28.55,3.95,47.37,2.38,
2021-03-31,132.75,6.1,21.76,30.45,4.36,45.43,2.92,
2021-06-30,155.08,8.61,18.01,32.0,4.85,48.4,3.2,
2021-09-30,157.65,9.58,16.46,31.4,5.02,51.24,3.08,
2021-12-31,154.34,10.02,15.4,29.14,5.3,54.9,2.81,
2022-03-31,176.85,10.01,17.67,29.65,5.97,59.1,2.99,
2022-06-30,131.96,9.78,13.49,30.94,4.27,64.3,2.05,
2022-09-30,128.43,9.98,12.87,32.05,4.01,69.18,1.86,
2022-12-31,141.19,9.85,14.33,33.26,4.25,73.89,1.91,
2023-03-31,158.17,9.52,16.61,34.98,4.52,79.11,2.0,
2023-06-30,167.66,9.84,17.04,36.28,4.62,83.31,2.01,
2023-09-30,144.08,10.67,13.5,37.48,3.84,87.58,1.65,
2023-12-31,181.67,11.21,16.21,38.81,4.68,91.24,1.99,
2024-03-31,221.51,12.14,18.25,40.01,5.54,94.78,2.34,
2024-06-30,225.97,13.4,16.86,41.49,5.45,97.87,2.31,
2024-09-30,265.45,13.59,19.53,42.2,6.29,100.92,2.63,
2024-12-31,291.26,14.01,20.79,43.11,6.76,103.76,2.81,
2025-03-31,264.65,14.32,18.48,44.51,5.95,106.07,2.5,
2025-06-30,314.81,14.25,22.09,46.42,6.78,108.93,2.89,
2025-09-30,328.65,14.9,22.06,47.05,6.99,112.1,2.93,
2025-12-31,366.96,15.38,23.86,48.8,7.52,115.38,3.18,
