period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,21.46,,,,0.0,,,
2006-06-30,25.55,,,,0.0,,,
2006-09-30,26.91,,,,0.0,,,
2006-12-31,23.06,3.85,5.99,,0.0,16.88,1.37,
2007-03-31,23.6,3.97,5.94,,0.0,17.52,1.35,
2007-06-30,23.52,3.91,6.02,,0.0,18.28,1.29,
2007-09-30,22.25,3.81,5.84,,0.0,18.98,1.17,
2007-12-31,19.03,3.74,5.09,,0.0,19.84,0.96,
2008-03-31,17.45,3.75,4.65,,0.0,20.57,0.85,
2008-06-30,19.54,3.91,5.0,,0.0,21.08,0.93,
2008-09-30,20.39,4.19,4.87,,0.0,21.57,0.95,
2008-12-31,19.06,4.19,4.55,,0.0,21.71,0.88,
2009-03-31,17.11,4.64,3.69,,0.0,21.76,0.79,
2009-06-30,21.3,4.71,4.52,,0.0,21.8,0.98,
2009-09-30,21.97,4.98,4.41,,0.0,22.12,0.99,
2009-12-31,22.94,5.19,4.42,,0.0,22.63,1.01,
2010-03-31,22.68,5.62,4.04,,0.0,23.22,0.98,
2010-06-30,23.9,5.89,4.06,,0.0,23.35,1.02,
2010-09-30,26.06,5.5,4.74,,0.0,23.16,1.13,
2010-12-31,23.75,5.57,4.26,16.61,1.43,23.05,1.03,
2011-03-31,24.64,5.73,4.3,,0.0,23.05,1.07,
2011-06-30,26.75,5.81,4.6,,0.0,23.49,1.14,
2011-09-30,24.13,7.28,3.31,,0.0,24.07,1.0,
2011-12-31,25.18,7.3,3.45,18.16,1.39,24.6,1.02,
2012-03-31,25.24,6.5,3.88,,0.0,24.41,1.03,
2012-06-30,25.38,6.23,4.07,,0.0,23.58,1.08,
2012-09-30,27.67,4.89,5.66,,0.0,22.88,1.21,
2012-12-31,27.32,4.94,5.53,19.21,1.42,22.07,1.24,
2013-03-31,30.1,4.48,6.72,,0.0,21.45,1.4,
2013-06-30,28.48,3.88,7.34,,0.0,21.18,1.35,
2013-09-30,31.83,3.67,8.67,,0.0,20.82,1.53,
2013-12-31,36.39,2.04,17.84,18.5,1.97,20.6,1.77,
2014-03-31,40.91,1.63,25.1,,0.0,20.61,1.99,
2014-06-30,46.85,1.61,29.1,17.46,2.68,20.99,2.23,
2014-09-30,45.64,0.82,55.65,,0.0,21.23,2.15,
2014-12-31,44.96,0.98,45.88,15.55,2.89,21.01,2.14,
2015-03-31,46.41,1.02,45.5,13.41,3.46,20.68,2.24,
2015-06-30,43.21,0.94,45.97,14.48,2.98,20.32,2.13,
2015-09-30,44.4,1.34,33.14,13.74,3.23,19.79,2.24,
2015-12-31,47.38,2.23,21.25,14.64,3.24,19.53,2.43,
2016-03-31,42.02,2.3,18.27,13.16,3.19,19.58,2.15,
2016-06-30,45.05,1.74,25.89,12.17,3.7,19.02,2.37,
2016-09-30,49.69,1.94,25.61,11.79,4.22,18.82,2.64,
