period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,55.68,,,15.14,3.68,,,
2006-06-30,58.73,,,13.66,4.3,,,
2006-09-30,56.75,,,14.5,3.91,,,
2006-12-31,64.17,2.85,22.51,6.25,10.26,78.77,0.81,
2007-03-31,64.47,3.1,20.8,7.12,9.05,80.52,0.8,
2007-06-30,69.98,4.66,15.02,7.77,9.01,82.75,0.85,
2007-09-30,76.67,5.21,14.72,8.59,8.93,85.31,0.9,
2007-12-31,64.1,5.28,12.14,12.22,5.24,85.66,0.75,
2008-03-31,54.77,5.77,9.49,12.55,4.36,87.29,0.63,
2008-06-30,48.63,5.58,8.71,12.07,4.03,88.52,0.55,
2008-09-30,42.7,5.1,8.37,12.34,3.46,88.35,0.48,
2008-12-31,32.01,3.67,8.72,-1.64,-19.56,83.1,0.39,
2009-03-31,26.96,2.91,9.26,-0.73,-36.93,85.03,0.32,
2009-06-30,32.52,3.16,10.29,0.48,67.88,86.13,0.38,
2009-09-30,41.83,-0.03,0.0,-1.26,-33.25,88.74,0.47,
2009-12-31,42.18,1.84,22.92,3.06,13.77,96.52,0.44,
2010-03-31,56.97,1.68,33.91,4.17,13.66,93.75,0.61,
2010-06-30,49.52,1.33,37.23,4.34,11.41,90.46,0.55,
2010-09-30,52.83,4.68,11.29,6.21,8.51,89.45,0.59,
2010-12-31,52.12,4.45,11.71,3.89,13.39,86.64,0.6,
2011-03-31,59.39,4.53,13.11,5.43,10.94,85.98,0.69,
2011-06-30,59.71,4.72,12.65,6.51,9.17,87.0,0.69,
2011-09-30,49.2,5.06,9.72,8.16,6.03,87.73,0.56,
2011-12-31,60.02,5.34,11.24,4.84,12.39,91.45,0.66,
2012-03-31,61.21,5.78,10.59,6.84,8.95,97.14,0.63,
2012-06-30,61.51,5.8,10.61,7.84,7.84,101.5,0.61,
2012-09-30,57.97,5.69,10.19,10.19,5.69,104.21,0.56,
2012-12-31,63.15,5.11,12.36,7.9,8.0,107.45,0.59,
2013-03-31,72.4,5.33,13.58,9.97,7.26,106.5,0.68,
2013-06-30,86.84,5.47,15.88,10.12,8.58,108.5,0.8,
2013-09-30,100.06,5.63,17.77,12.06,8.3,111.11,0.9,
2013-12-31,116.65,5.96,19.57,20.07,5.81,112.81,1.03,
2014-03-31,107.86,5.8,18.6,20.02,5.39,115.36,0.93,
2014-06-30,109.97,6.63,16.59,19.66,5.59,116.86,0.94,
2014-09-30,110.76,6.98,15.87,20.5,5.4,120.58,0.92,
2014-12-31,113.68,7.38,15.4,12.44,9.14,122.8,0.93,
2015-03-31,132.08,7.97,16.57,11.57,11.41,126.67,1.04,
2015-06-30,122.86,7.32,16.78,9.26,13.27,132.0,0.93,
2015-09-30,116.72,7.93,14.72,10.11,11.54,137.03,0.85,
2015-12-31,129.67,7.44,17.43,9.6,13.51,137.73,0.94,
2016-03-31,114.9,7.4,15.53,6.42,17.9,140.72,0.82,
2016-06-30,118.51,5.44,21.78,1.03,114.63,144.51,0.82,
2016-09-30,121.21,6.57,18.45,3.47,34.89,144.75,0.84,
2016-12-31,144.34,7.83,18.43,1.42,101.57,145.39,0.99,
2017-03-31,165.39,8.54,19.37,0.26,646.29,146.74,1.13,
2017-06-30,186.34,11.78,15.82,-3.33,-55.88,145.63,1.28,
2017-09-30,240.97,11.17,21.57,1.92,125.71,147.76,1.63,
2017-12-31,281.05,13.85,20.29,2.9,96.97,153.81,1.83,
2018-03-31,314.01,15.46,20.31,2.22,141.33,157.61,1.99,
2018-06-30,322.92,16.32,19.79,-2.39,-135.35,161.01,2.01,
2018-09-30,359.71,17.4,20.67,-2.12,-169.29,164.4,2.19,
2018-12-31,313.37,17.85,17.56,0.72,433.85,172.2,1.82,
2019-03-31,372.49,17.45,21.35,0.41,904.53,173.08,2.15,
2019-06-30,357.53,8.51,42.01,-8.78,-40.7,159.72,2.24,
2019-09-30,376.03,6.49,57.94,-6.77,-55.56,151.52,2.48,
2019-12-31,323.83,-1.12,0.0,-14.74,-21.96,134.79,2.4,
2020-03-31,149.14,-5.98,0.0,-16.59,-8.99,124.61,1.2,
2020-06-30,183.3,-4.97,0.0,-20.17,-9.09,117.59,1.56,
2020-09-30,165.26,-7.81,0.0,-20.47,-8.08,107.42,1.54,
2020-12-31,214.06,-20.88,0.0,-31.04,-6.9,102.66,2.09,
2021-03-31,254.72,-20.69,0.0,-30.53,-8.34,98.77,2.58,
2021-06-30,239.56,-15.49,0.0,-28.14,-8.51,106.72,2.24,
2021-09-30,219.94,-14.89,0.0,-24.28,-9.06,107.7,2.04,61.1
2021-12-31,201.32,-7.15,0.0,-25.21,-7.99,105.96,1.9,61.62
2022-03-31,191.5,-8.29,0.0,-25.82,-7.42,103.61,1.85,53.13
2022-06-30,136.72,-8.97,0.0,-24.92,-5.49,102.77,1.33,46.97
2022-09-30,121.08,-14.27,0.0,-29.61,-4.09,103.59,1.17,38.05
2022-12-31,190.49,-8.3,0.0,-26.52,-7.18,112.0,1.7,84.23
2023-03-31,212.43,-6.93,0.0,-25.75,-8.25,118.1,1.8,67.73
2023-06-30,211.16,-7.5,0.0,-25.7,-8.22,122.75,1.72,225.09
2023-09-30,191.68,-4.71,0.0,-27.65,-6.93,125.81,1.52,280.73
2023-12-31,260.66,-3.67,0.0,-28.27,-9.22,128.57,2.03,188.05
2024-03-31,192.99,-3.54,0.0,-27.74,-6.96,125.84,1.53,133.01
2024-06-30,182.01,-5.62,0.0,-29.21,-6.23,120.58,1.51,252.77
