period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2014-09-30,83.67,,,8.48,9.86,,,
2014-12-31,97.88,,,9.69,10.11,,,
2015-03-31,78.39,,,10.18,7.7,,,
2015-06-30,77.47,2.64,29.35,,0.0,5.14,15.08,
2015-09-30,55.53,3.84,14.46,,0.0,5.37,10.34,
2015-12-31,76.53,4.23,18.09,,0.0,5.84,13.11,
2016-03-31,74.42,4.33,17.19,15.64,4.76,6.13,12.14,
2016-06-30,74.89,2.85,26.28,,0.0,6.75,11.09,
2016-09-30,99.62,1.9,52.43,,0.0,7.39,13.47,
2016-12-31,82.69,2.14,38.64,,0.0,8.28,9.99,
2017-03-31,101.55,2.47,41.11,18.45,5.51,8.95,11.35,
2017-06-30,132.69,2.86,46.39,,0.0,9.91,13.39,
2017-09-30,162.64,3.43,47.42,,0.0,11.09,14.67,
2017-12-31,162.38,3.84,42.29,,0.0,12.98,12.51,
2018-03-31,172.84,3.91,44.21,27.05,6.39,15.29,11.3,
2018-06-30,174.72,3.58,48.8,,0.0,17.1,10.22,
2018-09-30,155.16,3.67,42.28,,0.0,18.64,8.32,
2018-12-31,129.08,4.1,31.48,,0.0,20.28,6.36,
2019-03-31,171.82,4.97,34.57,35.05,4.9,21.41,8.02,
2019-06-30,159.57,5.66,28.19,,0.0,23.11,6.9,
2019-09-30,157.48,8.4,18.75,,0.0,24.71,6.37,
2019-12-31,199.74,9.37,21.32,,0.0,26.86,7.44,
2020-03-31,183.14,7.9,23.18,45.76,4.0,27.11,6.75,
2020-06-30,203.13,9.17,22.15,,0.0,28.7,7.08,
2020-09-30,276.84,6.86,40.36,,0.0,30.7,9.02,
2020-12-31,219.16,8.47,25.88,,0.0,34.28,6.39,
2021-03-31,213.51,8.35,25.57,60.49,3.53,39.79,5.37,
2021-06-30,213.56,8.43,25.33,,0.0,43.41,4.92,
2021-09-30,139.42,7.2,19.36,62.07,2.25,46.53,3.0,15.62
2021-12-31,111.87,3.96,28.25,,0.0,48.14,2.32,13.05
2022-03-31,102.46,3.59,28.54,63.37,1.62,49.16,2.08,12.79
2022-06-30,107.05,2.32,46.14,,0.0,49.07,2.18,15.45
2022-09-30,75.33,0.92,81.88,,0.0,48.62,1.55,10.13
2022-12-31,82.96,2.34,35.45,,0.0,48.5,1.71,10.71
2023-03-31,96.22,4.0,24.06,63.17,1.52,47.86,2.01,11.65
2023-06-30,78.49,4.56,17.21,,0.0,48.92,1.6,10.06
2023-09-30,81.68,7.13,11.46,,0.0,49.94,1.64,9.71
2023-12-31,73.95,5.33,13.87,,0.0,50.63,1.46,8.21
2024-03-31,69.04,4.33,15.94,62.71,1.1,50.99,1.35,8.6
2024-06-30,70.17,3.86,18.18,,0.0,52.12,1.35,8.78
2024-09-30,103.42,4.97,20.81,64.07,1.61,54.06,1.91,11.65
2024-12-31,82.64,6.96,11.87,,0.0,55.6,1.49,9.25
2025-03-31,128.87,7.38,17.46,64.35,2.0,56.74,2.27,13.43
2025-06-30,112.38,8.53,13.17,,0.0,57.52,1.95,11.54
2025-09-30,177.1,7.17,24.7,,0.0,58.09,3.05,21.93
2025-12-31,145.25,5.23,27.77,,0.0,56.96,2.55,19.11
2026-03-31,124.32,6.38,19.49,69.81,1.78,59.73,2.08,17.44
2026-06-30,95.98,4.42,21.71,,0.0,61.7,1.56,14.73
2026-09-14,109.23,,24.71,,0.0,,1.77,
2026-09-15,,,,,,,,13.46
