period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,29.51,,,28.25,1.04,,,
2006-06-30,31.49,,,28.23,1.12,,,
2006-09-30,35.45,,,29.7,1.19,,,
2006-12-31,35.7,4.59,7.78,30.34,1.18,25.35,1.41,
2007-03-31,34.49,4.68,7.37,30.38,1.14,26.32,1.31,
2007-06-30,33.42,4.77,7.01,30.6,1.09,27.3,1.22,
2007-09-30,34.8,4.41,7.89,31.22,1.11,27.27,1.28,
2007-12-31,28.98,3.29,8.81,33.08,0.88,26.73,1.08,
2008-03-31,27.07,2.36,11.47,35.1,0.77,26.44,1.02,
2008-06-30,17.38,1.8,9.66,36.54,0.48,25.9,0.67,
2008-09-30,25.99,1.13,23.0,35.3,0.74,25.94,1.0,
2008-12-31,10.69,0.54,19.8,35.29,0.3,25.09,0.43,
2009-03-31,5.19,0.75,6.93,37.42,0.14,25.71,0.2,
2009-06-30,10.06,0.36,27.95,29.49,0.34,24.6,0.41,
2009-09-30,12.91,-0.05,0.0,29.79,0.43,21.8,0.59,
2009-12-31,11.49,-0.29,0.0,26.76,0.43,20.58,0.56,
2010-03-31,13.63,-0.45,0.0,22.91,0.6,17.28,0.79,
2010-06-30,10.98,-0.51,0.0,23.24,0.47,15.2,0.72,
2010-09-30,10.02,-1.02,0.0,22.97,0.44,14.62,0.69,
2010-12-31,10.21,-0.37,0.0,22.63,0.45,13.48,0.76,
2011-03-31,10.21,-0.48,0.0,22.79,0.45,12.87,0.79,
2011-06-30,8.4,-1.65,0.0,21.93,0.38,11.23,0.75,
2011-09-30,4.7,-0.32,0.0,22.72,0.21,11.21,0.42,
2011-12-31,4.28,0.01,427.66,21.84,0.2,11.21,0.38,
2012-03-31,7.37,-0.13,0.0,21.58,0.34,10.5,0.7,
2012-06-30,6.31,0.96,6.57,21.9,0.29,10.9,0.58,
2012-09-30,6.82,0.4,17.04,22.14,0.31,9.94,0.69,
2012-12-31,8.97,0.25,35.89,21.98,0.41,9.11,0.98,
2013-03-31,9.42,0.32,29.45,21.93,0.43,9.0,1.05,
2013-06-30,9.96,0.45,22.12,21.51,0.46,8.97,1.11,
2013-09-30,10.69,0.65,16.45,21.74,0.49,8.85,1.21,
2013-12-31,12.07,0.9,13.41,21.97,0.55,8.91,1.35,
2014-03-31,13.34,0.75,17.79,22.02,0.61,8.93,1.49,
2014-06-30,11.93,0.62,19.24,22.58,0.53,8.87,1.35,
2014-09-30,13.27,0.38,34.93,22.7,0.58,8.99,1.48,
2014-12-31,13.97,0.42,33.26,23.15,0.6,9.03,1.55,
2015-03-31,12.06,0.72,16.74,23.78,0.51,8.7,1.39,
2015-06-30,13.37,0.96,13.93,24.03,0.56,8.7,1.54,
2015-09-30,12.28,1.38,8.9,24.54,0.5,8.53,1.44,
2015-12-31,13.3,1.31,10.15,24.68,0.54,8.32,1.6,
2016-03-31,10.73,1.34,8.01,25.48,0.42,8.34,1.29,
2016-06-30,10.56,1.32,8.0,26.14,0.4,8.3,1.27,
2016-09-30,12.52,1.35,9.27,26.68,0.47,8.39,1.49,
