period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2018-09-30,34.08,,,0.97,35.07,,,
2018-12-31,9.98,,,0.36,27.46,,,
2019-03-31,12.92,,,0.6,21.57,,,
2019-06-30,12.27,-0.76,0.0,-0.1,-127.41,7.37,1.66,
2019-09-30,3.25,-0.23,0.0,-0.09,-34.61,6.96,0.47,
2019-12-31,7.47,-2.67,0.0,-1.39,-5.39,6.86,1.09,
2020-03-31,5.23,-2.34,0.0,-2.07,-2.53,6.81,0.77,
2020-06-30,10.88,-1.96,0.0,-1.89,-5.76,6.54,1.66,
2020-09-30,17.97,-1.61,0.0,0.26,69.98,6.05,2.97,
2020-12-31,28.66,-1.14,0.0,0.84,34.05,6.0,4.78,
2021-03-31,27.05,-0.68,0.0,0.37,72.29,5.87,4.61,
2021-06-30,26.87,-0.65,0.0,0.17,155.59,5.7,4.72,
2021-09-30,18.72,-0.86,0.0,0.0,8914.29,5.45,3.44,278.61
2021-12-31,21.93,-0.95,0.0,-0.01,-2520.69,5.62,3.9,172.94
2022-03-31,24.15,-1.24,0.0,-0.31,-78.51,5.62,4.3,172.94
2022-06-30,16.5,-1.6,0.0,-0.81,-20.37,5.66,2.91,172.94
2022-09-30,19.99,-1.61,0.0,1.04,19.26,6.04,3.31,279.58
2022-12-31,19.12,-1.62,0.0,1.84,10.38,6.55,2.92,295.98
2023-03-31,19.93,-1.53,0.0,2.08,9.57,6.75,2.95,295.98
2023-06-30,16.35,-1.18,0.0,1.66,9.88,6.83,2.39,295.98
2023-09-30,13.26,-1.67,0.0,2.26,5.88,7.16,1.85,88.4
2023-12-31,14.8,-1.42,0.0,2.32,6.39,6.35,2.33,52.39
2024-03-31,11.24,-1.32,0.0,2.16,5.21,6.06,1.85,59.13
2024-06-30,12.24,-1.27,0.0,1.96,6.24,6.1,2.01,45.76
2024-09-30,10.56,-0.53,0.0,1.99,5.3,5.65,1.87,29.09
2024-12-31,22.21,-0.13,0.0,2.55,8.7,6.49,3.42,51.84
2025-03-31,19.66,0.02,983.0,2.59,7.58,6.86,2.87,50.16
2025-06-30,23.92,0.11,217.45,2.65,9.02,7.11,3.36,52.7
2025-09-30,84.57,0.07,1208.14,2.87,29.5,7.87,10.75,145.31
2025-12-31,86.89,-0.37,0.0,2.83,30.69,8.59,10.12,101.0
2026-03-31,135.49,-0.04,0.0,3.34,40.62,9.52,14.23,97.19
2026-06-30,302.7,0.76,398.29,5.59,54.12,11.09,27.3,130.09
2026-09-14,257.05,,338.22,,45.96,,23.18,72.8
