period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-06-30,14.3,,,,0.0,,,
2006-12-31,13.3,,,,0.0,,,
2007-06-30,20.18,,,,0.0,,,
2007-12-31,23.85,0.0,0.0,,0.0,0.0,0.0,
2008-06-30,29.24,0.0,0.0,,0.0,0.0,0.0,
2008-12-31,14.91,0.0,0.0,,0.0,0.0,0.0,
2009-06-30,19.42,0.0,0.0,,0.0,0.0,0.0,
2009-12-31,27.53,0.0,0.0,,0.0,0.0,0.0,
2010-06-30,22.53,0.0,0.0,,0.0,0.0,0.0,
2010-12-31,34.21,0.0,0.0,,0.0,0.0,0.0,
2011-06-30,35.18,0.0,0.0,,0.0,0.0,0.0,
2011-12-31,26.62,0.0,0.0,,0.0,0.0,0.0,
2012-06-30,24.95,0.0,0.0,,0.0,0.0,0.0,
2012-12-31,30.49,0.0,0.0,,0.0,0.0,0.0,
2013-06-30,22.77,0.0,0.0,,0.0,0.0,0.0,
2013-12-31,27.41,0.0,0.0,,0.0,0.0,0.0,
2014-06-30,27.99,0.0,0.0,,0.0,0.0,0.0,
2014-12-31,19.7,0.0,0.0,,0.0,0.0,0.0,
2015-06-30,18.36,0.0,0.0,,0.0,0.0,0.0,
2015-12-31,12.04,0.0,0.0,,0.0,0.0,0.0,
2016-06-30,13.51,0.0,0.0,,0.0,0.0,0.0,
2016-12-31,17.08,0.0,0.0,,0.0,0.0,0.0,
2017-06-30,17.35,0.0,0.0,,0.0,0.0,0.0,
2017-12-31,22.86,0.0,0.0,,0.0,0.0,0.0,
2018-06-30,25.47,0.0,0.0,,0.0,0.0,0.0,
2018-12-31,25.27,0.0,0.0,,0.0,0.0,0.0,
2019-06-30,32.38,0.0,0.0,,0.0,0.0,0.0,
2019-12-31,31.46,0.0,0.0,,0.0,0.0,0.0,
2020-06-30,29.43,0.0,0.0,,0.0,0.0,0.0,
2020-12-31,39.43,0.0,0.0,,0.0,0.0,0.0,
2021-06-30,45.08,0.0,0.0,,0.0,0.0,0.0,
2021-12-31,39.79,0.0,0.0,,0.0,0.0,0.0,
2022-06-30,43.41,0.0,0.0,,0.0,0.0,0.0,
2022-12-31,51.21,0.0,0.0,,0.0,0.0,0.0,
2023-06-30,50.69,0.0,0.0,,0.0,0.0,0.0,
2023-12-31,59.66,0.0,0.0,,0.0,0.0,0.0,
2024-06-30,51.12,0.0,0.0,,0.0,0.0,0.0,
2024-12-31,44.96,0.0,0.0,,0.0,0.0,0.0,
2025-06-30,45.17,0.0,0.0,,0.0,0.0,0.0,
2025-12-31,57.94,0.0,0.0,,,0.0,0.0,
2026-09-14,84.74,,0.0,,0.0,,0.0,
