period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,85.48,,,15.42,5.54,,,
2006-06-30,85.24,,,16.23,5.25,,,
2006-09-30,91.55,,,91.1,1.0,,,
2006-12-31,93.61,3.87,24.19,92.62,1.01,28.35,3.3,
2007-03-31,96.74,4.29,22.55,94.53,1.02,30.04,3.22,
2007-06-30,97.34,5.03,19.35,95.97,1.01,32.98,2.95,
2007-09-30,108.28,6.69,16.19,97.68,1.11,38.08,2.84,
2007-12-31,135.83,7.37,18.43,99.91,1.36,36.85,3.69,
2008-03-31,128.43,7.66,16.77,101.47,1.27,39.11,3.28,
2008-06-30,111.74,7.97,14.02,103.61,1.08,41.26,2.71,
2008-09-30,123.24,7.62,16.17,103.96,1.19,41.3,2.98,
2008-12-31,85.53,5.78,14.8,104.82,0.82,38.41,2.23,
2009-03-31,83.58,4.63,18.05,260.26,0.32,36.02,2.32,
2009-06-30,113.29,4.22,26.85,259.6,0.44,33.23,3.41,
2009-09-30,140.57,4.9,28.69,265.44,0.53,31.69,4.44,
2009-12-31,151.06,6.11,24.72,396.68,0.38,34.66,4.36,
2010-03-31,142.32,7.66,18.58,392.48,0.36,37.56,3.79,
2010-06-30,94.3,8.28,11.39,395.96,0.24,40.39,2.33,
2010-09-30,112.74,8.84,12.75,408.32,0.28,42.88,2.63,
2010-12-31,126.99,10.55,12.04,200.64,0.63,44.75,2.84,
2011-03-31,134.87,11.27,11.97,201.95,0.67,46.11,2.92,
2011-06-30,129.59,12.27,10.56,182.67,0.71,47.87,2.71,
2011-09-30,100.83,12.67,7.96,179.39,0.56,49.23,2.05,
2011-12-31,122.81,12.37,9.93,182.5,0.67,48.2,2.55,
2012-03-31,142.26,12.62,11.27,182.89,0.78,48.82,2.91,
2012-06-30,118.99,12.49,9.53,148.67,0.8,48.91,2.43,
2012-09-30,126.0,12.91,9.76,151.17,0.83,49.9,2.52,
2012-12-31,147.19,13.79,10.67,151.5,0.97,52.26,2.82,
2013-03-31,184.2,14.27,12.91,151.69,1.21,53.93,3.42,
2013-06-30,185.34,15.38,12.05,153.17,1.21,55.79,3.32,
2013-09-30,196.55,15.94,12.33,156.3,1.26,56.83,3.46,
2013-12-31,231.11,16.87,13.7,159.77,1.45,58.54,3.95,
2014-03-31,231.11,17.65,13.09,159.36,1.45,60.04,3.85,
2014-06-30,236.34,18.18,13.0,162.54,1.45,61.99,3.81,
2014-09-30,244.2,19.34,12.63,164.59,1.48,64.42,3.79,
2014-12-31,267.39,19.25,13.89,166.79,1.6,64.71,4.13,
2015-03-31,275.19,19.69,13.98,166.57,1.65,65.23,4.22,
2015-06-30,261.84,19.81,13.22,169.7,1.54,66.17,3.96,
2015-09-30,226.72,19.44,11.66,172.17,1.32,66.74,3.4,
2015-12-31,261.09,19.79,13.19,174.84,1.49,67.41,3.87,
2016-03-31,262.97,18.87,13.94,174.03,1.51,67.04,3.92,
2016-06-30,266.16,18.76,14.19,175.81,1.51,66.69,3.99,
2016-09-30,283.37,19.02,14.9,178.47,1.59,66.5,4.26,
2016-12-31,299.31,19.02,15.74,180.46,1.66,73.55,4.07,
