period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,60.24,,,,0.0,,,
2006-06-30,60.86,,,,0.0,,,
2006-09-30,63.48,,,,0.0,,,
2006-12-31,73.32,4.61,15.91,,0.0,41.24,1.78,
2007-03-31,72.8,4.73,15.4,,0.0,45.47,1.6,
2007-06-30,72.1,5.05,14.29,,0.0,46.77,1.54,
2007-09-30,79.04,5.78,13.66,,0.0,48.64,1.62,
2007-12-31,94.72,5.69,16.63,,0.0,49.75,1.9,
2008-03-31,89.46,5.0,17.89,,0.0,46.48,1.92,
2008-06-30,80.24,4.9,16.38,,0.0,47.59,1.69,
2008-09-30,87.9,3.44,25.55,,0.0,46.74,1.88,
2008-12-31,64.28,2.15,29.93,154.41,0.42,45.23,1.42,
2009-03-31,56.4,1.1,51.43,134.62,0.42,44.54,1.27,
2009-06-30,57.92,1.31,44.15,149.58,0.39,44.71,1.3,
2009-09-30,66.46,2.26,29.38,164.41,0.4,45.92,1.45,
2009-12-31,65.72,3.46,19.0,182.08,0.36,48.32,1.36,
2010-03-31,81.27,5.63,14.43,158.43,0.51,51.87,1.57,
2010-06-30,79.69,5.01,15.89,149.34,0.53,51.98,1.53,
2010-09-30,82.68,4.83,17.11,150.01,0.55,53.81,1.54,
2010-12-31,80.11,5.28,15.17,154.89,0.52,55.57,1.44,
2011-03-31,83.63,4.38,19.1,154.78,0.54,55.85,1.5,
2011-06-30,77.39,4.96,15.59,156.35,0.49,58.49,1.32,
2011-09-30,71.04,4.67,15.2,153.4,0.46,57.43,1.24,
2011-12-31,76.3,4.14,18.43,157.94,0.48,58.03,1.31,
2012-03-31,81.15,4.84,16.77,167.1,0.49,59.8,1.36,
2012-06-30,83.33,4.71,17.68,167.46,0.5,59.88,1.39,
2012-09-30,88.2,5.37,16.41,172.37,0.51,62.82,1.4,
2012-12-31,89.7,5.98,15.0,170.62,0.53,65.54,1.37,
2013-03-31,104.2,6.65,15.66,179.19,0.58,67.93,1.53,
2013-06-30,111.92,7.24,15.45,179.8,0.62,70.5,1.59,
2013-09-30,113.51,7.71,14.72,180.75,0.63,72.81,1.56,
2013-12-31,118.56,7.89,15.02,190.53,0.62,73.82,1.61,
2014-03-31,124.97,7.82,15.99,195.01,0.64,74.46,1.68,
2014-06-30,126.56,8.57,14.77,199.45,0.63,76.5,1.65,
2014-09-30,138.14,8.39,16.46,198.04,0.7,78.4,1.76,
2014-12-31,150.15,8.06,18.64,198.28,0.76,78.92,1.9,
2015-03-31,144.32,8.24,17.51,199.37,0.72,80.23,1.8,
2015-06-30,136.11,7.28,18.7,199.71,0.68,80.89,1.68,
2015-09-30,130.4,9.23,14.13,201.19,0.65,84.04,1.55,
2015-12-31,132.04,9.76,13.53,206.36,0.64,85.53,1.54,
2016-03-31,141.88,9.93,14.29,208.46,0.68,86.95,1.63,
2016-06-30,144.79,10.33,14.01,211.28,0.69,88.11,1.64,
2016-09-30,144.47,9.43,15.33,211.63,0.68,88.04,1.64,
2016-12-31,162.98,9.76,16.7,219.11,0.74,87.19,1.87,
2017-03-31,166.68,9.14,18.24,225.49,0.74,92.12,1.81,
2017-06-30,169.37,8.84,19.17,231.2,0.73,93.33,1.81,
2017-09-30,183.32,8.97,20.44,233.46,0.79,114.12,1.61,
2017-12-31,198.22,18.2,10.89,262.38,0.76,117.74,1.68,
2018-03-31,199.48,16.1,12.39,260.77,0.76,115.34,1.73,
2018-06-30,186.65,19.24,9.7,268.25,0.7,117.33,1.59,
2018-09-30,214.11,23.71,9.03,278.34,0.77,98.41,2.18,
