period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,302.86,,,230.16,1.32,,,
2006-06-30,312.61,,,233.47,1.34,,,
2006-09-30,325.08,,,239.87,1.36,,,
2006-12-31,368.14,43.1,8.54,243.86,1.51,284.57,1.29,
2007-03-31,342.68,42.0,8.16,246.81,1.39,302.69,1.13,
2007-06-30,345.79,43.9,7.88,256.82,1.35,321.48,1.08,
2007-09-30,318.31,37.3,8.53,255.19,1.25,332.47,0.96,
2007-12-31,203.42,6.7,30.36,227.14,0.9,307.72,0.66,
2008-03-31,149.72,-13.7,0.0,244.23,0.61,272.35,0.55,
2008-06-30,118.65,-31.6,0.0,250.5,0.47,235.09,0.5,
2008-09-30,147.71,-42.1,0.0,231.33,0.64,200.86,0.74,
2008-12-31,48.93,-56.3,0.0,264.26,0.19,181.99,0.27,
2009-03-31,18.49,-47.8,0.0,264.7,0.07,184.81,0.1,
2009-06-30,21.71,-37.4,0.0,279.91,0.08,193.02,0.11,
2009-09-30,35.38,-34.0,0.0,62.52,0.57,165.48,0.21,
2009-12-31,24.19,-7.99,0.0,54.41,0.44,147.92,0.16,
2010-03-31,29.6,-4.69,0.0,53.73,0.55,104.68,0.28,
2010-06-30,27.48,-8.69,0.0,54.3,0.51,52.57,0.52,
2010-09-30,28.58,-5.27,0.0,56.86,0.5,39.45,0.72,
2010-12-31,34.57,3.54,9.77,57.05,0.61,37.71,0.92,
2011-03-31,32.31,3.03,10.66,59.37,0.54,35.5,0.91,
2011-06-30,30.44,3.22,9.45,61.22,0.5,34.95,0.87,
2011-09-30,18.74,3.73,5.02,61.34,0.31,34.87,0.54,
2011-12-31,19.25,3.63,5.3,61.42,0.31,33.87,0.57,
2012-03-31,26.75,3.59,7.45,62.66,0.43,33.56,0.8,
2012-06-30,20.07,3.45,5.82,63.37,0.32,32.4,0.62,
2012-09-30,23.96,2.37,10.11,64.36,0.37,29.66,0.81,
2012-12-31,28.98,2.44,11.88,63.06,0.46,29.78,0.97,
2013-03-31,32.41,2.72,11.92,64.2,0.5,29.57,1.1,
2013-06-30,35.15,3.11,11.3,65.05,0.54,29.78,1.18,
2013-09-30,35.56,3.96,8.98,66.84,0.53,30.76,1.16,
2013-12-31,38.2,4.34,8.8,68.05,0.56,30.52,1.25,
2014-03-31,34.9,4.34,8.04,69.21,0.5,30.27,1.15,
2014-06-30,34.54,3.03,11.4,70.29,0.49,29.76,1.16,
2014-09-30,38.01,2.91,13.06,70.6,0.54,30.16,1.26,
2014-12-31,39.7,2.2,18.05,70.01,0.57,29.92,1.33,
2015-03-31,37.81,2.48,15.25,71.2,0.53,29.59,1.28,
2015-06-30,40.58,3.96,10.25,73.37,0.55,29.45,1.38,
2015-09-30,36.47,4.43,8.23,74.57,0.49,29.09,1.25,
2015-12-31,38.08,5.4,7.05,75.54,0.5,29.25,1.3,
2016-03-31,30.76,4.99,6.16,77.94,0.39,28.73,1.07,
2016-06-30,31.26,4.72,6.62,80.2,0.39,28.37,1.1,
2016-09-30,34.96,4.61,7.58,81.65,0.43,28.42,1.23,
2016-12-31,44.14,4.72,9.35,81.57,0.54,28.66,1.54,
2017-03-31,44.55,5.1,8.74,83.23,0.54,29.63,1.5,
2017-06-30,49.95,5.14,9.72,84.82,0.59,30.64,1.63,
2017-09-30,54.57,5.32,10.26,86.47,0.63,31.87,1.71,
2017-12-31,56.07,-2.98,0.0,78.47,0.71,32.69,1.71,
2018-03-31,51.07,-2.78,0.0,79.56,0.64,34.14,1.5,
2018-06-30,50.87,-2.43,0.0,79.86,0.64,35.66,1.43,
2018-09-30,54.87,-2.12,0.0,81.02,0.68,37.14,1.48,
2018-12-31,40.09,6.68,6.0,83.21,0.48,38.59,1.04,
2019-03-31,48.26,6.87,7.02,85.2,0.57,40.26,1.2,
2019-06-30,54.66,7.19,7.6,87.7,0.62,42.23,1.29,
2019-09-30,54.33,7.53,7.21,90.27,0.6,43.93,1.24,
2019-12-31,63.28,8.04,7.87,91.74,0.69,45.39,1.39,
