period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,43.35,,,13.38,3.24,,,
2006-06-30,45.11,,,13.17,3.43,,,
2006-09-30,40.02,,,13.88,2.88,,,
2006-12-31,37.47,5.17,7.25,10.62,3.53,60.46,0.62,
2007-03-31,41.16,5.2,7.91,11.7,3.52,62.08,0.66,
2007-06-30,48.28,4.92,9.81,12.25,3.94,63.81,0.76,
2007-09-30,48.57,5.18,9.38,13.54,3.59,65.62,0.74,
2007-12-31,45.14,5.37,8.41,14.42,3.13,67.94,0.66,
2008-03-31,48.98,5.59,8.76,14.99,3.27,71.38,0.69,
2008-06-30,46.4,6.09,7.62,15.56,2.98,75.68,0.61,
2008-09-30,37.68,6.08,6.2,15.99,2.36,79.12,0.48,
2008-12-31,28.53,5.66,5.04,10.29,2.77,81.29,0.35,
2009-03-31,18.05,4.02,4.49,10.53,1.71,78.12,0.23,
2009-06-30,21.6,2.88,7.5,11.87,1.82,69.55,0.31,
2009-09-30,33.98,2.13,15.95,12.98,2.62,60.25,0.56,
2009-12-31,38.0,1.43,26.58,14.12,2.69,52.29,0.73,
2010-03-31,42.2,1.98,21.31,14.37,2.94,49.77,0.85,
2010-06-30,40.58,2.47,16.43,14.71,2.76,52.99,0.77,
2010-09-30,53.51,3.05,17.54,15.56,3.44,58.59,0.91,
2010-12-31,64.05,4.15,15.43,17.01,3.77,65.67,0.98,
2011-03-31,76.5,5.63,13.59,19.66,3.89,72.34,1.06,
2011-06-30,73.45,6.06,12.12,20.8,3.53,77.58,0.95,
2011-09-30,51.16,6.55,7.81,21.98,2.33,84.09,0.61,
2011-12-31,63.12,7.4,8.53,19.97,3.16,90.29,0.7,
2012-03-31,74.54,7.93,9.4,23.02,3.24,94.66,0.79,
2012-06-30,59.67,8.95,6.67,24.46,2.44,99.28,0.6,
2012-09-30,60.85,9.78,6.22,27.43,2.22,100.27,0.61,
2012-12-31,64.12,8.48,7.56,26.84,2.39,98.39,0.65,
2013-03-31,62.24,7.42,8.39,27.86,2.23,94.22,0.66,
2013-06-30,59.41,6.33,9.39,27.3,2.18,90.33,0.66,
2013-09-30,60.48,5.24,11.54,28.56,2.12,86.33,0.7,
2013-12-31,66.32,5.75,11.53,32.73,2.03,84.19,0.79,
2014-03-31,73.04,5.88,12.42,32.63,2.24,85.23,0.86,
2014-06-30,80.35,6.0,13.39,33.33,2.41,85.34,0.94,
2014-09-30,73.69,6.18,11.92,31.21,2.36,86.5,0.85,
2014-12-31,68.62,3.9,17.6,27.76,2.47,87.28,0.79,
2015-03-31,60.49,4.49,13.47,28.23,2.14,87.3,0.69,
2015-06-30,64.65,4.23,15.28,28.48,2.27,85.3,0.76,
2015-09-30,50.27,3.54,14.2,27.43,1.83,81.98,0.61,
2015-12-31,52.86,4.18,12.65,25.56,2.07,77.67,0.68,
2016-03-31,60.28,2.61,23.09,26.98,2.23,73.04,0.83,
2016-06-30,60.29,2.23,27.03,26.19,2.3,70.44,0.86,
2016-09-30,71.27,1.77,40.27,26.86,2.65,67.55,1.06,
