period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,18.49,,,6.68,2.77,,,
2006-06-30,17.12,,,6.71,2.55,,,
2006-09-30,16.96,,,6.78,2.5,,,
2006-12-31,17.91,0.46,38.93,6.18,2.9,4.72,3.79,
2007-03-31,21.06,0.54,39.0,6.71,3.14,4.93,4.27,
2007-06-30,21.96,0.64,34.31,7.4,2.97,5.09,4.32,
2007-09-30,22.19,0.74,29.99,7.26,3.05,5.25,4.22,
2007-12-31,17.01,0.97,17.54,7.57,2.25,5.42,3.14,
2008-03-31,10.68,0.69,15.48,7.34,1.45,5.21,2.05,
2008-06-30,10.1,0.42,24.05,7.41,1.36,5.14,1.97,
2008-09-30,6.76,-0.49,0.0,6.65,1.02,4.72,1.43,
2008-12-31,3.66,-7.3,0.0,0.72,5.05,4.06,0.9,
2009-03-31,4.2,-7.42,0.0,0.56,7.49,3.84,1.09,
2009-06-30,5.9,-7.64,0.0,0.32,18.19,3.44,1.71,
2009-09-30,7.34,-7.02,0.0,0.36,20.51,3.36,2.19,
2009-12-31,5.99,-0.58,0.0,0.4,14.85,3.32,1.81,
2010-03-31,6.67,-0.37,0.0,0.44,15.15,3.35,1.99,
2010-06-30,5.79,0.1,57.9,0.61,9.48,3.39,1.71,
2010-09-30,7.63,0.63,12.11,1.11,6.89,3.46,2.21,
2010-12-31,8.26,0.48,17.21,1.04,7.98,3.54,2.33,
2011-03-31,9.75,0.54,18.06,1.11,8.81,3.68,2.65,
2011-06-30,10.56,0.46,22.96,1.23,8.58,3.88,2.72,
2011-09-30,9.24,0.08,115.5,1.38,6.68,4.05,2.28,
2011-12-31,10.4,0.27,38.52,1.51,6.9,4.25,2.44,
2012-03-31,11.84,0.36,32.89,1.68,7.06,4.4,2.69,
2012-06-30,10.99,0.39,28.18,1.83,6.02,4.54,2.42,
2012-09-30,12.87,0.5,25.74,2.1,6.12,4.66,2.76,
2012-12-31,13.51,1.57,8.61,3.26,4.14,4.75,2.84,
2013-03-31,13.93,1.73,8.05,3.6,3.87,4.82,2.89,
2013-06-30,14.48,1.63,8.88,3.66,3.95,4.87,2.97,
2013-09-30,13.51,1.55,8.72,3.81,3.55,4.91,2.75,
2013-12-31,14.02,0.56,25.04,4.01,3.49,4.96,2.83,
2014-03-31,15.54,0.4,38.85,4.19,3.71,5.0,3.11,
2014-06-30,17.49,0.45,38.87,4.35,4.02,5.01,3.49,
2014-09-30,17.21,0.44,39.11,4.39,3.92,5.07,3.4,
2014-12-31,18.97,0.52,36.48,4.57,4.15,5.17,3.67,
2015-03-31,18.44,0.53,34.79,4.66,3.96,5.23,3.53,
2015-06-30,19.66,0.64,30.72,4.8,4.1,5.32,3.7,
2015-09-30,20.68,0.77,26.86,4.65,4.44,5.41,3.82,
2015-12-31,20.81,0.81,25.69,4.45,4.68,5.44,3.82,
2016-03-31,23.58,0.86,27.42,4.1,5.75,5.6,4.21,
2016-06-30,24.3,0.84,28.93,3.68,6.61,5.81,4.18,
2016-09-30,25.53,0.82,31.13,3.23,7.9,5.98,4.27,
2016-12-31,25.22,0.7,36.03,2.67,9.46,6.17,4.09,
2017-03-31,31.4,0.78,40.26,3.01,10.44,6.41,4.9,
2017-06-30,33.49,0.86,38.94,3.4,9.86,6.59,5.08,
2017-09-30,39.47,0.92,42.9,3.58,11.03,6.77,5.83,
