period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,11.45,,,,0.0,,,
2006-06-30,9.54,,,,0.0,,,
2006-09-30,10.74,,,,0.0,,,
2006-12-31,7.81,-0.67,0.0,,0.0,38.79,0.2,
2007-03-31,6.13,-0.74,0.0,,0.0,38.32,0.16,
2007-06-30,6.25,-0.69,0.0,,0.0,36.99,0.17,
2007-09-30,6.11,-0.27,0.0,,0.0,35.54,0.17,
2007-12-31,5.8,-0.05,0.0,,0.0,35.25,0.16,
2008-03-31,6.72,0.23,29.22,,0.0,35.2,0.19,
2008-06-30,8.43,0.48,17.56,,0.0,34.88,0.24,
2008-09-30,6.44,0.39,16.51,,0.0,34.62,0.19,
2008-12-31,4.61,-3.14,0.0,,0.0,33.41,0.14,
2009-03-31,3.56,-3.19,0.0,,0.0,31.8,0.11,
2009-06-30,6.82,-3.34,0.0,,0.0,29.75,0.23,
2009-09-30,9.48,-3.48,0.0,,0.0,27.71,0.34,
2009-12-31,9.44,0.23,41.04,,0.0,26.45,0.36,
2010-03-31,10.93,0.26,42.04,,0.0,26.57,0.41,
2010-06-30,8.06,0.21,38.38,,0.0,27.36,0.29,
2010-09-30,8.43,0.36,23.42,,0.0,27.26,0.31,
2010-12-31,9.7,0.34,28.53,,0.0,28.48,0.34,
2011-03-31,10.72,0.37,28.97,,0.0,30.17,0.36,
2011-06-30,8.76,0.61,14.36,,0.0,31.6,0.28,
2011-09-30,7.25,0.69,10.51,,0.0,33.26,0.22,
2011-12-31,7.33,0.9,8.14,,0.0,32.88,0.22,
2012-03-31,9.57,0.96,9.97,,0.0,32.43,0.3,
2012-06-30,7.26,0.86,8.44,,0.0,32.33,0.22,
2012-09-30,7.14,0.84,8.5,,0.0,31.57,0.23,
2012-12-31,8.15,0.56,14.55,,0.0,30.91,0.26,
2013-03-31,8.09,0.42,19.26,,0.0,30.57,0.26,
2013-06-30,9.45,0.46,20.54,,0.0,30.39,0.31,
2013-09-30,11.03,0.56,19.7,,0.0,30.82,0.36,
2013-12-31,10.4,0.64,16.25,,0.0,31.25,0.33,
2014-03-31,10.95,0.78,14.04,,0.0,31.02,0.35,
2014-06-30,12.56,0.85,14.78,,0.0,31.06,0.4,
2014-09-30,10.15,0.73,13.9,,0.0,30.98,0.33,
