period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,24.42,,,43.74,0.56,,,
2006-06-30,25.48,,,46.96,0.54,,,
2006-09-30,23.27,,,48.9,0.48,,,
2006-12-31,28.29,9.66,2.93,50.21,0.56,119.02,0.24,
2007-03-31,27.04,9.44,2.86,51.87,0.52,110.58,0.24,
2007-06-30,31.24,6.53,4.78,52.19,0.6,111.49,0.28,
2007-09-30,35.1,6.45,5.44,54.35,0.65,111.06,0.32,
2007-12-31,35.48,7.22,4.91,56.63,0.63,117.62,0.3,
2008-03-31,30.8,7.72,3.99,58.07,0.53,127.68,0.24,
2008-06-30,38.34,11.04,3.47,60.8,0.63,145.05,0.26,
2008-09-30,29.93,12.2,2.45,62.3,0.48,162.6,0.18,
2008-12-31,21.36,-10.73,0.0,36.99,0.58,159.58,0.13,
2009-03-31,16.33,-12.81,0.0,37.93,0.43,144.72,0.11,
2009-06-30,17.72,-15.74,0.0,40.47,0.44,121.76,0.15,
2009-09-30,19.23,-18.16,0.0,41.85,0.46,102.6,0.19,
2009-12-31,21.96,2.94,7.47,41.06,0.53,101.81,0.22,
2010-03-31,22.23,3.8,5.85,41.53,0.54,111.35,0.2,
2010-06-30,21.54,6.0,3.59,43.35,0.5,120.55,0.18,
2010-09-30,25.46,7.08,3.6,46.39,0.55,126.19,0.2,
2010-12-31,30.47,7.61,4.0,47.09,0.65,133.32,0.23,
2011-03-31,36.04,8.3,4.34,48.62,0.74,143.18,0.25,
2011-06-30,34.25,7.94,4.31,50.08,0.68,122.3,0.28,
2011-09-30,29.1,7.8,3.73,49.95,0.58,101.3,0.29,
2011-12-31,33.81,8.97,3.77,51.14,0.66,77.18,0.44,
2012-03-31,35.59,9.15,3.89,53.02,0.67,49.32,0.72,
2012-06-30,34.76,8.54,4.07,38.24,0.91,48.61,0.72,
2012-09-30,35.99,8.09,4.45,39.44,0.91,48.39,0.74,
2012-12-31,36.92,6.72,5.49,39.69,0.93,49.26,0.75,
2013-03-31,38.7,6.18,6.26,40.27,0.96,48.68,0.8,
2013-06-30,39.36,6.03,6.53,40.01,0.98,48.31,0.81,
2013-09-30,45.71,6.57,6.96,41.06,1.11,48.82,0.94,
2013-12-31,46.92,7.38,6.36,42.82,1.1,47.04,1.0,
2014-03-31,47.22,7.36,6.42,43.68,1.08,48.1,0.98,
2014-06-30,58.06,7.38,7.87,45.29,1.28,48.47,1.2,
2014-09-30,52.26,7.55,6.92,45.22,1.16,46.36,1.13,
2014-12-31,47.63,5.51,8.64,42.45,1.12,44.59,1.07,
2015-03-31,43.41,4.02,10.8,39.75,1.09,38.1,1.14,
