period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-02-28,34.71,,,19.3,1.8,,,
2006-05-31,35.98,,,19.66,1.83,,,
2006-08-31,31.88,,,19.78,1.61,,,
2006-11-30,35.73,2.36,15.14,19.7,1.81,128.43,0.28,
2007-02-28,38.27,2.28,16.78,19.56,1.96,132.01,0.29,
2007-05-31,38.77,2.28,17.0,19.27,2.01,136.52,0.28,
2007-08-31,42.5,2.37,17.93,19.73,2.15,139.89,0.3,
2007-11-30,46.49,2.45,18.97,20.15,2.31,145.11,0.32,
2008-02-29,42.8,2.65,16.15,20.6,2.08,150.49,0.28,
2008-05-31,49.41,2.83,17.46,20.95,2.36,155.81,0.32,
2008-08-31,46.57,2.89,16.11,21.25,2.19,163.07,0.29,
2008-11-30,35.85,2.9,12.36,20.43,1.75,164.81,0.22,
2009-02-28,29.6,2.71,10.92,21.01,1.41,165.0,0.18,
2009-05-31,34.05,2.52,13.51,21.78,1.56,163.44,0.21,
2009-08-31,35.91,2.47,14.54,23.18,1.55,162.25,0.22,
2009-11-30,42.33,2.47,17.14,23.74,1.78,163.92,0.26,
2010-02-28,43.21,2.59,16.68,24.39,1.77,167.55,0.26,
2010-05-31,41.43,2.79,14.85,24.9,1.66,171.28,0.24,
2010-08-31,40.33,2.92,13.81,25.21,1.6,174.57,0.23,
2010-11-30,48.41,3.03,15.98,26.83,1.8,179.27,0.27,
2011-02-28,53.7,3.15,17.05,27.73,1.94,184.44,0.29,
2011-05-31,59.4,3.2,18.56,28.65,2.07,191.28,0.31,
2011-08-31,56.74,3.3,17.19,28.95,1.96,200.78,0.28,
2011-11-30,61.8,3.32,18.61,28.6,2.16,206.28,0.3,
2012-02-29,62.53,3.43,18.23,29.55,2.12,211.43,0.3,
2012-05-31,62.97,3.58,17.59,30.43,2.07,215.77,0.29,
2012-08-31,71.55,3.89,18.39,28.95,2.47,225.51,0.32,
2012-11-30,76.19,4.11,18.54,29.51,2.58,230.49,0.33,
2013-02-28,79.73,4.45,17.92,23.57,3.38,234.77,0.34,
2013-05-31,86.53,4.61,18.77,24.38,3.55,238.58,0.36,
2013-08-31,88.53,4.63,19.12,25.21,3.51,239.0,0.37,
2013-11-30,99.51,4.64,21.45,25.95,3.84,241.48,0.41,
2014-02-28,92.92,4.45,20.88,26.62,3.49,244.34,0.38,
2014-05-31,92.58,4.48,20.67,27.41,3.38,247.96,0.37,
2014-08-31,96.91,4.65,20.84,28.59,3.39,254.49,0.38,
2014-11-30,114.04,4.81,23.71,28.54,4.0,258.7,0.44,
2015-02-28,122.13,5.11,23.9,23.68,5.16,261.28,0.47,
2015-05-31,118.82,5.21,22.81,24.59,4.83,261.92,0.45,
2015-08-31,117.02,5.37,21.79,24.76,4.73,262.46,0.45,
2015-11-30,135.23,5.34,25.32,25.19,5.37,263.37,0.51,
2016-02-29,126.03,5.23,24.1,25.58,4.93,265.18,0.48,
2016-05-31,125.34,5.3,23.65,26.8,4.68,266.97,0.47,
2016-08-31,136.93,5.33,25.69,28.19,4.86,269.01,0.51,
2016-11-30,127.2,5.48,23.21,27.84,4.57,271.13,0.47,
2017-02-28,150.54,5.41,27.83,28.96,5.2,274.88,0.55,
2017-05-31,159.96,5.76,27.77,23.22,6.89,279.62,0.57,
2017-08-31,139.4,6.08,22.93,25.34,5.5,292.7,0.48,
2017-11-30,164.52,6.29,26.16,25.86,6.36,301.07,0.55,
