period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2022-01-31,12.12,,,2.17,5.59,,,
2022-04-30,11.04,,,2.31,4.78,,,112.65
2022-07-30,,,,,,,,104.39
2022-07-31,16.05,,,2.35,6.82,,,
2022-10-29,,,,,,,,67.75
2022-10-31,13.74,-0.03,0.0,2.35,5.85,1.53,9.0,
2023-01-28,,,,,,,,71.74
2023-01-31,17.33,-0.01,0.0,2.4,7.21,1.44,12.01,
2023-04-29,,,,,,,,94.44
2023-04-30,8.11,-0.11,0.0,2.34,3.47,1.24,6.55,
2023-07-29,,,,,,,,94.44
2023-07-31,16.97,-0.19,0.0,2.32,7.32,1.15,14.72,
2023-10-28,,,,,,,,100.94
2023-10-31,14.22,-0.21,0.0,2.32,6.12,1.09,13.0,
2024-01-27,,,,,,,,93.83
2024-01-31,20.51,-0.23,0.0,3.27,6.26,1.06,19.27,
2024-04-27,,,,,,,,75.42
2024-04-30,17.87,-0.18,0.0,3.29,5.44,1.24,14.44,
2024-07-31,27.75,-0.16,0.0,3.33,8.33,1.36,20.34,
2024-08-03,,,,,,,,69.78
2024-10-31,37.7,-0.15,0.0,3.4,11.1,1.5,25.07,
2024-11-02,,,,,,,,83.55
2025-01-31,70.02,0.01,0.0,3.64,19.22,1.93,36.35,
2025-02-01,,,,,,,,77.97
2025-04-30,43.05,0.29,148.45,3.98,10.81,2.47,17.41,
2025-05-03,,,,,,,,43.02
2025-07-31,111.55,0.69,161.67,4.52,24.68,3.32,33.6,
2025-08-02,,,,,,,,69.65
2025-10-31,187.62,1.16,161.74,7.2,26.04,4.32,43.48,
2025-11-01,,,,,,,,88.91
2026-01-31,125.28,1.82,68.84,10.04,12.48,5.69,22.0,37.23
2026-04-30,174.01,2.51,69.33,11.13,15.64,7.08,24.58,
2026-05-02,,,,,,,,38.69
2026-07-31,206.99,2.84,72.88,14.53,14.24,8.33,24.84,
2026-08-01,,,,,,,,33.79
2026-09-14,150.09,,52.85,,10.33,,18.01,
2026-09-15,,,,,,,,20.78
