period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,10.09,,,0.44,22.71,,,
2006-04-30,8.61,,,0.48,18.13,,,
2006-07-31,6.32,,,0.51,12.33,,,
2006-10-31,9.59,0.01,767.13,0.56,16.98,0.96,9.97,
2007-01-31,10.77,0.0,0.0,0.62,17.51,1.07,10.06,
2007-04-30,10.32,0.0,0.0,0.67,15.42,1.17,8.81,
2007-07-31,9.55,0.01,954.98,0.75,12.71,1.27,7.51,
2007-10-31,13.85,0.02,615.68,0.85,16.31,1.4,9.93,
2008-01-31,12.76,0.04,340.18,0.95,13.47,1.54,8.29,
2008-04-30,16.4,0.06,298.16,1.05,15.66,1.7,9.65,
2008-07-31,15.68,0.07,232.24,1.17,13.41,1.86,8.43,
2008-10-31,7.61,0.08,101.45,1.27,6.0,2.02,3.77,
2009-01-31,6.54,0.09,74.74,1.39,4.71,2.15,3.04,
2009-04-30,10.52,0.11,100.2,1.5,7.03,2.26,4.65,
2009-07-31,10.65,0.13,83.53,1.62,6.58,2.36,4.51,
2009-10-31,13.95,0.15,94.55,1.74,8.0,2.45,5.68,
2010-01-31,15.62,0.16,99.16,2.08,7.52,2.57,6.09,
2010-04-30,21.04,0.15,137.94,2.24,9.38,2.67,7.88,
2010-07-31,24.32,0.14,176.85,2.42,10.06,2.78,8.75,
2010-10-31,28.52,0.14,211.29,2.31,12.37,2.92,9.77,
2011-01-31,31.74,0.12,270.09,2.4,13.22,3.07,10.35,
2011-04-30,34.06,0.09,400.71,2.34,14.53,3.25,10.49,
2011-07-31,35.56,0.05,711.25,2.62,13.59,3.52,10.09,
2011-10-31,32.73,0.01,0.0,2.75,11.88,3.82,8.58,
2012-01-31,28.7,-0.02,0.0,2.9,9.91,4.15,6.92,
2012-04-30,38.27,-0.06,0.0,3.28,11.67,4.51,8.48,
2012-07-31,30.56,-0.07,0.0,3.4,8.98,4.81,6.35,
2012-10-31,35.87,-0.46,0.0,3.67,9.78,5.12,7.0,
2013-01-31,42.3,-0.48,0.0,3.96,10.69,5.43,7.78,
2013-04-30,40.41,-0.56,0.0,4.17,9.68,5.69,7.1,
2013-07-31,43.01,-0.42,0.0,4.73,9.09,5.91,7.27,
2013-10-31,52.45,-0.24,0.0,4.83,10.86,6.32,8.3,
2014-01-31,59.5,-0.39,0.0,4.98,11.95,6.76,8.8,
2014-04-30,50.77,-0.43,0.0,5.1,9.95,7.24,7.01,
2014-07-31,53.33,-0.65,0.0,5.33,10.0,7.85,6.79,
2014-10-31,62.9,-0.5,0.0,6.01,10.47,8.25,7.62,
2015-01-31,55.49,-0.42,0.0,6.11,9.08,8.65,6.41,
2015-04-30,71.58,-0.25,0.0,6.46,11.09,8.92,8.02,
2015-07-31,72.05,-0.15,0.0,6.87,10.48,9.27,7.78,
2015-10-31,76.39,-0.13,0.0,7.15,10.68,9.65,7.92,
2016-01-31,66.9,-0.07,0.0,7.46,8.97,10.07,6.65,
2016-04-30,74.51,-0.02,0.0,8.24,9.04,10.58,7.04,
2016-07-31,80.41,0.31,259.38,8.95,8.98,11.03,7.29,
2016-10-31,73.88,0.3,246.27,9.77,7.56,11.56,6.39,
2017-01-31,77.75,0.46,169.03,10.6,7.33,12.16,6.39,
2017-04-30,84.66,0.4,211.64,11.14,7.6,12.69,6.67,
2017-07-31,89.26,0.13,686.58,11.76,7.59,13.3,6.71,
2017-10-31,100.6,0.32,314.38,12.22,8.23,13.86,7.26,
2018-01-31,111.97,0.49,228.52,14.21,7.88,14.41,7.77,
2018-04-30,118.93,0.95,125.19,15.07,7.89,15.08,7.89,
2018-07-31,134.82,1.28,105.33,17.88,7.54,15.78,8.54,
2018-10-31,134.91,1.27,106.23,19.21,7.02,16.44,8.2,
2019-01-31,149.39,1.43,104.47,20.27,7.37,17.2,8.69,
2019-04-30,162.54,1.46,111.33,21.19,7.67,17.92,9.07,
2019-07-31,151.87,1.18,128.71,22.01,6.9,18.71,8.12,
2019-10-31,153.83,0.93,165.41,37.56,4.1,19.52,7.88,
2020-01-31,179.21,0.15,1194.73,37.95,4.72,20.58,8.71,
2020-04-30,159.2,-0.23,0.0,38.45,4.14,21.2,7.51,
2020-07-31,191.54,2.51,76.31,42.33,4.52,21.76,8.8,
2020-10-31,228.32,3.78,60.4,44.1,5.18,22.39,10.2,
2021-01-31,221.72,4.38,50.62,45.15,4.91,22.94,9.66,
2021-04-30,226.4,4.77,47.46,46.02,4.92,23.96,9.45,
2021-07-31,237.82,2.48,95.89,56.77,4.19,25.04,9.5,
2021-10-31,294.59,1.8,163.66,57.98,5.08,26.13,11.27,76.35
2022-01-31,228.67,1.48,154.51,58.78,3.89,27.4,8.35,55.99
2022-04-30,172.95,1.01,171.24,59.23,2.92,28.45,6.08,37.71
2022-07-31,180.89,0.52,347.87,60.16,3.01,29.49,6.13,36.22
2022-10-31,159.83,0.26,614.71,59.23,2.7,30.47,5.24,31.12
2023-01-31,165.11,0.21,786.25,59.49,2.78,31.36,5.26,29.97
2023-04-30,195.0,0.38,513.15,56.51,3.45,32.31,6.04,27.75
2023-07-31,221.18,1.59,139.11,56.78,3.9,33.32,6.64,28.67
2023-10-31,197.42,2.63,75.06,56.62,3.49,34.37,5.74,22.96
2024-01-31,276.31,4.2,65.79,61.43,4.5,35.4,7.81,30.4
2024-04-30,264.71,5.56,47.61,61.47,4.31,36.32,7.29,27.45
2024-07-31,255.13,5.75,44.37,60.16,4.24,37.18,6.86,25.76
2024-10-31,287.69,6.08,47.32,61.22,4.7,38.08,7.55,27.8
2025-01-31,337.77,6.36,53.11,63.59,5.31,38.9,8.68,31.67
2025-04-30,266.03,6.39,41.63,63.46,4.19,39.76,6.69,24.08
2025-07-31,256.16,6.88,37.23,64.22,3.99,40.82,6.28,22.16
2025-10-31,258.67,7.49,34.54,63.72,4.06,41.81,6.19,21.77
2026-01-31,211.22,7.8,27.08,63.66,3.32,43.27,4.88,16.77
2026-04-30,176.08,8.63,20.4,41.8,4.21,45.91,3.83,13.37
2026-07-31,184.02,10.96,16.79,46.63,3.95,49.09,3.75,13.21
2026-09-14,259.43,,23.67,,5.56,,5.28,
2026-09-15,,,,,,,,17.71
