period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2019-07-31,22.27,,,0.81,27.63,,,
2019-10-31,12.48,,,0.87,14.3,,,
2020-01-31,15.27,,,0.87,17.52,,,
2020-04-30,16.92,-0.13,0.0,0.87,19.36,0.83,20.46,
2020-07-31,28.3,-0.06,0.0,0.9,31.33,0.85,33.35,
2020-10-31,30.96,-0.05,0.0,0.92,33.58,0.96,32.24,
2021-01-31,53.95,-0.11,0.0,0.97,55.37,1.01,53.55,
2021-04-30,52.13,-0.18,0.0,0.95,55.16,1.14,45.87,
2021-07-31,63.4,-0.21,0.0,1.0,63.49,1.28,49.54,
2021-10-31,70.45,-0.24,0.0,1.05,67.34,1.43,49.23,
2022-01-31,45.16,-0.26,0.0,1.12,40.16,1.6,28.2,215.46
2022-04-30,49.69,-0.2,0.0,1.2,41.28,1.79,27.74,181.23
2022-07-31,45.9,-0.19,0.0,1.33,34.46,1.99,23.03,145.67
2022-10-31,40.3,-0.19,0.0,1.43,28.24,2.2,18.33,106.42
2023-01-31,26.48,-0.2,0.0,1.58,16.79,2.41,11.0,57.31
2023-04-30,30.01,-0.16,0.0,1.72,17.42,2.6,11.55,51.89
2023-07-31,40.42,-0.1,0.0,1.96,20.64,2.78,14.54,64.25
2023-10-31,44.19,-0.02,0.0,2.15,20.6,2.96,14.91,55.6
2024-01-31,73.13,0.08,975.0,2.42,30.27,3.15,23.23,82.86
2024-04-30,73.14,0.12,622.43,2.64,27.69,3.35,21.84,74.71
2024-07-31,57.99,0.16,368.19,2.95,19.67,3.55,16.32,56.09
2024-10-31,74.22,0.11,659.71,3.14,23.62,3.78,19.66,81.09
2025-01-31,99.52,-0.02,0.0,3.35,29.73,3.99,24.95,99.57
2025-04-30,107.22,-0.16,0.0,3.5,30.6,4.18,25.65,122.99
2025-07-31,113.64,-0.28,0.0,3.78,30.05,4.39,25.89,118.9
2025-10-31,135.75,-0.3,0.0,4.03,33.72,4.59,29.58,128.52
2026-01-31,110.35,-0.16,0.0,4.41,25.0,4.81,22.94,97.26
2026-04-30,111.44,-0.03,0.0,4.59,24.27,5.04,22.1,91.87
2026-07-31,190.86,0.05,3817.2,5.02,38.02,5.28,36.14,146.16
2026-09-14,235.38,,4707.6,,46.89,,44.57,
2026-09-15,,,,,,,,166.88
