period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,11.91,,,3.73,3.19,,,
2006-04-30,13.43,,,3.99,3.36,,,
2006-07-31,11.46,,,3.95,2.91,,,
2006-10-31,15.47,0.95,16.29,4.21,3.67,4.82,3.21,
2007-01-31,17.07,1.04,16.41,4.4,3.88,5.1,3.35,
2007-04-30,17.15,1.12,15.31,4.71,3.64,5.35,3.2,
2007-07-31,18.54,1.17,15.84,5.16,3.59,5.59,3.32,
2007-10-31,21.2,1.26,16.82,5.57,3.81,5.78,3.67,
2008-01-31,15.71,1.28,12.27,5.49,2.86,6.02,2.61,
2008-04-30,16.44,1.27,12.95,5.61,2.93,6.21,2.65,
2008-07-31,14.1,1.31,10.76,5.83,2.42,6.39,2.21,
2008-10-31,11.39,1.33,8.57,5.97,1.91,6.61,1.72,
2009-01-31,9.6,1.26,7.62,6.29,1.53,6.57,1.46,
2009-04-30,12.39,1.2,10.32,6.45,1.92,6.36,1.95,
2009-07-31,14.11,1.05,13.44,6.69,2.11,6.14,2.3,
2009-10-31,14.63,0.98,14.92,6.96,2.1,5.95,2.46,
2010-01-31,14.41,1.04,13.85,7.24,1.99,6.07,2.37,
2010-04-30,17.27,1.18,14.63,7.66,2.25,6.43,2.68,
2010-07-31,14.79,1.33,11.12,7.83,1.89,6.83,2.17,
2010-10-31,14.66,1.37,10.7,8.01,1.83,7.19,2.04,
2011-01-31,13.56,1.32,10.27,8.26,1.64,7.38,1.84,
2011-04-30,11.27,1.28,8.81,8.58,1.31,7.57,1.49,
2011-07-31,10.31,1.17,8.82,8.7,1.19,7.73,1.33,
2011-10-31,12.02,1.16,10.36,8.79,1.37,7.92,1.52,
2012-01-31,12.78,1.29,9.91,9.16,1.4,8.19,1.56,
2012-04-30,13.17,1.36,9.68,9.54,1.38,8.35,1.58,
2012-07-31,10.47,1.49,7.02,9.68,1.08,8.5,1.23,
2012-10-31,11.34,1.55,7.31,9.92,1.14,8.65,1.31,
2013-01-31,13.7,1.74,7.87,10.43,1.31,8.77,1.56,
2013-04-30,14.04,1.8,7.8,10.69,1.31,8.92,1.58,
2013-07-31,17.3,1.86,9.3,10.97,1.58,9.06,1.91,
2013-10-31,15.36,1.84,8.35,11.01,1.4,9.06,1.7,
2014-01-31,15.03,1.52,9.89,10.8,1.39,8.9,1.69,
2014-04-30,15.99,1.48,10.81,10.91,1.47,8.86,1.81,
2014-07-31,17.59,1.49,11.81,11.09,1.59,8.89,1.98,
2014-10-31,17.19,1.47,11.7,11.1,1.55,9.04,1.9,
2015-01-31,18.65,1.66,11.24,11.3,1.65,9.26,2.02,
2015-04-30,20.55,1.71,12.02,11.55,1.78,9.39,2.19,
2015-07-31,20.42,1.75,11.67,11.74,1.74,9.54,2.14,
2015-10-31,20.89,1.88,11.11,11.8,1.77,9.65,2.17,
2016-01-31,17.36,2.04,8.51,12.05,1.44,9.67,1.79,
2016-04-30,20.24,2.03,9.97,12.39,1.63,9.69,2.09,
2016-07-31,22.69,2.11,10.75,12.64,1.79,9.67,2.35,
2016-10-31,22.99,2.09,11.0,12.62,1.82,9.63,2.39,
2017-01-31,23.22,1.94,11.97,12.75,1.82,9.59,2.42,
2017-04-30,25.97,1.98,13.12,13.08,1.99,9.59,2.71,
2017-07-31,24.2,1.9,12.74,13.27,1.82,9.51,2.55,
2017-10-31,26.5,1.92,13.8,13.24,2.0,9.5,2.79,
2018-01-31,32.48,-0.33,0.0,10.68,3.04,9.61,3.38,
2018-04-30,34.91,-0.27,0.0,9.86,3.54,9.82,3.55,
2018-07-31,33.59,0.02,1679.54,9.36,3.59,10.05,3.34,
2018-10-31,36.58,0.31,118.02,9.71,3.77,10.45,3.5,
2019-01-31,38.11,2.72,14.01,9.22,4.13,10.8,3.53,
2019-04-30,45.37,2.85,15.92,8.53,5.32,11.16,4.06,
2019-07-31,45.21,2.61,17.32,7.9,5.72,11.55,3.92,
2019-10-31,39.07,2.52,15.5,8.12,4.81,11.79,3.31,
2020-01-31,38.08,2.57,14.82,8.38,4.54,11.85,3.21,
2020-04-30,35.44,2.53,14.01,8.46,4.19,11.74,3.02,
2020-07-31,39.69,2.64,15.04,8.95,4.44,11.58,3.43,
2020-10-31,30.53,2.47,12.36,9.04,3.38,11.31,2.7,
2021-01-31,38.22,2.39,15.99,9.27,4.12,11.32,3.38,
2021-04-30,43.96,2.42,18.17,9.54,4.61,11.51,3.82,
2021-07-31,48.15,2.5,19.26,9.79,4.92,11.76,4.1,
2021-10-30,,,,,,,,16.31
2021-10-31,49.0,2.69,18.21,10.13,4.84,11.98,4.09,
2022-01-29,,,,,,,,15.89
2022-01-31,49.02,2.8,17.51,9.51,5.15,12.18,4.02,
2022-04-30,43.43,2.85,15.24,9.74,4.46,12.24,3.55,13.69
2022-07-30,,,,,,,,13.27
2022-07-31,40.59,2.82,14.39,9.68,4.19,12.27,3.31,
2022-10-29,,,,,,,,12.95
2022-10-31,41.02,2.77,14.81,9.82,4.18,12.54,3.27,
2023-01-28,,,,,,,,13.45
2023-01-31,44.29,2.73,16.23,10.13,4.37,12.82,3.46,
2023-04-29,,,,,,,,11.96
2023-04-30,43.33,2.78,15.58,10.38,4.17,13.28,3.26,
2023-07-29,,,,,,,,12.91
