period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,26.38,,,29.25,0.9,,,
2006-06-30,28.48,,,30.44,0.94,,,
2006-09-30,30.0,,,31.93,0.94,,,
2006-12-31,34.26,7.8,4.39,31.85,1.08,95.32,0.36,
2007-03-31,34.71,8.18,4.24,33.25,1.04,93.11,0.37,
2007-06-30,39.82,8.73,4.56,34.8,1.14,95.03,0.42,
2007-09-30,44.55,8.19,5.44,35.49,1.26,96.25,0.46,
2007-12-31,44.73,8.77,5.1,36.88,1.21,103.32,0.43,
2008-03-31,41.2,9.07,4.54,38.29,1.08,112.67,0.37,
2008-06-30,48.17,9.45,5.1,40.04,1.2,126.67,0.38,
2008-09-30,40.38,11.55,3.5,42.8,0.94,139.27,0.29,
2008-12-31,36.53,11.67,3.13,43.47,0.84,132.52,0.28,
2009-03-31,33.51,10.11,3.31,43.81,0.77,118.88,0.28,
2009-06-30,33.34,8.08,4.13,44.12,0.76,98.8,0.34,
2009-09-30,35.8,6.15,5.82,45.47,0.79,83.53,0.43,
2009-12-31,39.48,5.24,7.53,46.1,0.86,85.81,0.46,
2010-03-31,39.25,6.59,5.96,47.82,0.82,91.78,0.43,
2010-06-30,35.46,8.42,4.21,49.88,0.71,98.09,0.36,
2010-09-30,42.74,8.37,5.11,51.16,0.84,99.56,0.43,
2010-12-31,48.53,9.48,5.12,52.71,0.92,102.16,0.48,
2011-03-31,57.6,10.3,5.59,55.14,1.04,108.16,0.53,
2011-06-30,55.54,11.45,4.85,58.13,0.96,116.06,0.48,
2011-09-30,50.4,13.5,3.73,61.1,0.82,123.52,0.41,
2011-12-31,58.38,13.44,4.34,61.67,0.95,126.58,0.46,
2012-03-31,59.27,13.62,4.35,64.02,0.93,127.21,0.47,
2012-06-30,58.85,13.43,4.38,66.91,0.88,124.71,0.47,
2012-09-30,65.54,12.2,5.37,68.58,0.96,122.08,0.54,
2012-12-31,61.33,13.32,4.6,70.8,0.87,122.92,0.5,
2013-03-31,67.91,13.23,5.13,72.97,0.93,121.47,0.56,
2013-06-30,68.18,12.34,5.53,74.62,0.91,119.28,0.57,
2013-09-30,70.58,12.22,5.78,75.95,0.93,119.98,0.59,
2013-12-31,73.17,11.09,6.6,78.61,0.93,118.23,0.62,
2014-03-31,70.28,10.27,6.84,79.75,0.88,116.9,0.6,
2014-06-30,77.82,10.48,7.43,81.49,0.95,117.73,0.66,
2014-09-30,71.73,10.86,6.6,83.21,0.86,116.25,0.62,
2014-12-31,68.06,10.14,6.71,83.1,0.82,111.47,0.61,
2015-03-31,64.32,9.15,7.03,83.49,0.77,101.99,0.63,
2015-06-30,59.69,6.47,9.23,82.84,0.72,93.03,0.64,
2015-09-30,49.42,4.61,10.72,82.86,0.6,82.53,0.6,
2015-12-31,57.05,2.45,23.29,81.73,0.7,73.85,0.77,
2016-03-31,61.27,0.69,88.8,80.37,0.76,68.03,0.9,
2016-06-30,68.04,-0.39,0.0,78.62,0.87,62.16,1.09,
2016-09-30,67.5,-0.8,0.0,78.37,0.86,59.84,1.13,
2016-12-31,77.97,-0.27,0.0,77.57,1.01,61.06,1.28,
2017-03-31,71.81,1.53,46.93,78.01,0.92,66.09,1.09,
2017-06-30,70.49,3.08,22.88,77.78,0.91,68.67,1.03,
2017-09-30,80.18,3.43,23.38,77.87,1.03,71.76,1.12,
2017-12-31,86.23,4.85,17.78,78.39,1.1,74.76,1.15,
2018-03-31,79.33,5.34,14.86,79.31,1.0,76.87,1.03,
2018-06-30,88.72,6.35,13.97,80.05,1.11,80.66,1.1,
2018-09-30,86.63,7.43,11.66,80.95,1.07,84.51,1.03,
2018-12-31,77.82,7.74,10.05,81.79,0.95,86.82,0.9,
2019-03-31,89.0,7.23,12.31,81.96,1.09,85.6,1.04,
