period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2021-06-30,316.48,,,16.36,19.35,,,
2021-09-30,317.12,,,-160.69,-1.97,,,
2021-12-31,328.0,,,3.59,91.42,,,
2022-03-31,228.8,-7.6,0.0,14.36,15.93,31.5,7.26,
2022-06-30,22.02,-9.62,0.0,14.0,1.57,26.69,0.82,
2022-09-30,11.49,-11.76,0.0,10.46,1.1,22.23,0.52,
2022-12-31,9.28,-11.12,0.0,9.03,1.03,17.73,0.52,
2023-03-31,6.06,-9.4,0.0,8.43,0.72,18.94,0.32,
2023-06-30,5.33,-8.96,0.0,7.05,0.76,20.14,0.26,
2023-09-30,6.2,-5.91,0.0,6.57,0.94,20.79,0.3,
2023-12-31,8.39,-4.07,0.0,7.17,1.17,21.77,0.39,
2024-03-31,37.14,-0.28,0.0,10.32,3.6,22.37,1.66,
2024-06-30,30.3,2.09,14.5,11.24,2.7,23.13,1.31,
2024-09-30,39.96,3.13,12.77,12.26,3.26,24.27,1.65,170.41
2024-12-31,86.92,4.19,20.74,14.07,6.18,25.43,3.42,41.57
2025-03-31,82.66,3.56,23.22,15.01,5.51,27.22,3.04,23.15
2025-06-30,268.41,3.71,72.35,16.08,16.69,30.36,8.84,43.81
2025-09-30,199.35,10.02,19.9,21.57,9.24,34.1,5.85,24.54
2025-12-31,221.41,13.53,16.36,25.94,8.54,38.11,5.81,19.89
2026-03-31,174.09,15.58,11.17,16.03,10.86,41.74,4.17,13.73
2026-06-30,372.59,15.45,24.12,16.24,22.95,45.17,8.25,23.57
2026-09-14,365.78,,23.68,,22.53,,8.1,
2026-09-15,,,,,,,,21.11
