period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,24.3,,,14.66,1.66,,,
2006-04-30,29.87,,,16.07,1.86,,,
2006-07-31,24.82,,,16.37,1.52,,,
2006-10-31,29.25,3.59,8.15,16.48,1.77,46.72,0.63,
2007-01-31,34.61,3.62,9.57,33.4,1.04,47.54,0.73,
2007-04-30,37.92,3.41,11.12,35.38,1.07,48.77,0.78,
2007-07-31,41.89,3.67,11.43,30.05,1.39,50.11,0.84,
2007-10-31,54.07,4.0,13.52,16.28,3.32,52.75,1.02,
2008-01-31,61.29,4.31,14.22,16.14,3.8,54.84,1.12,
2008-04-30,59.03,4.69,12.59,17.05,3.46,58.25,1.01,
2008-07-31,49.45,4.83,10.24,17.66,2.8,61.44,0.8,
2008-10-31,27.31,4.7,5.81,15.47,1.77,64.91,0.42,
2009-01-31,24.79,4.35,5.7,15.52,1.6,65.34,0.38,
2009-04-30,29.67,3.72,7.98,16.26,1.83,62.85,0.47,
2009-07-31,31.66,3.39,9.34,17.56,1.8,58.89,0.54,
2009-10-31,33.19,2.06,16.11,11.39,2.91,54.49,0.61,
2010-01-31,36.58,2.15,17.01,11.76,3.11,53.66,0.68,
2010-04-30,44.01,2.32,18.97,13.32,3.3,54.35,0.81,
2010-07-31,49.3,2.77,17.8,14.45,3.41,56.44,0.87,
2010-10-31,57.02,4.35,13.11,14.93,3.82,60.67,0.94,
2011-01-31,67.77,4.98,13.61,15.64,4.33,63.68,1.06,
2011-04-30,72.97,5.82,12.54,17.71,4.12,67.95,1.07,
2011-07-31,59.05,6.07,9.73,18.22,3.24,71.85,0.82,
2011-10-31,57.43,6.63,8.66,16.78,3.42,75.44,0.76,
2012-01-31,65.53,6.73,9.74,16.87,3.88,77.69,0.84,
2012-04-30,63.0,7.22,8.73,18.6,3.39,81.53,0.77,
2012-07-31,59.12,7.51,7.87,18.93,3.12,85.73,0.69,
2012-10-31,66.12,7.63,8.67,17.69,3.74,89.73,0.74,
2013-01-31,73.18,7.98,9.17,19.22,3.81,92.05,0.8,
2013-04-30,69.89,8.13,8.6,21.3,3.28,95.08,0.74,
2013-07-31,65.42,8.71,7.51,22.44,2.92,96.73,0.68,
2013-10-31,64.84,9.09,7.13,27.47,2.36,96.62,0.67,
2014-01-31,68.49,9.25,7.4,27.75,2.47,98.13,0.7,
2014-04-30,74.8,9.14,8.18,29.32,2.55,97.26,0.77,
2014-07-31,68.66,8.91,7.71,30.22,2.27,97.59,0.7,
2014-10-31,69.51,8.63,8.05,26.24,2.65,97.8,0.71,
2015-01-31,69.69,7.94,8.78,24.3,2.87,95.87,0.73,
2015-04-30,74.56,7.32,10.19,24.49,3.04,93.03,0.8,
2015-07-31,78.39,6.52,12.02,23.54,3.33,89.73,0.87,
2015-10-31,65.17,5.77,11.3,21.34,3.05,85.23,0.76,
2016-01-31,64.84,5.45,11.9,20.94,3.1,84.16,0.77,
2016-04-30,71.36,4.98,14.33,22.84,3.12,84.99,0.84,
2016-07-31,66.42,5.0,13.28,23.66,2.81,83.56,0.79,
2016-10-31,76.02,4.81,15.81,20.75,3.66,84.17,0.9,
2017-01-31,92.7,4.63,20.02,21.48,4.32,84.37,1.1,
2017-04-30,97.19,5.57,17.45,24.05,4.04,85.14,1.14,
2017-07-31,112.26,5.99,18.74,26.69,4.21,87.86,1.28,
2017-10-31,116.85,6.68,17.49,29.71,3.93,92.07,1.27,
2018-01-31,146.9,4.4,33.39,28.61,5.13,95.89,1.53,
