period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2016-10-31,12.51,,,25.18,0.5,,,
2017-01-31,16.05,,,24.43,0.66,,,
2017-04-30,17.1,,,22.53,0.76,,,
2017-07-31,16.37,-5.77,0.0,21.92,0.75,101.25,0.16,
2017-10-31,21.09,-4.0,0.0,19.79,1.07,104.08,0.2,
2018-01-31,18.27,-3.7,0.0,22.74,0.8,102.62,0.18,
2018-04-30,18.28,-3.02,0.0,22.11,0.83,107.18,0.17,
2018-07-31,23.57,-2.72,0.0,19.81,1.19,111.75,0.21,
2018-10-31,23.03,-2.76,0.0,18.78,1.23,115.67,0.2,
2019-01-31,22.36,-2.96,0.0,-1.31,-17.07,117.67,0.19,
2019-04-30,31.03,-1.75,0.0,-2.31,-13.43,119.0,0.26,
2019-07-31,26.58,3.37,7.89,4.27,6.22,120.17,0.22,
2019-10-31,24.34,5.17,4.7,5.32,4.58,121.28,0.2,
2020-01-31,22.45,6.03,3.72,4.25,5.29,112.98,0.2,
2020-04-30,19.65,5.84,3.36,4.38,4.49,112.81,0.17,
2020-07-31,27.54,2.74,10.05,6.12,4.5,111.56,0.25,
2020-10-31,27.74,3.16,8.78,7.93,3.5,111.56,0.25,
2021-01-31,33.55,4.22,7.95,10.03,3.34,113.53,0.3,
2021-04-30,45.26,5.16,8.77,11.24,4.03,113.41,0.4,
2021-07-31,44.47,4.84,9.19,13.0,3.42,114.32,0.39,
2021-10-29,,,,,,,,11.74
2021-10-31,50.62,8.64,5.86,18.51,2.74,117.39,0.43,
2022-01-28,,,,,,,,8.32
2022-01-31,51.61,7.02,7.35,-2.09,-24.73,128.59,0.4,
2022-04-29,,,,,,,,6.98
2022-04-30,43.0,7.26,5.92,-3.15,-13.64,133.18,0.32,
2022-07-29,,,,,,,,6.52
2022-07-31,41.54,6.89,6.03,-3.75,-11.07,137.4,0.3,
2022-10-28,,,,,,,,6.06
2022-10-31,35.74,2.34,15.27,-4.69,-7.62,137.14,0.26,
2023-01-31,38.11,3.24,11.76,-4.22,-9.02,135.01,0.28,
2023-02-03,,,,,,,,7.03
2023-04-30,41.16,2.66,15.47,-4.01,-10.26,129.91,0.32,
2023-05-05,,,,,,,,8.55
2023-07-31,50.43,2.61,19.32,-3.7,-13.64,125.99,0.4,
2023-08-04,,,,,,,,9.52
2023-10-31,64.13,3.64,17.62,-3.59,-17.84,122.79,0.52,
2023-11-03,,,,,,,,10.86
2024-01-31,79.79,4.6,17.35,-3.02,-26.38,119.86,0.67,
2024-02-02,,,,,,,,12.84
2024-04-30,120.46,5.18,23.25,-3.84,-31.41,122.07,0.99,
2024-05-03,,,,,,,,16.52
2024-07-31,110.25,5.78,19.07,-3.97,-27.79,125.56,0.88,
2024-08-02,,,,,,,,12.26
2024-10-31,120.32,6.06,19.85,-3.12,-38.57,129.47,0.93,
2024-11-01,,,,,,,,14.83
2025-01-31,101.23,6.38,15.87,-1.99,-50.8,132.38,0.76,11.36
2025-04-30,90.24,6.38,14.14,-4.43,-20.38,135.09,0.67,
2025-05-02,,,,,,,,10.31
2025-07-31,131.02,6.85,19.13,-4.1,-31.97,143.93,0.91,
2025-08-01,,,,,,,,12.71
2025-10-31,160.54,7.49,21.43,-3.93,-40.87,149.66,1.07,15.5
2026-01-30,,,,,,,,9.88
2026-01-31,113.9,8.68,13.12,-3.79,-30.07,165.22,0.69,
2026-04-30,208.61,12.55,16.62,-2.16,-96.43,198.75,1.05,
2026-05-01,,,,,,,,16.19
2026-07-31,405.37,17.19,23.58,-2.23,-181.8,227.39,1.78,21.77
2026-09-14,534.28,,31.08,,0.0,,2.35,
2026-09-15,,,,,,,,19.01
