period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,22.19,,,13.38,1.66,,,
2006-06-30,23.87,,,15.06,1.58,,,
2006-09-30,24.59,,,15.42,1.6,,,
2006-12-31,27.51,2.06,13.36,15.97,1.72,16.48,1.67,
2007-03-31,27.64,2.13,12.98,16.12,1.71,16.19,1.71,
2007-06-30,27.78,2.17,12.8,16.5,1.68,16.61,1.67,
2007-09-30,27.99,2.25,12.44,15.67,1.79,16.83,1.66,
2007-12-31,26.55,2.09,12.7,15.73,1.69,17.63,1.51,
2008-03-31,25.81,2.23,11.57,16.19,1.59,18.34,1.41,
2008-06-30,25.66,2.32,11.06,17.53,1.46,18.73,1.37,
2008-09-30,25.24,2.28,11.07,17.73,1.42,19.31,1.31,
2008-12-31,18.94,2.1,9.02,17.95,1.06,19.18,0.99,
2009-03-31,15.16,1.85,8.2,18.28,0.83,19.07,0.8,
2009-06-30,19.48,1.7,11.46,18.85,1.03,18.89,1.03,
2009-09-30,22.93,1.76,13.03,19.48,1.18,19.31,1.19,
2009-12-31,27.24,1.75,15.56,20.23,1.35,19.3,1.41,
2010-03-31,29.48,1.9,15.52,19.79,1.49,19.32,1.53,
2010-06-30,26.6,2.06,12.91,20.49,1.3,19.79,1.34,
2010-09-30,27.95,2.03,13.77,20.74,1.35,19.52,1.43,
2010-12-31,32.02,2.27,14.11,21.2,1.51,19.97,1.6,
2011-03-31,36.79,2.28,16.14,21.73,1.69,20.31,1.81,
2011-06-30,33.33,2.38,14.0,22.48,1.48,20.84,1.6,
2011-09-30,25.75,2.52,10.22,21.92,1.17,21.3,1.21,
2011-12-31,32.55,2.64,12.33,21.44,1.52,21.65,1.5,
2012-03-31,38.01,2.78,13.67,21.96,1.73,22.25,1.71,
2012-06-30,42.1,3.02,13.94,23.26,1.81,22.79,1.85,
2012-09-30,45.38,3.12,14.55,23.31,1.95,23.26,1.95,
2012-12-31,43.89,3.09,14.2,24.09,1.82,23.65,1.86,
2013-03-31,50.06,3.29,15.22,24.52,2.04,24.14,2.07,
2013-06-30,55.66,3.29,16.92,25.5,2.18,24.38,2.28,
