period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,19.23,,,8.23,2.34,,,
2006-06-30,16.57,,,8.59,1.93,,,
2006-09-30,18.34,,,8.84,2.07,,,
2006-12-31,20.76,1.78,11.66,8.85,2.34,30.33,0.68,
2007-03-31,22.57,1.71,13.2,8.73,2.58,29.45,0.77,
2007-06-30,20.26,1.87,10.83,7.31,2.77,31.19,0.65,
2007-09-30,19.05,1.83,10.41,6.62,2.88,33.96,0.56,
2007-12-31,13.65,2.0,6.82,6.37,2.14,36.63,0.37,
2008-03-31,13.03,1.19,10.95,5.93,2.2,39.64,0.33,
2008-06-30,13.35,0.89,15.0,5.87,2.27,40.41,0.33,
2008-09-30,12.71,0.78,16.3,6.0,2.12,40.33,0.32,
2008-12-31,7.63,0.05,152.62,5.7,1.34,39.84,0.19,
2009-03-31,11.05,0.77,14.36,5.96,1.85,36.85,0.3,
2009-06-30,12.55,0.77,16.29,6.33,1.98,31.93,0.39,
2009-09-30,11.67,0.69,16.92,6.38,1.83,29.11,0.4,
2009-12-31,11.16,1.08,10.33,6.48,1.72,26.68,0.42,
2010-03-31,14.5,1.13,12.83,6.66,2.18,26.05,0.56,
2010-06-30,10.97,1.34,8.19,7.17,1.53,27.72,0.4,
2010-09-30,14.42,1.4,10.3,6.7,2.15,27.41,0.53,
2010-12-31,16.07,1.63,9.86,5.94,2.71,27.86,0.58,
2011-03-31,19.57,1.69,11.58,5.47,3.58,28.95,0.68,
2011-06-30,19.04,1.53,12.44,5.29,3.6,29.51,0.64,
2011-09-30,16.4,1.6,10.25,4.72,3.47,31.06,0.53,
2011-12-31,21.13,1.63,12.96,4.68,4.52,32.12,0.66,
2012-03-31,21.88,1.74,12.57,4.37,5.0,33.43,0.65,
2012-06-30,25.44,1.87,13.6,4.17,6.1,34.68,0.73,
2012-09-30,28.34,1.95,14.53,3.67,7.73,35.62,0.8,
2012-12-31,25.05,2.01,12.46,3.52,7.12,36.5,0.69,
2013-03-31,30.61,2.16,14.17,3.47,8.81,37.32,0.82,
2013-06-30,32.21,2.2,14.64,2.21,14.54,38.18,0.84,
2013-09-30,33.31,2.26,14.74,1.79,18.58,39.2,0.85,
2013-12-31,38.28,2.34,16.36,1.86,20.61,40.25,0.95,
2014-03-31,43.52,2.45,17.76,1.35,32.26,41.24,1.06,
2014-06-30,40.56,2.26,17.95,0.98,41.5,42.49,0.95,
2014-09-30,42.58,2.33,18.28,0.59,71.61,43.27,0.98,
2014-12-31,49.46,2.39,20.69,0.08,632.43,44.43,1.11,
2015-03-31,52.12,2.59,20.12,-0.52,-100.64,45.55,1.14,
2015-06-30,49.05,3.02,16.24,-1.3,-37.88,46.27,1.06,
2015-09-30,45.09,3.07,14.69,-1.8,-25.07,48.0,0.94,
2015-12-31,41.34,3.23,12.8,-2.83,-14.6,49.73,0.83,
2016-03-31,39.87,3.21,12.42,-4.37,-9.13,51.85,0.77,
2016-06-30,39.79,3.42,11.63,-4.07,-9.78,55.01,0.72,
2016-09-30,44.36,3.3,13.44,-10.99,-4.04,56.2,0.79,
2016-12-31,43.85,3.19,13.75,-10.68,-4.11,58.31,0.75,
2017-03-31,39.24,3.05,12.86,-10.2,-3.85,60.32,0.65,
2017-06-30,34.29,2.94,11.66,-10.19,-3.36,61.13,0.56,
2017-09-30,29.04,2.72,10.68,-11.41,-2.54,62.66,0.46,
