period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,103.14,,,82.7,1.25,,,
2006-06-30,98.47,,,84.29,1.17,,,
2006-09-30,106.22,,,86.45,1.23,,,
2006-12-31,112.8,16.0,7.05,86.8,1.3,116.53,0.97,
2007-03-31,108.03,16.16,6.68,88.78,1.22,117.9,0.92,
2007-06-30,117.79,16.48,7.15,91.37,1.29,121.77,0.97,
2007-09-30,128.26,17.04,7.53,89.32,1.44,125.79,1.02,
2007-12-31,115.82,17.36,6.67,92.56,1.25,134.49,0.86,
2008-03-31,116.69,17.28,6.75,93.1,1.25,137.85,0.85,
2008-06-30,85.09,17.2,4.95,95.2,0.89,142.48,0.6,
2008-09-30,82.38,16.32,5.05,90.26,0.91,147.09,0.56,
2008-12-31,53.34,13.76,3.88,86.26,0.62,145.07,0.37,
2009-03-31,34.27,12.4,2.76,82.7,0.41,140.42,0.24,
2009-06-30,40.05,10.32,3.88,90.68,0.44,132.37,0.3,
2009-09-30,56.45,8.72,6.47,94.53,0.6,122.9,0.46,
2009-12-31,52.35,8.08,6.48,93.88,0.56,116.49,0.45,
2010-03-31,63.37,7.36,8.61,92.13,0.69,114.48,0.55,
2010-06-30,50.52,7.6,6.65,90.34,0.56,112.59,0.45,
2010-09-30,57.36,7.2,7.97,90.56,0.63,110.64,0.52,
2010-12-31,65.07,8.48,7.67,93.6,0.7,111.94,0.58,
2011-03-31,71.82,9.6,7.48,94.89,0.76,113.65,0.63,
2011-06-30,68.11,10.16,6.7,98.41,0.69,112.84,0.6,
2011-09-30,55.5,10.48,5.3,96.06,0.58,113.04,0.49,
2011-12-31,65.94,9.84,6.7,89.39,0.74,110.32,0.6,
2012-03-31,74.54,9.68,7.7,91.87,0.81,107.95,0.69,
2012-06-30,78.28,9.2,8.51,93.87,0.83,108.6,0.72,
2012-09-30,85.96,10.08,8.53,97.66,0.88,109.38,0.79,
2012-12-31,80.17,10.32,7.77,98.77,0.81,110.83,0.72,
2013-03-31,89.03,10.72,8.31,99.84,0.89,111.18,0.8,
2013-06-30,90.01,10.8,8.33,101.19,0.89,110.89,0.81,
2013-09-30,93.45,10.64,8.78,102.04,0.92,111.36,0.84,
2013-12-31,110.53,10.16,10.88,108.76,1.02,87.75,1.26,
2014-03-31,102.98,9.84,10.47,110.11,0.94,87.47,1.18,
2014-06-30,105.39,10.24,10.29,111.68,0.94,85.84,1.23,
2014-09-30,103.61,10.56,9.81,114.33,0.91,83.32,1.24,
2014-12-31,103.16,12.0,8.6,108.84,0.95,92.65,1.11,
2015-03-31,102.21,-1.2,0.0,93.13,1.1,86.99,1.18,
2015-06-30,110.4,-5.04,0.0,93.72,1.18,84.48,1.31,
2015-09-30,105.72,-5.84,0.0,94.96,1.11,81.14,1.3,
2015-12-31,131.56,-4.72,0.0,85.41,1.54,93.52,1.41,
2016-03-31,135.34,6.0,22.56,80.69,1.68,96.41,1.4,
2016-06-30,135.03,9.44,14.3,77.39,1.74,102.56,1.32,
2016-09-30,128.05,9.2,13.92,75.55,1.69,106.48,1.2,
2016-12-31,137.63,6.0,22.94,70.91,1.94,104.17,1.32,
2017-03-31,130.83,6.0,21.81,70.17,1.86,104.83,1.25,
2017-06-30,119.58,4.4,27.18,70.02,1.71,102.24,1.17,
2017-09-30,108.12,3.84,28.16,86.76,1.25,104.36,1.04,
2017-12-31,78.57,-8.24,0.0,67.74,1.16,90.71,0.87,
2018-03-31,61.19,-9.28,0.0,67.42,0.91,91.87,0.67,
2018-06-30,62.33,-9.52,0.0,66.05,0.94,92.11,0.68,
2018-09-30,52.2,-31.68,0.0,44.0,1.19,85.55,0.61,
2018-12-31,35.05,-20.96,0.0,47.33,0.74,89.25,0.39,
2019-03-31,48.15,-16.64,0.0,51.05,0.94,84.08,0.57,
2019-06-30,50.66,-17.28,0.0,51.45,0.98,78.73,0.64,
2019-09-30,43.18,2.48,17.41,26.72,1.62,78.61,0.55,
2019-12-31,53.95,-4.99,0.0,27.34,1.97,82.74,0.65,
2020-03-31,38.42,-2.59,0.0,33.71,1.14,80.17,0.48,
2020-06-30,33.1,-4.59,0.0,32.22,1.03,74.07,0.45,
2020-09-30,30.24,-4.48,0.0,31.77,0.95,69.58,0.43,
