period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2024-03-31,136.18,,,,0.0,,,
2024-06-30,170.79,,,36.58,4.67,,,40.7
2024-09-30,253.91,,,38.16,6.65,,,52.62
2024-12-31,327.79,5.58,58.74,38.4,8.54,126.4,2.59,51.96
2025-03-31,304.22,6.96,43.71,35.44,8.58,128.69,2.36,47.14
2025-06-30,527.72,4.17,126.55,36.54,14.44,132.19,3.99,69.08
2025-09-30,613.51,6.16,99.6,35.86,17.11,136.03,4.51,60.34
2025-12-31,652.36,17.69,36.88,45.62,14.3,137.75,4.74,59.6
2026-03-31,872.45,34.22,25.5,56.06,15.56,143.29,6.09,60.74
2026-06-30,1174.86,34.83,33.73,49.24,23.86,151.41,7.76,63.97
2026-09-14,874.76,,25.12,,17.76,,5.78,41.77
