period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,10.68,,,1.83,5.83,,,
2006-06-30,10.15,,,1.75,5.79,,,
2006-09-30,11.8,,,1.8,6.56,,,
2006-12-31,11.14,-0.65,0.0,0.98,11.32,1.62,6.88,
2007-03-31,13.13,-0.58,0.0,1.28,10.26,1.79,7.32,
2007-06-30,13.31,-0.51,0.0,1.34,9.9,1.97,6.74,
2007-09-30,14.02,-0.27,0.0,1.61,8.74,2.12,6.62,
2007-12-31,15.79,0.82,19.25,1.86,8.51,2.2,7.19,
2008-03-31,17.68,0.87,20.44,1.81,9.79,2.31,7.65,
2008-06-30,18.17,0.88,20.65,2.04,8.89,2.43,7.47,
2008-09-30,15.66,0.93,16.84,2.26,6.92,2.59,6.04,
2008-12-31,17.55,1.03,17.04,2.45,7.15,2.77,6.33,
2009-03-31,15.9,1.09,14.58,2.77,5.74,2.93,5.42,
2009-06-30,16.07,1.17,13.74,2.94,5.47,3.15,5.1,
2009-09-30,15.96,1.27,12.56,3.19,5.0,3.4,4.69,
2009-12-31,14.85,1.41,10.53,3.62,4.11,3.75,3.96,
2010-03-31,15.6,1.56,10.03,4.16,3.75,4.06,3.84,
2010-06-30,11.76,1.65,7.15,3.9,3.02,4.25,2.77,
2010-09-30,12.22,1.7,7.19,3.6,3.39,4.43,2.76,
2010-12-31,12.44,1.66,7.49,3.82,3.26,4.48,2.77,
2011-03-31,14.57,1.6,9.11,3.9,3.74,4.55,3.21,
2011-06-30,14.21,1.67,8.51,4.0,3.55,4.81,2.96,
2011-09-30,13.31,1.73,7.7,4.12,3.23,5.02,2.65,
2011-12-31,14.05,1.77,7.94,4.56,3.08,5.27,2.66,
2012-03-31,16.77,1.65,10.16,4.86,3.45,5.55,3.02,
2012-06-30,17.6,1.65,10.7,5.35,3.29,5.76,3.06,
2012-09-30,22.76,1.6,14.23,5.77,3.94,5.93,3.84,
2012-12-31,25.21,1.64,15.37,6.28,4.01,6.17,4.08,
2013-03-31,33.59,1.79,18.76,6.82,4.93,6.23,5.39,
