period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,17.62,,,3.9,4.51,,,
2006-06-30,15.84,,,4.31,3.68,,,
2006-09-30,15.98,,,4.62,3.46,,,
2006-12-31,12.25,1.16,10.56,4.63,2.65,3.25,3.77,
2007-03-31,14.89,1.2,12.41,4.88,3.05,3.27,4.55,
2007-06-30,16.73,1.18,14.17,5.19,3.22,3.36,4.97,
2007-09-30,16.17,1.29,12.54,5.6,2.89,3.53,4.59,
2007-12-31,15.78,1.34,11.77,6.06,2.6,3.65,4.32,
2008-03-31,15.84,1.78,8.9,6.85,2.31,3.85,4.11,
2008-06-30,15.22,3.49,4.36,8.71,1.75,4.02,3.78,
2008-09-30,10.35,3.6,2.87,8.68,1.19,4.04,2.56,
2008-12-31,6.34,3.32,1.91,8.72,0.73,3.74,1.7,
2009-03-31,8.87,2.69,3.3,8.2,1.08,3.36,2.64,
2009-06-30,10.77,1.07,10.07,8.94,1.21,3.19,3.37,
2009-09-30,10.3,0.99,10.41,9.69,1.06,3.15,3.27,
2009-12-31,13.04,1.28,10.18,10.05,1.3,3.44,3.78,
2010-03-31,13.68,1.79,7.64,10.51,1.3,3.79,3.61,
2010-06-30,10.97,1.98,5.54,10.94,1.0,3.99,2.75,
2010-09-30,12.45,2.07,6.02,11.85,1.05,4.06,3.07,
2010-12-31,13.2,2.25,5.86,12.44,1.06,4.2,3.14,
2011-03-31,14.12,2.2,6.42,12.99,1.09,4.42,3.19,
2011-06-30,12.46,2.09,5.96,13.59,0.92,4.6,2.71,
2011-09-30,8.51,2.1,4.05,13.82,0.62,4.89,1.74,
2011-12-31,8.99,1.78,5.05,13.95,0.64,4.97,1.81,
2012-03-31,9.8,1.62,6.05,14.1,0.69,5.01,1.95,
2012-06-30,9.05,1.46,6.2,14.36,0.63,5.01,1.81,
2012-09-30,9.27,1.31,7.07,14.81,0.63,5.07,1.83,
2012-12-31,8.96,1.09,8.22,14.65,0.61,5.3,1.69,
2013-03-31,9.54,1.11,8.59,14.52,0.66,5.27,1.81,
