period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,9.62,,,0.87,11.09,,,
2006-06-30,10.35,,,1.1,9.37,,,
2006-09-30,9.92,,,1.18,8.38,,,
2006-12-31,11.36,0.25,45.7,1.38,8.24,0.86,13.23,
2007-03-31,11.3,0.28,40.47,1.48,7.64,0.96,11.72,
2007-06-30,12.9,0.29,43.82,1.58,8.17,1.07,12.02,
2007-09-30,14.0,0.32,43.77,1.69,8.3,1.19,11.75,
2007-12-31,17.06,0.33,51.34,1.81,9.41,1.31,12.99,
2008-03-31,10.87,0.36,30.54,1.94,5.6,1.43,7.59,
2008-06-30,12.99,0.38,34.14,2.06,6.3,1.55,8.4,
2008-09-30,9.88,0.4,24.86,2.18,4.53,1.65,6.0,
2008-12-31,7.59,0.33,22.81,2.24,3.39,1.72,4.43,
2009-03-31,8.59,0.34,25.1,2.36,3.63,1.74,4.93,
2009-06-30,10.4,0.36,28.85,2.5,4.16,1.75,5.94,
2009-09-30,12.23,0.39,31.58,2.66,4.6,1.78,6.87,
2009-12-31,15.3,0.51,29.97,2.83,5.4,1.85,8.25,
2010-03-31,13.99,0.55,25.46,3.01,4.65,1.95,7.19,
2010-06-30,10.98,0.58,19.06,3.19,3.45,2.04,5.38,
2010-09-30,12.97,0.62,21.07,3.39,3.83,2.14,6.06,
2010-12-31,14.66,0.66,22.28,3.6,4.07,2.27,6.45,
2011-03-31,14.48,0.64,22.48,3.79,3.82,2.4,6.02,
2011-06-30,12.49,0.69,18.02,4.03,3.1,2.57,4.87,
2011-09-30,12.71,0.73,17.32,4.23,3.0,2.74,4.63,
2011-12-31,15.94,0.74,21.42,4.47,3.56,2.9,5.5,
2012-03-31,15.82,0.83,19.17,4.73,3.34,3.05,5.19,
2012-06-30,14.31,0.84,16.97,4.95,2.89,3.25,4.4,
2012-09-30,18.62,0.8,23.31,5.18,3.6,3.5,5.31,
2012-12-31,17.45,0.81,21.6,5.43,3.21,3.47,5.03,
2013-03-31,19.6,0.84,23.39,5.7,3.44,3.63,5.4,
2013-06-30,21.72,0.87,25.09,5.92,3.67,3.7,5.87,
2013-09-30,21.61,0.92,23.45,6.21,3.48,3.72,5.81,
2013-12-31,27.65,0.94,29.43,6.5,4.25,4.01,6.9,
2014-03-31,27.51,0.94,29.17,6.8,4.05,4.17,6.59,
2014-06-30,28.42,0.95,29.96,7.08,4.01,4.28,6.64,
2014-09-30,28.52,0.93,30.72,7.28,3.92,4.38,6.51,
2014-12-31,26.0,1.03,25.28,7.63,3.41,4.53,5.74,
2015-03-31,27.07,1.03,26.24,7.95,3.41,4.57,5.92,
2015-06-30,25.78,1.03,24.93,8.15,3.16,4.69,5.5,
2015-09-30,30.14,1.1,27.36,8.45,3.57,4.83,6.24,
2015-12-31,37.59,1.14,32.91,8.75,4.29,5.04,7.46,
2016-03-31,36.9,1.19,31.06,9.0,4.1,5.23,7.06,
2016-06-30,34.28,1.29,26.54,9.31,3.68,5.48,6.26,
2016-09-30,38.5,1.39,27.75,9.73,3.96,5.73,6.72,
2016-12-31,38.23,1.39,27.45,10.06,3.8,6.04,6.33,
2017-03-31,41.09,1.48,27.8,10.47,3.92,6.34,6.48,
2017-06-30,45.01,1.38,32.65,10.7,4.21,6.63,6.79,
2017-09-30,47.51,1.49,31.79,11.31,4.2,6.98,6.81,
2017-12-31,51.83,0.9,57.59,10.97,4.72,7.39,7.02,
2018-03-31,51.11,1.18,43.31,11.57,4.42,7.81,6.55,
2018-06-30,55.26,1.16,47.78,11.64,4.75,8.25,6.7,
2018-09-30,59.11,1.33,44.41,12.2,4.84,8.65,6.84,
2018-12-31,51.29,2.19,23.48,12.77,4.02,9.11,5.63,
2019-03-31,58.12,1.99,29.15,13.2,4.4,9.47,6.14,
2019-06-30,53.54,2.48,21.61,13.85,3.87,9.9,5.41,
2019-09-30,60.38,2.33,25.91,14.11,4.28,10.38,5.82,
2019-12-31,66.22,2.46,26.94,14.63,4.53,10.85,6.1,
2020-03-31,57.6,2.48,23.26,14.89,3.87,11.21,5.14,
2020-06-30,70.02,2.27,30.81,15.22,4.6,11.21,6.25,
2020-09-30,72.79,2.59,28.14,15.71,4.63,11.64,6.25,
2020-12-31,86.77,2.93,29.62,16.48,5.27,12.43,6.98,
2021-03-31,102.46,3.75,27.32,17.14,5.98,13.44,7.62,
2021-06-30,124.14,4.6,26.96,17.79,6.98,15.1,8.22,
2021-09-30,132.02,5.18,25.46,18.4,7.18,16.46,8.02,
2021-12-31,143.32,5.61,25.55,19.0,7.54,17.78,8.06,
2022-03-31,138.34,5.53,25.04,19.28,7.18,18.76,7.37,
2022-06-30,108.35,5.3,20.46,19.53,5.55,19.43,5.58,
2022-09-30,95.25,4.96,19.22,19.55,4.87,19.86,4.8,
2022-12-31,87.9,4.56,19.28,19.93,4.41,20.06,4.38,
2023-03-31,103.02,4.5,22.89,20.51,5.02,20.38,5.06,
2023-06-30,119.84,4.81,24.91,21.15,5.67,20.92,5.73,
2023-09-30,130.61,5.3,24.64,21.78,6.0,21.63,6.04,
2023-12-31,139.61,5.8,24.07,22.74,6.14,22.56,6.19,
2024-03-31,150.83,6.52,23.13,23.65,6.38,23.48,6.42,
2024-06-30,181.91,6.97,26.1,24.41,7.45,24.35,7.47,
2024-09-30,166.03,7.54,22.02,25.61,6.48,25.35,6.55,
2024-12-31,189.33,8.04,23.55,26.62,7.11,26.25,7.21,
2025-03-31,155.5,8.96,17.35,28.41,5.47,27.1,5.74,
2025-06-30,176.77,9.38,18.85,29.98,5.9,28.14,6.28,
2025-09-30,242.92,10.13,23.98,32.03,7.58,29.34,8.28,
2025-12-31,313.19,10.81,28.97,34.35,9.12,30.8,10.17,
2026-03-31,286.5,13.11,21.85,39.51,7.25,32.34,8.86,
2026-06-30,353.1,19.91,17.73,52.37,6.74,34.07,10.37,
2026-09-14,345.71,,17.36,,6.6,,10.15,
