period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,9.67,,,0.87,11.14,,,
2006-06-30,10.39,,,1.1,9.42,,,
2006-09-30,9.96,,,1.18,8.42,,,
2006-12-31,11.41,0.25,45.92,1.38,8.28,0.86,13.29,
2007-03-31,11.36,0.28,40.66,1.48,7.67,0.96,11.78,
2007-06-30,12.96,0.29,44.03,1.58,8.21,1.07,12.07,
2007-09-30,14.06,0.32,43.97,1.69,8.34,1.19,11.81,
2007-12-31,17.14,0.33,51.58,1.81,9.46,1.31,13.05,
2008-03-31,10.92,0.36,30.69,1.94,5.63,1.43,7.63,
2008-06-30,13.05,0.38,34.29,2.06,6.33,1.55,8.44,
2008-09-30,9.93,0.4,24.98,2.18,4.55,1.65,6.02,
2008-12-31,7.63,0.33,22.91,2.24,3.4,1.72,4.45,
2009-03-31,8.63,0.34,25.22,2.36,3.65,1.74,4.96,
2009-06-30,10.45,0.36,28.98,2.5,4.18,1.75,5.96,
2009-09-30,12.29,0.39,31.73,2.66,4.62,1.78,6.9,
2009-12-31,15.37,0.51,30.11,2.83,5.43,1.85,8.29,
2010-03-31,14.06,0.55,25.58,3.01,4.67,1.95,7.23,
2010-06-30,11.03,0.58,19.15,3.19,3.46,2.04,5.4,
2010-09-30,13.03,0.62,21.17,3.39,3.84,2.14,6.09,
2010-12-31,14.72,0.66,22.38,3.6,4.09,2.27,6.48,
2011-03-31,14.54,0.64,22.58,3.79,3.84,2.4,6.05,
2011-06-30,12.55,0.69,18.11,4.03,3.12,2.57,4.89,
2011-09-30,12.77,0.73,17.4,4.23,3.02,2.74,4.65,
2011-12-31,16.01,0.74,21.52,4.47,3.58,2.9,5.52,
2012-03-31,15.9,0.83,19.26,4.73,3.36,3.05,5.21,
2012-06-30,14.38,0.84,17.04,4.95,2.91,3.25,4.43,
2012-09-30,18.7,0.8,23.42,5.18,3.61,3.5,5.34,
2012-12-31,17.53,0.81,21.7,5.43,3.23,3.47,5.05,
2013-03-31,19.69,0.84,23.5,5.7,3.45,3.63,5.43,
2013-06-30,21.82,0.87,25.21,5.92,3.69,3.7,5.9,
2013-09-30,21.71,0.92,23.56,6.21,3.5,3.72,5.84,
2013-12-31,27.78,0.94,29.57,6.5,4.27,4.01,6.93,
2014-03-31,27.63,0.94,29.3,6.8,4.06,4.17,6.62,
2014-06-30,28.96,0.95,30.53,7.08,4.09,4.28,6.77,
2014-09-30,29.14,0.93,31.39,7.28,4.0,4.38,6.66,
2014-12-31,26.28,1.03,25.55,7.63,3.44,4.53,5.8,
2015-03-31,27.47,1.03,26.63,7.95,3.46,4.57,6.01,
2015-06-30,26.75,1.03,25.87,8.15,3.28,4.69,5.71,
2015-09-30,31.62,1.1,28.7,8.45,3.74,4.83,6.55,
2015-12-31,38.53,1.14,33.74,8.75,4.4,5.04,7.65,
2016-03-31,37.79,1.19,31.81,9.0,4.2,5.23,7.23,
2016-06-30,34.84,1.29,26.98,9.31,3.74,5.48,6.36,
2016-09-30,39.82,1.39,28.7,9.73,4.09,5.73,6.95,
2016-12-31,39.25,1.39,28.19,10.06,3.9,6.04,6.5,
2017-03-31,41.99,1.48,28.41,10.47,4.01,6.34,6.62,
2017-06-30,46.05,1.38,33.4,10.7,4.3,6.63,6.94,
2017-09-30,48.23,1.49,32.27,11.31,4.27,6.98,6.91,
2017-12-31,52.17,0.9,57.97,10.97,4.75,7.39,7.06,
2018-03-31,51.37,1.18,43.53,11.57,4.44,7.81,6.58,
2018-06-30,55.93,1.16,48.36,11.64,4.81,8.25,6.78,
2018-09-30,59.79,1.33,44.92,12.2,4.9,8.65,6.91,
2018-12-31,51.76,2.19,23.69,12.77,4.05,9.11,5.68,
2019-03-31,58.29,1.99,29.24,13.2,4.41,9.47,6.15,
2019-06-30,53.63,2.48,21.65,13.85,3.87,9.9,5.41,
2019-09-30,60.48,2.33,25.96,14.11,4.29,10.38,5.83,
2019-12-31,66.34,2.46,26.99,14.63,4.53,10.85,6.11,
2020-03-31,57.55,2.48,23.24,14.89,3.87,11.21,5.14,
2020-06-30,70.23,2.27,30.91,15.22,4.62,11.21,6.27,
2020-09-30,72.59,2.59,28.06,15.71,4.62,11.64,6.23,
