period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-02-28,101.6,,,67.05,1.52,,,
2006-05-31,108.77,,,73.76,1.47,,,
2006-08-31,107.37,,,78.09,1.38,,,
2006-11-30,140.98,19.69,7.16,86.72,1.63,78.59,1.79,
2007-02-28,146.25,21.28,6.87,89.71,1.63,83.98,1.74,
2007-05-31,167.59,21.43,7.82,94.34,1.78,84.51,1.98,
2007-08-31,128.03,24.3,5.27,98.4,1.3,95.59,1.34,
2007-11-30,165.11,24.73,6.68,109.55,1.51,99.17,1.66,
2008-02-29,123.8,21.29,5.81,108.07,1.15,90.57,1.37,
2008-05-31,128.98,20.94,6.16,113.54,1.14,89.69,1.44,
2008-08-31,120.12,16.62,7.23,115.58,1.04,76.21,1.58,
2008-11-30,58.04,9.62,6.03,,0.0,52.92,1.1,
2008-12-31,62.01,6.39,9.7,,0.0,34.54,1.8,
2009-03-31,78.33,5.2,15.06,137.48,0.57,32.75,2.39,
2009-06-30,109.21,8.32,13.13,122.99,0.89,44.24,2.47,
2009-09-30,136.85,13.57,10.08,127.38,1.07,65.69,2.08,
2009-12-31,125.6,22.13,5.68,137.28,0.91,83.14,1.51,
2010-03-31,127.22,24.33,5.23,141.86,0.9,85.53,1.49,
2010-06-30,98.12,20.18,4.86,143.2,0.69,75.78,1.29,
2010-09-30,108.34,17.91,6.05,147.91,0.73,69.62,1.56,
2010-12-31,126.28,13.18,9.58,152.42,0.83,66.93,1.89,
2011-03-31,119.36,9.15,13.04,139.92,0.85,65.68,1.82,
2011-06-30,100.42,10.22,9.83,142.47,0.7,63.23,1.59,
2011-09-30,71.55,6.4,11.18,142.28,0.5,54.87,1.3,
2011-12-31,68.7,4.51,15.23,144.97,0.47,50.97,1.35,
2012-03-31,94.77,6.87,13.79,144.7,0.65,49.37,1.92,
2012-06-30,73.39,6.8,10.79,151.47,0.48,49.32,1.49,
2012-09-30,87.42,10.49,8.33,156.3,0.56,58.74,1.49,
2012-12-31,98.51,14.13,6.97,162.78,0.61,65.78,1.5,
2013-03-31,114.02,14.5,7.86,167.6,0.68,66.77,1.71,
2013-06-30,117.56,16.42,7.16,173.24,0.68,71.14,1.65,
2013-09-30,123.37,16.45,7.5,175.8,0.7,68.33,1.81,
2013-12-31,138.68,15.46,8.97,175.79,0.79,68.02,2.04,
2014-03-31,128.63,15.19,8.47,176.55,0.73,67.47,1.91,
2014-06-30,131.89,15.59,8.46,185.21,0.71,69.54,1.9,
2014-09-30,145.05,17.28,8.39,188.82,0.77,73.88,1.96,
2014-12-31,153.64,17.07,9.0,192.44,0.8,72.54,2.12,
2015-03-31,149.46,18.99,7.87,197.01,0.76,76.23,1.96,
2015-06-30,166.54,16.87,9.87,202.54,0.82,76.7,2.17,
2015-09-30,139.07,15.2,9.15,204.96,0.68,73.79,1.88,
2015-12-31,144.75,12.14,11.92,206.75,0.7,73.4,1.97,
2016-03-31,126.62,8.88,14.26,207.96,0.61,64.63,1.96,
2016-06-30,120.34,10.62,11.33,212.78,0.57,63.05,1.91,
2016-09-30,131.13,12.6,10.41,218.2,0.6,67.07,1.95,
2016-12-31,195.3,16.29,11.99,221.31,0.88,70.41,2.77,
2017-03-31,187.85,18.76,10.01,220.16,0.85,75.35,2.49,
2017-06-30,182.08,18.99,9.59,223.27,0.82,76.37,2.38,
2017-09-30,195.29,19.13,10.21,227.62,0.86,77.91,2.51,
