period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,24.06,,,12.67,1.9,,,
2006-04-30,23.78,,,13.11,1.81,,,
2006-07-31,20.76,,,13.18,1.58,,,
2006-10-31,22.42,2.94,7.63,13.58,1.65,37.59,0.6,
2007-01-31,24.61,2.79,8.82,12.71,1.94,38.03,0.65,
2007-04-30,23.01,2.62,8.78,13.01,1.77,37.34,0.62,
2007-07-31,22.72,2.53,8.98,13.74,1.65,37.7,0.6,
2007-10-31,19.38,2.4,8.08,10.34,1.88,38.56,0.5,
2008-01-31,19.0,2.37,8.02,10.48,1.81,40.65,0.47,
2008-04-30,18.02,2.05,8.79,10.43,1.73,41.87,0.43,
2008-07-31,15.04,1.95,7.71,10.98,1.37,43.06,0.35,
2008-10-31,15.01,1.8,8.34,10.85,1.38,43.15,0.35,
2009-01-31,13.84,1.34,10.33,10.48,1.32,42.3,0.33,
2009-04-30,17.13,1.43,11.98,10.57,1.62,41.24,0.42,
2009-07-31,17.04,1.38,12.35,11.25,1.51,40.06,0.43,
2009-10-31,16.62,1.34,12.4,11.39,1.46,39.18,0.42,
2010-01-31,18.71,1.57,11.92,11.42,1.64,39.13,0.48,
2010-04-30,23.71,1.7,13.95,11.49,2.06,39.54,0.6,
2010-07-31,19.32,1.76,10.98,11.67,1.66,39.94,0.48,
2010-10-31,21.12,1.86,11.35,11.64,1.81,40.36,0.52,
2011-01-31,25.33,2.01,12.6,11.64,2.18,40.87,0.62,
2011-04-30,25.76,2.08,12.39,11.39,2.26,41.32,0.62,
2011-07-31,24.4,2.22,10.99,11.62,2.1,42.48,0.57,
2011-10-31,25.2,2.31,10.91,11.53,2.19,43.59,0.58,
2012-01-31,31.49,2.47,12.75,11.64,2.7,44.66,0.7,
2012-04-30,36.96,2.65,13.95,11.75,3.15,45.85,0.81,
2012-07-31,37.46,2.8,13.38,11.7,3.2,46.63,0.8,
2012-10-31,44.29,2.83,15.65,11.86,3.74,47.54,0.93,
2013-01-31,48.51,3.0,16.17,11.98,4.05,49.41,0.98,
2013-04-30,53.46,3.15,16.97,11.22,4.76,50.72,1.05,
2013-07-31,57.88,3.38,17.13,10.79,5.37,52.73,1.1,
2013-10-31,57.35,3.7,15.5,10.1,5.68,54.36,1.05,
2014-01-31,56.86,3.76,15.12,9.07,6.27,54.63,1.04,
2014-04-30,59.17,3.93,15.06,8.88,6.66,56.0,1.06,
2014-07-31,60.52,4.21,14.38,8.51,7.11,57.99,1.04,
2014-10-31,73.38,4.41,16.64,7.67,9.57,59.63,1.23,
2015-01-31,78.94,4.71,16.76,7.13,11.07,61.52,1.28,
2015-04-30,81.3,4.92,16.52,7.09,11.47,63.22,1.29,
2015-07-31,89.41,5.13,17.43,6.73,13.29,64.89,1.38,
2015-10-31,94.94,5.33,17.81,6.01,15.8,66.63,1.42,
2016-01-31,96.99,5.46,17.76,5.04,19.23,68.75,1.41,
2016-04-30,103.83,5.69,18.25,5.09,20.41,70.92,1.46,
2016-07-31,107.77,5.93,18.17,5.39,20.01,73.01,1.48,
2016-10-31,95.6,6.18,15.47,4.61,20.75,74.72,1.28,
2017-01-31,108.37,6.45,16.8,3.6,30.09,76.36,1.42,
2017-04-30,123.71,6.68,18.52,3.31,37.38,78.02,1.59,
2017-07-31,119.25,6.96,17.13,3.01,39.63,80.32,1.48,
2017-10-31,132.93,7.2,18.46,2.18,61.05,82.79,1.61,
2018-01-31,161.9,7.29,22.21,1.26,128.94,84.97,1.91,
2018-04-30,149.78,7.7,19.45,1.46,102.45,86.67,1.73,
2018-07-31,160.98,8.5,18.94,1.75,91.75,89.54,1.8,
2018-10-31,144.08,9.17,15.71,1.17,123.45,91.28,1.58,
2019-01-31,151.25,9.73,15.54,-1.7,-89.0,94.28,1.6,
2019-04-30,169.12,9.92,17.05,-1.95,-86.89,96.59,1.75,
2019-07-31,178.66,10.04,17.79,-1.06,-168.8,98.14,1.82,
2019-10-31,197.32,10.06,19.61,-0.99,-198.77,99.97,1.97,
2020-01-31,193.1,10.25,18.84,-2.89,-66.74,100.3,1.93,
2020-04-30,187.34,10.06,18.62,-3.24,-57.76,102.69,1.82,
2020-07-31,227.6,10.91,20.86,-0.38,-591.49,109.96,2.07,
2020-10-31,229.86,11.56,19.88,1.43,161.12,116.18,1.98,
2021-01-31,234.67,11.94,19.65,3.06,76.61,122.61,1.91,
2021-04-30,282.22,13.72,20.57,1.64,171.95,131.25,2.15,
2021-07-31,287.67,14.23,20.22,1.96,146.82,134.64,2.14,
2021-10-31,327.5,14.97,21.88,0.99,330.97,138.49,2.36,25.73
2022-01-30,,,,,,,,23.07
2022-01-31,324.64,15.53,20.9,-1.64,-198.12,142.33,2.28,
2022-04-30,267.34,15.76,16.96,-1.66,-160.97,145.07,1.84,
2022-05-01,,,,,,,,18.64
2022-07-31,269.52,16.28,16.56,0.23,1164.72,149.08,1.81,18.16
2022-10-30,,,,,,,,17.56
2022-10-31,266.94,16.6,16.08,1.27,209.77,152.11,1.75,
2023-01-29,,,,,,,,18.87
2023-01-31,293.98,16.69,17.61,1.54,191.22,153.31,1.92,
2023-04-30,274.53,16.42,16.72,0.36,763.63,152.46,1.8,19.02
2023-07-30,,,,,,,,21.95
2023-07-31,307.14,16.02,19.17,1.33,230.29,152.52,2.01,
2023-10-29,,,,,,,,17.81
2023-10-31,263.59,15.59,16.91,1.44,183.6,152.27,1.73,
2024-01-28,,,,,,,,23.47
2024-01-31,329.0,15.11,21.77,1.05,312.62,152.03,2.16,
2024-04-28,,,,,,,,21.82
2024-04-30,313.39,14.92,21.0,1.83,170.81,151.96,2.06,
2024-07-28,,,,,,,,23.25
2024-07-31,347.62,14.87,23.38,4.45,78.1,152.7,2.28,
2024-10-27,,,,,,,,26.13
2024-10-31,374.04,14.73,25.39,5.83,64.19,155.45,2.41,
2025-01-31,393.42,14.91,26.39,6.68,58.89,160.72,2.45,
2025-02-02,,,,,,,,26.41
2025-04-30,346.43,14.73,23.52,8.0,43.33,164.1,2.11,
2025-05-04,,,,,,,,24.21
2025-07-31,355.37,14.71,24.16,10.72,33.15,166.13,2.14,
2025-08-03,,,,,,,,24.38
2025-10-31,369.14,14.66,25.18,12.18,30.31,167.19,2.21,
2025-11-02,,,,,,,,24.18
2026-01-31,366.63,14.23,25.76,12.86,28.5,165.6,2.21,
2026-02-01,,,,,,,,25.18
2026-04-30,323.97,14.08,23.01,13.92,23.28,167.43,1.93,
2026-05-03,,,,,,,,21.52
2026-07-31,329.53,14.29,23.06,16.65,19.79,169.94,1.94,
2026-08-02,,,,,,,,21.73
2026-09-14,310.87,,21.75,,18.67,,1.83,
2026-09-15,,,,,,,,20.16
