period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-06-30,32.34,,,,0.0,,,
2007-06-30,35.17,,,,0.0,,,
2008-06-30,31.05,,,,0.0,,,
2009-06-30,17.88,0.0,0.0,,0.0,0.0,0.0,
2010-03-31,22.22,0.75,29.62,,0.0,5.24,4.24,
2010-06-30,20.15,6.5,3.1,40.93,0.49,30.77,0.66,
2010-09-30,22.54,10.75,2.1,,0.0,52.39,0.43,
2010-12-31,22.91,3.6,6.36,43.8,0.52,57.47,0.4,
2011-03-31,23.52,3.95,5.95,,0.0,56.9,0.41,
2011-06-30,22.73,4.95,4.59,,0.0,57.5,0.4,
2011-09-30,17.6,7.7,2.29,,0.0,63.91,0.28,
2011-12-31,17.84,4.55,3.92,46.48,0.38,63.71,0.28,
2012-03-31,21.12,4.1,5.15,,0.0,63.32,0.33,
2012-06-30,21.21,-1.05,0.0,,0.0,43.13,0.49,
2012-09-30,22.56,-7.4,0.0,,0.0,19.12,1.18,
2012-12-31,26.01,3.7,7.03,49.56,0.52,18.82,1.38,
2013-03-31,26.58,4.7,5.66,,0.0,19.45,1.37,
2013-06-30,26.09,4.15,6.29,,0.0,17.97,1.45,
2013-09-30,27.52,4.3,6.4,,0.0,17.86,1.54,
2013-12-31,28.22,4.2,6.72,50.57,0.56,17.33,1.63,
2014-03-31,26.51,3.9,6.8,,0.0,16.66,1.59,
2014-06-30,26.74,4.0,6.69,,0.0,16.28,1.64,
2014-09-30,27.04,4.05,6.68,,0.0,16.43,1.65,
2014-12-31,25.35,3.45,7.35,52.03,0.49,16.3,1.56,
2015-03-31,23.38,3.4,6.88,,0.0,16.11,1.45,
2015-06-30,24.86,3.35,7.42,,0.0,16.54,1.5,
2015-09-30,21.25,3.75,5.67,,0.0,16.23,1.31,
2015-12-31,22.42,3.3,6.79,50.17,0.45,15.59,1.44,
2016-03-31,18.27,3.0,6.09,,0.0,15.51,1.18,
2016-06-30,18.68,2.5,7.47,,0.0,14.51,1.29,
2016-09-30,22.76,1.1,20.69,,0.0,13.2,1.72,
2016-12-31,24.64,0.33,74.67,45.21,0.55,12.33,2.0,
2017-03-31,25.68,0.13,197.55,,0.0,11.8,2.18,
2017-09-30,31.75,0.28,113.4,,0.0,11.76,2.7,
2018-03-31,31.58,1.18,26.76,,0.0,12.85,2.46,
2018-09-30,29.76,3.25,9.16,,0.0,13.97,2.13,
2019-03-31,28.49,3.5,8.14,,0.0,12.25,2.32,
2019-09-30,27.57,3.5,7.88,48.98,0.56,10.39,2.65,
2020-03-31,20.45,3.2,6.39,49.15,0.42,8.47,2.41,
2020-09-30,14.3,2.6,5.5,49.64,0.29,6.37,2.24,
2021-03-31,21.8,2.5,8.72,51.44,0.42,6.43,3.39,
2021-09-30,19.82,2.6,7.62,51.13,0.39,6.31,3.14,
2022-03-31,26.68,2.85,9.36,51.25,0.52,6.32,4.22,
2022-09-30,20.6,3.0,6.87,47.12,0.44,5.94,3.47,
2023-03-31,27.81,4.64,5.99,50.04,0.56,7.14,3.9,
2023-09-30,32.98,5.24,6.29,49.25,0.67,7.61,4.34,
2024-03-31,34.71,7.24,4.79,53.08,0.65,9.38,3.7,
2024-09-30,40.77,8.44,4.83,,0.0,11.1,3.67,
2025-03-31,54.0,7.8,6.92,56.07,0.96,10.96,4.93,
2025-09-30,67.86,7.75,8.76,,0.0,11.8,5.75,
2025-12-31,75.73,5.05,15.0,,0.0,8.38,9.04,
2026-03-31,81.64,5.35,15.26,57.47,1.42,8.69,9.4,
2026-06-30,94.63,3.4,27.83,,,5.83,16.24,
2026-09-14,103.94,,30.57,,1.81,,17.84,
