period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,41.8,,,21.11,1.98,,,
2006-06-30,39.08,,,22.05,1.77,,,
2006-09-30,41.85,,,22.74,1.84,,,
2006-12-31,49.78,6.11,8.15,18.92,2.63,58.69,0.85,
2007-03-31,48.45,6.24,7.76,18.73,2.59,60.14,0.81,
2007-06-30,54.3,6.49,8.37,12.32,4.41,62.38,0.87,
2007-09-30,61.0,6.72,9.08,14.91,4.09,64.8,0.94,
2007-12-31,56.17,7.15,7.86,20.55,2.73,67.71,0.83,
2008-03-31,60.06,7.58,7.92,20.92,2.87,70.6,0.85,
2008-06-30,62.08,8.0,7.76,20.86,2.98,73.46,0.85,
2008-09-30,61.5,8.36,7.36,20.48,3.0,74.58,0.82,
2008-12-31,44.5,8.89,5.01,10.14,4.39,74.23,0.6,
2009-03-31,51.51,8.95,5.75,10.36,4.97,72.96,0.71,
2009-06-30,55.8,9.3,6.0,11.8,4.73,71.22,0.78,
2009-09-30,64.21,9.66,6.65,14.08,4.56,70.55,0.91,
2009-12-31,70.59,10.01,7.05,17.43,4.05,71.39,0.99,
2010-03-31,69.47,10.28,6.76,17.27,4.02,72.6,0.96,
2010-06-30,67.23,10.57,6.36,16.79,4.0,73.5,0.91,
2010-09-30,73.4,10.99,6.68,18.0,4.08,74.96,0.98,
2010-12-31,80.66,11.52,7.0,18.87,4.27,77.2,1.04,
2011-03-31,89.98,11.86,7.59,18.8,4.78,79.75,1.13,
2011-06-30,95.08,12.25,7.76,19.43,4.89,83.29,1.14,
2011-09-30,97.34,12.62,7.71,18.99,5.13,85.93,1.13,
2011-12-31,102.77,13.06,7.87,17.4,5.91,87.68,1.17,
2012-03-31,117.07,13.36,8.76,18.02,6.5,88.85,1.32,
2012-06-30,110.19,13.7,8.04,17.99,6.12,89.2,1.24,
2012-09-30,117.38,13.84,8.48,19.17,6.12,89.03,1.32,
2012-12-31,108.86,14.37,7.58,16.99,6.41,88.68,1.23,
2013-03-31,121.73,14.46,8.42,17.33,7.02,88.5,1.38,
2013-06-30,109.58,14.03,7.81,16.33,6.71,88.77,1.23,
2013-09-30,106.71,14.38,7.42,18.43,5.79,88.48,1.21,
2013-12-31,108.66,14.94,7.27,21.75,5.0,88.73,1.22,
2014-03-31,112.13,14.53,7.72,16.54,6.78,89.25,1.26,
2014-06-30,106.2,15.74,6.75,17.56,6.05,90.71,1.17,
2014-09-30,111.88,12.08,9.26,14.55,7.69,91.92,1.22,
2014-12-31,95.2,11.9,8.0,12.13,7.85,91.59,1.04,
2015-03-31,95.91,11.96,8.02,12.48,7.69,89.99,1.07,
2015-06-30,97.93,11.34,8.64,14.13,6.93,87.16,1.12,
2015-09-30,88.01,14.33,6.14,13.86,6.35,84.4,1.04,
2015-12-31,84.33,13.42,6.28,14.94,5.65,82.98,1.02,
2016-03-31,93.75,13.16,7.12,15.7,5.97,82.61,1.13,
2016-06-30,94.86,12.27,7.73,16.62,5.71,82.58,1.15,
2016-09-30,100.14,12.24,8.18,18.05,5.55,82.97,1.21,
2016-12-31,105.59,12.38,8.53,19.44,5.43,83.24,1.27,
2017-03-31,111.65,12.14,9.2,19.64,5.69,83.02,1.34,
2017-06-30,99.59,12.01,8.29,19.9,5.0,82.48,1.21,
2017-09-30,94.92,11.95,7.94,21.34,4.45,82.92,1.14,
2017-12-31,101.38,6.14,16.51,19.22,5.27,84.25,1.2,
2018-03-31,102.38,6.1,16.78,19.92,5.14,85.71,1.19,
2018-06-30,94.26,6.23,15.13,20.43,4.61,86.94,1.08,
2018-09-30,103.12,6.25,16.5,21.92,4.71,86.91,1.19,
2018-12-31,78.51,9.52,8.25,18.97,4.14,86.61,0.91,
2019-03-31,98.59,9.49,10.39,18.73,5.26,86.34,1.14,
2019-06-30,97.5,9.69,10.06,20.07,4.86,86.09,1.13,
2019-09-30,104.03,8.62,12.07,20.43,5.09,85.79,1.21,
2019-12-31,97.02,10.56,9.19,23.66,4.1,64.67,1.5,
2020-03-31,81.13,10.09,8.04,22.67,3.58,63.96,1.27,
2020-06-30,89.51,8.8,10.17,23.23,3.85,62.7,1.43,
2020-09-30,91.36,8.82,10.36,23.94,3.82,62.08,1.47,
2020-12-31,95.89,6.23,15.39,23.22,4.13,61.6,1.56,
2021-03-31,102.87,5.98,17.2,24.08,4.27,56.59,1.82,
2021-06-30,114.42,5.93,19.3,24.62,4.65,52.07,2.2,
2021-09-30,109.69,5.3,20.7,24.93,4.4,47.27,2.32,12.03
2021-12-31,111.86,6.35,17.62,21.15,5.29,63.57,1.76,12.81
2022-03-31,110.12,6.1,18.05,21.25,5.18,64.56,1.71,12.97
2022-06-30,121.04,6.16,19.65,21.56,5.61,65.9,1.84,13.87
2022-09-30,103.13,1.36,75.83,22.28,4.63,66.73,1.55,12.09
2022-12-31,123.76,1.8,68.75,24.3,5.09,66.57,1.86,14.63
2023-03-31,116.56,2.0,58.28,23.87,4.88,66.49,1.75,13.7
2023-06-30,120.61,2.19,55.07,24.45,4.93,66.26,1.82,13.92
2023-09-30,127.91,7.6,16.83,25.36,5.04,66.62,1.92,14.53
2023-12-31,150.8,8.14,18.53,24.71,6.1,67.18,2.24,16.6
2024-03-31,177.68,8.85,20.08,25.4,6.99,67.14,2.65,18.91
2024-06-30,162.52,9.09,17.88,26.17,6.21,67.19,2.42,17.65
2024-09-30,209.56,6.86,30.55,26.53,7.9,67.43,3.11,21.86
2024-12-31,210.02,6.43,32.66,29.57,7.1,67.31,3.12,21.12
2025-03-31,239.14,5.83,41.02,29.0,8.25,67.19,3.56,23.2
2025-06-30,285.38,6.18,46.18,29.62,9.64,68.23,4.18,26.39
2025-09-30,275.01,8.38,32.82,29.94,9.18,69.23,3.97,24.17
2025-12-31,290.3,11.17,25.99,34.94,8.31,71.25,4.07,24.5
2026-03-31,238.91,11.33,21.09,35.17,6.79,72.59,3.29,19.58
2026-06-30,279.21,11.29,24.73,36.67,7.61,72.68,3.84,22.43
2026-09-14,249.09,,22.06,,6.79,,3.43,
2026-09-15,,,,,,,,19.47
