period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,11.46,,,5.92,1.94,,,
2006-06-30,11.24,,,6.03,1.86,,,
2006-09-30,12.24,,,6.08,2.01,,,
2006-12-31,12.11,0.86,14.08,6.37,1.9,6.01,2.01,
2007-03-31,11.5,0.91,12.64,6.49,1.77,6.02,1.91,
2007-06-30,14.34,0.98,14.64,6.82,2.1,6.12,2.34,
2007-09-30,15.7,1.06,14.81,7.01,2.24,6.31,2.49,
2007-12-31,16.25,1.18,13.77,7.35,2.21,6.47,2.51,
2008-03-31,12.99,1.15,11.3,7.11,1.83,6.61,1.97,
2008-06-30,13.25,1.21,10.95,7.16,1.85,6.77,1.96,
2008-09-30,11.63,1.26,9.23,7.0,1.66,6.88,1.69,
2008-12-31,9.18,0.92,9.98,7.11,1.29,6.5,1.41,
2009-03-31,9.51,0.78,12.19,6.99,1.36,6.13,1.55,
2009-06-30,10.56,0.43,24.56,6.98,1.51,5.93,1.78,
2009-09-30,12.58,0.41,30.68,7.07,1.78,5.81,2.17,
2009-12-31,13.21,0.77,17.16,7.55,1.75,6.25,2.11,
2010-03-31,14.55,1.09,13.35,7.75,1.88,6.79,2.14,
2010-06-30,12.79,1.67,7.66,8.23,1.55,7.24,1.77,
2010-09-30,12.72,1.86,6.84,8.55,1.49,7.52,1.69,
2010-12-31,14.04,2.01,6.98,8.97,1.57,7.66,1.83,
2011-03-31,13.58,2.14,6.35,8.87,1.53,8.14,1.67,
2011-06-30,15.03,2.17,6.93,9.22,1.63,8.65,1.74,
2011-09-30,14.62,2.3,6.35,9.01,1.62,9.36,1.56,
2011-12-31,16.76,2.39,7.01,9.18,1.83,9.92,1.69,
2012-03-31,19.59,2.36,8.3,9.34,2.1,10.11,1.94,
2012-06-30,18.7,2.36,7.92,9.73,1.92,10.31,1.81,
2012-09-30,16.04,2.29,7.0,9.89,1.62,10.26,1.56,
2012-12-31,14.75,2.13,6.92,10.36,1.42,10.31,1.43,
