period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,32.81,,,13.83,2.37,,,
2006-06-30,33.41,,,13.89,2.41,,,
2006-09-30,36.42,,,13.97,2.61,,,
2006-12-31,37.23,3.73,9.98,13.59,2.74,17.96,2.07,
2007-03-31,34.18,3.51,9.74,14.14,2.42,18.76,1.82,
2007-06-30,35.18,3.61,9.75,14.9,2.36,19.45,1.81,
2007-09-30,37.76,3.55,10.64,15.17,2.49,20.08,1.88,
2007-12-31,38.57,3.63,10.63,15.25,2.53,20.94,1.84,
2008-03-31,37.77,4.01,9.42,16.19,2.33,21.45,1.76,
2008-06-30,37.72,4.13,9.13,16.61,2.27,22.05,1.71,
2008-09-30,40.88,4.42,9.25,16.45,2.49,22.54,1.81,
2008-12-31,35.6,4.57,7.79,15.35,2.32,22.41,1.59,
2009-03-31,31.56,4.57,6.9,15.87,1.99,22.15,1.42,
2009-06-30,34.38,4.55,7.56,16.79,2.05,21.84,1.57,
2009-09-30,37.15,4.58,8.11,18.27,2.03,21.62,1.72,
2009-12-31,39.61,4.4,9.0,18.37,2.16,22.2,1.78,
2010-03-31,40.4,4.76,8.49,19.19,2.11,22.4,1.8,
2010-06-30,36.93,4.84,7.63,19.19,1.92,22.4,1.65,
2010-09-30,39.11,4.87,8.03,20.85,1.88,22.38,1.75,
2010-12-31,39.38,4.78,8.24,20.66,1.91,22.06,1.79,
2011-03-31,38.06,4.41,8.63,21.86,1.74,22.3,1.71,
2011-06-30,43.1,4.18,10.31,22.67,1.9,22.79,1.89,
2011-09-30,41.64,4.1,10.16,22.52,1.85,23.17,1.8,
2011-12-31,43.27,3.49,12.4,20.95,2.07,23.42,1.85,
2012-03-31,43.91,3.65,12.03,22.35,1.96,23.4,1.88,
2012-06-30,45.41,3.15,14.42,21.97,2.07,23.32,1.95,
2012-09-30,46.74,3.05,15.32,23.08,2.02,23.61,1.98,
2012-12-31,47.96,3.86,12.43,23.33,2.06,24.0,2.0,
2013-03-31,56.23,3.67,15.32,23.85,2.36,24.3,2.31,
2013-06-30,59.66,4.5,13.26,24.75,2.41,24.6,2.43,
2013-09-30,60.69,4.49,13.52,24.75,2.45,24.65,2.46,
2013-12-31,64.57,4.81,13.42,26.25,2.46,24.78,2.61,
2014-03-31,69.75,5.23,13.34,27.08,2.58,24.96,2.79,
2014-06-30,74.81,5.41,13.83,27.65,2.71,25.56,2.93,
2014-09-30,76.73,6.03,12.72,27.31,2.81,25.91,2.96,
2014-12-31,75.77,5.7,13.29,25.06,3.02,25.91,2.92,
2015-03-31,73.4,5.59,13.13,24.45,3.0,25.75,2.85,
2015-06-30,71.63,5.69,12.59,25.69,2.79,25.29,2.83,
2015-09-30,69.13,5.23,13.22,25.86,2.67,24.94,2.77,
2015-12-31,76.63,5.48,13.98,25.82,2.97,24.9,3.08,
2016-03-31,81.31,5.54,14.68,26.4,3.08,24.98,3.25,
2016-06-30,91.8,5.36,17.13,26.47,3.47,25.27,3.63,
2016-09-30,90.0,5.69,15.82,26.73,3.37,25.58,3.52,
2016-12-31,88.38,5.93,14.9,26.02,3.4,25.74,3.43,
2017-03-31,96.18,5.95,16.16,26.1,3.68,25.95,3.71,
2017-06-30,102.83,5.92,17.37,26.78,3.84,26.21,3.92,
2017-09-30,101.7,5.76,17.66,27.55,3.69,26.99,3.77,
2017-12-31,109.97,0.47,233.97,22.43,4.9,27.86,3.95,
2018-03-31,101.51,0.46,220.67,23.58,4.3,28.73,3.53,
2018-06-30,96.82,0.51,189.85,23.45,4.13,29.51,3.28,
2018-09-30,110.99,0.58,191.36,24.09,4.61,29.79,3.73,
2018-12-31,104.32,5.61,18.6,22.44,4.65,29.91,3.49,
2019-03-31,113.76,5.4,21.07,22.2,5.12,30.01,3.79,
2019-06-30,114.12,6.03,18.92,23.01,4.96,29.99,3.8,
2019-09-30,106.8,5.25,20.34,22.13,4.83,30.3,3.53,
2019-12-31,121.25,5.63,21.54,22.59,5.37,30.55,3.97,
2020-03-31,109.69,6.41,17.11,23.28,4.71,30.88,3.55,
2020-06-30,118.45,5.69,20.82,23.92,4.95,30.12,3.93,
2020-09-30,126.23,6.36,19.85,24.49,5.15,30.25,4.17,
2020-12-31,134.37,5.51,24.39,24.04,5.59,30.94,4.34,
2021-03-31,141.19,5.66,24.95,25.01,5.65,31.54,4.48,
2021-06-30,142.41,6.65,21.42,26.44,5.39,33.39,4.27,
2021-09-30,140.44,6.69,20.99,26.69,5.26,34.22,4.1,
2021-10-03,,,,,,,,16.36
2021-12-31,149.74,7.81,19.17,28.16,5.32,29.46,5.08,
2022-01-02,,,,,,,,16.98
2022-03-31,156.13,7.42,21.04,28.41,5.49,29.89,5.22,
2022-04-03,,,,,,,,16.93
2022-06-30,157.38,6.87,22.91,29.04,5.42,30.17,5.22,
2022-07-03,,,,,,,,17.52
2022-09-30,145.8,7.18,20.31,28.51,5.11,28.96,5.04,
2022-10-02,,,,,,,,16.07
2022-12-31,158.68,6.73,23.58,29.39,5.4,30.01,5.29,
2023-01-01,,,,,,,,17.49
2023-03-31,140.24,4.77,29.4,27.27,5.14,29.25,4.79,
2023-04-02,,,,,,,,14.74
2023-06-30,150.89,4.93,30.61,29.41,5.13,28.44,5.31,
2023-07-02,,,,,,,,15.63
2023-09-30,143.01,13.46,10.62,29.59,4.83,29.3,4.88,
2023-10-01,,,,,,,,14.98
2023-12-31,145.07,13.72,10.57,28.57,5.08,32.94,4.4,15.05
2024-03-31,147.53,15.09,9.78,29.09,5.07,33.72,4.37,14.85
2024-06-30,137.41,15.06,9.12,29.72,4.62,34.8,3.95,13.9
2024-09-29,,,,,,,,16.29
2024-09-30,153.51,5.96,25.76,29.14,5.27,35.68,4.3,
2024-12-29,,,,,,,,14.42
2024-12-31,138.09,5.79,23.85,29.7,4.65,36.59,3.77,
2025-03-30,,,,,,,,15.49
2025-03-31,159.62,8.99,17.76,32.47,4.92,36.83,4.33,
2025-06-29,,,,,,,,14.45
2025-06-30,148.28,9.35,15.86,32.61,4.55,37.37,3.97,
2025-09-28,,,,,,,,16.49
2025-09-30,181.32,10.36,17.5,32.95,5.5,38.0,4.77,
2025-12-28,,,,,,,,18.78
2025-12-31,203.65,11.03,18.46,33.86,6.01,38.84,5.24,
2026-03-29,,,,,,,,20.82
2026-03-31,241.82,8.63,28.02,33.73,7.17,39.65,6.1,
2026-06-28,,,,,,,,21.57
2026-06-30,252.72,8.61,29.35,35.28,7.16,40.2,6.29,
2026-09-14,266.32,,30.93,,7.55,,6.62,
2026-09-15,,,,,,,,23.74
