period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,24.58,,,31.19,0.79,,,
2006-06-30,25.0,,,31.89,0.78,,,
2006-09-30,28.18,,,32.75,0.86,,,
2006-12-31,29.19,4.04,7.23,33.45,0.87,27.95,1.04,
2007-03-31,29.45,4.52,6.52,34.45,0.85,29.68,0.99,
2007-06-30,29.7,4.73,6.28,35.08,0.85,31.35,0.95,
2007-09-30,28.31,4.78,5.92,35.72,0.79,32.32,0.88,
2007-12-31,27.19,4.33,6.28,36.59,0.74,33.23,0.82,
2008-03-31,26.98,3.66,7.37,36.94,0.73,32.77,0.82,
2008-06-30,21.73,2.99,7.27,38.76,0.56,31.94,0.68,
2008-09-30,29.91,2.11,14.18,39.13,0.76,30.58,0.98,
2008-12-31,20.35,1.35,15.07,44.71,0.46,29.33,0.69,
2009-03-31,17.36,1.08,16.08,45.29,0.38,29.39,0.59,
2009-06-30,22.32,0.83,26.9,39.44,0.57,29.39,0.76,
2009-09-30,28.72,1.56,18.41,41.19,0.7,30.3,0.95,
2009-12-31,27.34,2.26,12.1,41.95,0.65,30.0,0.91,
2010-03-31,29.4,2.6,11.31,41.44,0.71,29.84,0.99,
2010-06-30,24.08,3.41,7.06,43.04,0.56,29.15,0.83,
2010-09-30,25.07,3.6,6.96,44.28,0.57,28.32,0.89,
2010-12-31,27.98,3.96,7.06,45.04,0.62,28.96,0.97,
2011-03-31,30.44,4.5,6.76,45.3,0.67,28.41,1.07,
2011-06-30,27.18,4.68,5.81,46.77,0.58,29.07,0.94,
2011-09-30,20.12,4.69,4.29,47.98,0.42,29.29,0.69,
2011-12-31,22.4,4.48,5.0,48.66,0.46,28.06,0.8,
2012-03-31,31.2,4.39,7.11,49.52,0.63,28.49,1.1,
2012-06-30,24.41,4.33,5.64,50.46,0.48,27.39,0.89,
2012-09-30,27.88,4.71,5.92,52.56,0.53,27.68,1.01,
2012-12-31,30.51,5.2,5.87,53.65,0.57,28.27,1.08,
2013-03-31,33.16,5.6,5.92,54.64,0.61,27.85,1.19,
2013-06-30,37.11,5.99,6.2,55.52,0.67,28.5,1.3,
2013-09-30,36.6,4.42,8.28,54.98,0.67,27.95,1.31,
2013-12-31,41.72,4.34,9.61,56.22,0.74,28.0,1.49,
2014-03-31,43.59,4.03,10.82,58.04,0.75,27.46,1.59,
2014-06-30,41.63,3.89,10.7,60.44,0.69,27.25,1.53,
2014-09-30,43.83,5.41,8.1,61.87,0.71,27.44,1.6,
2014-12-31,45.84,5.29,8.67,62.38,0.73,27.07,1.69,
2015-03-31,44.66,5.46,8.18,63.56,0.7,27.35,1.63,
2015-06-30,50.28,5.54,9.08,65.22,0.77,27.18,1.85,
2015-09-30,45.54,5.87,7.76,66.75,0.68,26.85,1.7,
2015-12-31,49.68,6.0,8.28,67.58,0.74,26.93,1.84,
2016-03-31,44.85,5.9,7.6,68.41,0.66,26.83,1.67,
2016-06-30,47.41,5.91,8.02,69.88,0.68,27.22,1.74,
2016-09-30,51.2,5.81,8.81,71.08,0.72,28.01,1.83,
2016-12-31,66.83,6.19,10.8,71.38,0.94,28.75,2.32,
2017-03-31,68.41,6.49,10.54,72.02,0.95,29.64,2.31,
2017-06-30,71.59,6.76,10.59,73.45,0.97,30.51,2.35,
2017-09-30,75.22,6.94,10.84,74.47,1.01,31.39,2.4,
2017-12-31,84.72,6.31,13.43,74.65,1.13,31.91,2.66,
2018-03-31,87.57,7.03,12.46,75.25,1.16,33.5,2.61,
2018-06-30,83.4,7.5,11.12,76.6,1.09,34.95,2.39,
2018-09-30,90.8,8.08,11.24,77.87,1.17,36.33,2.5,
2018-12-31,79.11,9.0,8.79,78.31,1.01,37.85,2.09,
2019-03-31,82.7,9.28,8.91,80.1,1.03,39.47,2.1,
2019-06-30,92.03,9.81,9.38,82.32,1.12,40.94,2.25,
2019-09-30,97.57,10.15,9.61,84.28,1.16,42.56,2.29,
2019-12-31,116.49,10.72,10.87,84.74,1.37,43.84,2.66,
2020-03-31,75.72,8.85,8.56,85.74,0.88,43.58,1.74,
2020-06-30,79.93,7.41,10.79,86.78,0.92,44.02,1.82,
2020-09-30,82.6,7.65,10.8,88.94,0.93,42.77,1.93,
2020-12-31,110.04,8.88,12.39,91.61,1.2,42.07,2.62,
2021-03-31,132.78,12.6,10.54,92.73,1.43,42.35,3.13,
2021-06-30,136.47,15.0,9.1,95.84,1.42,41.35,3.3,
2021-09-30,144.44,15.82,9.13,98.14,1.47,41.64,3.47,
2021-12-31,140.57,15.36,9.15,99.9,1.41,41.86,3.36,
2022-03-31,121.74,13.49,9.02,97.34,1.25,41.78,2.91,
2022-06-30,101.31,12.47,8.12,97.57,1.04,42.86,2.36,
2022-09-30,94.85,11.85,8.0,98.19,0.97,46.29,2.05,
2022-12-31,122.8,12.09,10.16,99.63,1.23,52.11,2.36,
2023-03-31,120.21,13.56,8.87,103.71,1.16,59.65,2.02,
2023-06-30,135.22,15.55,8.7,107.54,1.26,68.85,1.96,
2023-09-30,135.76,16.76,8.1,109.78,1.24,76.14,1.78,
2023-12-31,160.41,16.23,9.88,113.98,1.41,81.21,1.98,
2024-03-31,190.06,16.57,11.47,117.23,1.62,85.59,2.22,
2024-06-30,193.04,17.94,10.76,119.7,1.61,91.08,2.12,
2024-09-30,202.36,17.98,11.25,122.84,1.65,94.34,2.14,
2024-12-31,231.46,19.75,11.72,123.23,1.88,96.57,2.4,
2025-03-31,238.08,20.38,11.68,126.45,1.88,98.21,2.42,
2025-06-30,283.11,19.5,14.52,129.8,2.18,97.0,2.92,
2025-09-30,309.51,20.2,15.32,132.32,2.34,98.67,3.14,
2025-12-31,317.71,20.02,15.87,134.42,2.36,100.43,3.16,
2026-03-31,291.35,20.89,13.95,135.86,2.14,103.12,2.83,
2026-06-30,325.86,23.35,13.96,140.92,2.31,108.69,3.0,
2026-09-14,350.13,,14.99,,2.48,,3.22,
