period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,2.56,,,1.71,1.49,,,
2006-06-30,2.21,,,1.79,1.23,,,
2006-09-30,2.37,,,1.88,1.26,,,
2006-12-31,2.65,0.22,11.96,1.92,1.38,1.16,2.28,
2007-03-31,2.85,0.25,11.36,1.73,1.65,1.26,2.26,
2007-06-30,2.95,0.26,11.28,1.86,1.59,1.34,2.19,
2007-09-30,3.0,0.24,12.49,1.68,1.79,1.39,2.15,
2007-12-31,2.6,0.24,10.77,1.69,1.54,1.42,1.83,
2008-03-31,2.01,0.23,8.88,1.76,1.14,1.4,1.43,
2008-06-30,2.21,0.2,11.33,1.71,1.29,1.36,1.63,
2008-09-30,1.72,0.16,10.78,1.63,1.05,1.3,1.32,
2008-12-31,1.2,-0.14,0.0,1.35,0.89,1.19,1.0,
2009-03-31,1.11,-0.25,0.0,1.28,0.87,1.04,1.06,
2009-06-30,1.41,-0.31,0.0,1.28,1.1,0.89,1.59,
2009-09-30,2.01,-0.31,0.0,1.29,1.56,0.78,2.58,
2009-12-31,2.04,-0.04,0.0,1.29,1.57,0.8,2.55,
2010-03-31,1.75,0.05,38.07,1.31,1.34,0.89,1.96,
2010-06-30,1.59,0.12,12.9,1.34,1.19,1.05,1.51,
2010-09-30,2.02,0.2,10.01,1.39,1.45,1.25,1.61,
2010-12-31,2.23,0.3,7.49,1.47,1.51,1.45,1.54,
2011-03-31,2.75,0.39,7.1,1.59,1.73,1.66,1.65,
2011-06-30,2.36,0.47,5.07,1.71,1.38,1.86,1.27,
2011-09-30,2.26,0.49,4.63,1.76,1.28,1.93,1.17,
2011-12-31,2.87,0.45,6.44,1.78,1.61,1.86,1.54,
2012-03-31,3.26,0.44,7.33,1.89,1.72,1.87,1.74,
2012-06-30,2.97,0.44,6.68,1.99,1.49,1.87,1.59,
2012-09-30,2.9,0.41,7.05,2.01,1.44,1.82,1.59,
2012-12-31,2.93,0.41,7.17,2.02,1.45,1.84,1.59,
2013-03-31,3.25,0.39,8.45,2.08,1.57,1.78,1.83,
2013-06-30,3.46,0.32,10.79,2.1,1.65,1.68,2.06,
2013-09-30,3.81,0.31,12.41,2.09,1.82,1.64,2.32,
2013-12-31,4.06,0.33,12.43,2.13,1.91,1.67,2.44,
2014-03-31,4.39,0.35,12.55,2.2,2.0,1.73,2.54,
