period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,11.33,,,3.48,3.25,,,
2006-06-30,11.72,,,3.66,3.21,,,
2006-09-30,12.26,,,3.84,3.19,,,
2006-12-31,13.33,1.08,12.34,3.65,3.65,5.12,2.6,
2007-03-31,13.35,1.12,11.97,3.73,3.58,5.33,2.5,
2007-06-30,14.65,1.13,13.02,4.1,3.57,5.62,2.61,
2007-09-30,16.19,1.17,13.84,4.26,3.8,5.89,2.75,
2007-12-31,17.38,1.29,13.53,4.69,3.71,6.2,2.8,
2008-03-31,17.35,1.34,13.0,4.96,3.5,6.45,2.69,
2008-06-30,14.92,1.24,12.03,5.02,2.97,6.72,2.22,
2008-09-30,15.28,1.29,11.85,5.14,2.98,6.87,2.22,
2008-12-31,13.2,1.25,10.6,4.51,2.92,6.83,1.93,
2009-03-31,12.95,1.22,10.66,4.56,2.84,6.8,1.9,
2009-06-30,14.26,1.35,10.56,5.08,2.81,6.65,2.14,
2009-09-30,16.08,1.35,11.91,5.28,3.05,6.58,2.45,
2009-12-31,17.19,1.47,11.74,5.5,3.12,6.66,2.58,
2010-03-31,16.73,1.52,11.0,5.45,3.07,6.73,2.48,
2010-06-30,15.37,1.59,9.67,5.59,2.75,6.82,2.25,
2010-09-30,18.08,1.63,11.13,6.09,2.97,6.9,2.62,
2010-12-31,20.46,2.53,8.09,6.83,3.0,7.53,2.72,
2011-03-31,20.79,2.6,8.01,7.13,2.92,8.17,2.54,
2011-06-30,21.24,2.69,7.91,7.72,2.75,9.04,2.35,
2011-09-30,21.47,2.73,7.88,7.38,2.91,9.87,2.18,
2011-12-31,22.4,1.85,12.11,7.05,3.18,10.0,2.24,
2012-03-31,23.87,1.89,12.63,7.36,3.24,10.16,2.35,
2012-06-30,25.39,1.9,13.36,7.25,3.5,10.28,2.47,
2012-09-30,24.8,1.92,12.91,7.49,3.31,10.34,2.4,
2012-12-31,23.86,1.97,12.11,7.42,3.21,10.46,2.28,
2013-03-31,26.81,1.91,14.04,7.4,3.63,10.47,2.56,
2013-06-30,26.78,1.89,14.17,7.36,3.64,10.44,2.56,
2013-09-30,25.47,1.93,13.2,7.35,3.46,10.43,2.44,
2013-12-31,27.97,1.9,14.72,7.6,3.68,10.38,2.7,
2014-03-31,26.39,1.87,14.11,7.5,3.52,10.31,2.56,
2014-06-30,29.13,1.86,15.66,7.82,3.72,10.32,2.82,
2014-09-30,29.55,1.8,16.42,7.7,3.84,10.33,2.86,
2014-12-31,29.45,1.6,18.4,7.0,4.21,10.33,2.85,
2015-03-31,28.52,1.59,17.93,6.67,4.28,10.38,2.75,
2015-06-30,27.82,1.72,16.17,6.59,4.22,10.32,2.7,
2015-09-30,28.69,1.57,18.28,6.05,4.74,10.22,2.81,
2015-12-31,30.96,1.67,18.54,5.96,5.2,10.05,3.08,
2016-03-31,33.69,1.66,20.3,5.8,5.81,9.97,3.38,
2016-06-30,33.17,1.74,19.07,6.22,5.33,9.85,3.37,
