period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,37.51,,,12.77,2.94,,,
2006-06-30,36.9,,,13.24,2.79,,,
2006-09-30,40.6,,,13.92,2.92,,,
2006-12-31,40.88,3.0,13.63,14.19,2.88,25.25,1.62,
2007-03-31,43.6,3.13,13.93,14.02,3.11,25.77,1.69,
2007-06-30,50.07,3.27,15.31,15.16,3.3,26.62,1.88,
2007-09-30,58.48,3.46,16.9,15.39,3.8,27.55,2.12,
2007-12-31,62.16,3.62,17.17,16.3,3.81,28.87,2.15,
2008-03-31,59.3,3.77,15.73,16.64,3.56,30.53,1.94,
2008-06-30,66.61,3.96,16.82,18.0,3.7,32.31,2.06,
2008-09-30,50.92,4.13,12.33,15.86,3.21,33.94,1.5,
2008-12-31,42.42,3.8,11.16,14.05,3.02,33.72,1.26,
2009-03-31,48.44,3.77,12.85,14.23,3.4,32.23,1.5,
2009-06-30,51.43,3.65,14.09,16.12,3.19,30.14,1.71,
2009-09-30,59.43,3.58,16.6,17.62,3.37,28.54,2.08,
2009-12-31,58.71,4.01,14.64,18.43,3.19,28.7,2.05,
2010-03-31,61.03,4.09,14.92,18.73,3.26,29.68,2.06,
2010-06-30,56.2,4.32,13.01,18.84,2.98,30.96,1.82,
2010-09-30,67.1,4.49,14.94,20.66,3.25,31.78,2.11,
2010-12-31,71.31,3.84,18.57,20.21,3.53,32.49,2.19,
2011-03-31,76.28,4.12,18.52,21.55,3.54,33.45,2.28,
2011-06-30,81.78,4.31,18.97,22.41,3.65,34.6,2.36,
2011-09-30,70.89,4.5,15.75,20.42,3.47,35.93,1.97,
2011-12-31,81.47,5.45,14.95,19.42,4.2,36.62,2.22,
2012-03-31,87.81,5.54,15.85,20.98,4.19,37.24,2.36,
2012-06-30,83.73,5.58,15.0,19.77,4.24,37.26,2.25,
2012-09-30,80.42,5.61,14.33,21.36,3.77,36.98,2.17,
2012-12-31,85.17,5.61,15.18,21.68,3.93,37.14,2.29,
2013-03-31,87.26,5.53,15.78,22.07,3.95,37.4,2.33,
2013-06-30,90.56,5.6,16.17,21.32,4.25,38.19,2.37,
2013-09-30,95.02,5.66,16.79,22.34,4.25,39.1,2.43,
2013-12-31,103.28,5.87,17.59,23.81,4.34,39.89,2.59,
2014-03-31,104.54,6.08,17.19,23.89,4.38,40.44,2.59,
2014-06-30,106.55,6.17,17.27,25.02,4.26,40.86,2.61,
2014-09-30,103.98,6.3,16.51,23.82,4.37,41.41,2.51,
2014-12-31,104.97,5.73,18.32,20.78,5.05,41.46,2.53,
2015-03-31,98.36,5.65,17.41,18.71,5.26,40.73,2.41,
2015-06-30,97.97,5.13,19.1,18.65,5.25,39.65,2.47,
2015-09-30,84.05,4.91,17.12,16.3,5.16,38.35,2.19,
2015-12-31,85.05,5.35,15.9,16.82,5.06,37.22,2.29,
2016-03-31,95.75,5.16,18.56,18.6,5.15,36.52,2.62,
2016-06-30,94.67,5.49,17.24,19.45,4.87,36.34,2.6,
2016-09-30,102.41,5.27,19.43,19.76,5.18,36.42,2.81,
2016-12-31,99.95,5.21,19.18,19.1,5.23,36.63,2.73,
2017-03-31,101.83,5.32,19.14,20.9,4.87,37.37,2.73,
