period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2015-09-30,16.95,,,7.92,2.14,,,
2015-12-31,22.02,,,7.97,2.76,,,
2016-03-31,26.97,,,8.05,3.35,,,
2016-06-30,24.2,-0.05,0.0,8.35,2.9,15.28,1.58,
2016-09-30,41.77,0.06,696.17,8.25,5.07,15.98,2.61,
2016-12-31,38.65,0.24,161.04,8.52,4.53,16.52,2.34,
2017-03-31,53.35,-0.55,0.0,7.67,6.96,16.82,3.17,
2017-06-30,57.05,-1.71,0.0,10.07,5.67,16.4,3.48,
2017-09-30,54.35,-1.61,0.0,10.34,5.26,15.87,3.43,
2017-12-31,48.9,1.25,39.12,13.87,3.53,17.9,2.73,
2018-03-31,63.8,2.21,28.87,14.01,4.56,18.43,3.46,
2018-06-30,57.9,3.82,15.16,14.75,3.93,19.51,2.97,
2018-09-30,59.95,4.5,13.32,15.53,3.86,21.28,2.82,
2018-12-31,42.01,1.53,27.46,20.49,2.05,20.53,2.05,
2019-03-31,56.54,0.51,110.86,19.7,2.87,21.49,2.63,
2019-06-30,53.41,-0.54,0.0,19.53,2.73,22.46,2.38,
2019-09-30,53.56,-0.65,0.0,20.23,2.65,22.71,2.36,
2019-12-31,79.3,-0.1,0.0,22.51,3.52,23.07,3.44,
2020-03-31,73.7,1.44,51.18,23.16,3.18,22.59,3.26,
2020-06-30,81.43,1.75,46.53,23.29,3.5,21.61,3.77,
2020-09-30,75.13,2.0,37.57,24.07,3.12,21.6,3.48,
2020-12-31,94.8,2.43,39.01,25.39,3.73,21.83,4.34,
2021-03-31,91.35,4.72,19.35,28.56,3.2,21.93,4.17,
2021-06-30,82.03,5.07,16.18,27.02,3.04,22.19,3.7,
2021-09-30,83.54,5.29,15.79,27.27,3.06,22.35,3.74,
2021-10-02,,,,,,,,14.68
2021-12-31,105.77,4.98,21.24,28.0,3.78,22.18,4.77,
2022-01-01,,,,,,,,17.25
2022-03-31,97.6,2.48,39.35,27.67,3.53,22.19,4.4,
2022-04-02,,,,,,,,15.95
2022-06-30,79.42,2.68,29.63,27.57,2.88,22.88,3.47,
2022-07-02,,,,,,,,11.78
2022-09-30,68.57,1.59,43.13,22.38,3.06,24.37,2.81,
2022-10-01,,,,,,,,10.56
2022-12-31,52.17,0.38,137.29,22.57,2.31,25.85,2.02,10.42
2023-03-31,54.01,-0.54,0.0,22.39,2.41,26.13,2.07,
2023-04-01,,,,,,,,10.86
2023-06-30,56.73,-1.93,0.0,20.42,2.78,25.87,2.19,
2023-07-01,,,,,,,,20.71
2023-09-30,45.18,-2.94,0.0,19.56,2.31,23.19,1.95,24.21
2023-12-30,,,,,,,,28.65
2023-12-31,52.42,-3.95,0.0,18.96,2.76,21.24,2.47,
2024-03-30,,,,,,,,36.78
2024-03-31,47.35,-5.26,0.0,17.41,2.72,21.08,2.25,
2024-06-29,,,,,,,,54.57
2024-06-30,50.92,-8.12,0.0,14.1,3.61,20.23,2.52,
2024-09-28,,,,,,,,40.42
2024-09-30,63.38,-8.31,0.0,13.06,4.85,20.4,3.11,
2024-12-28,,,,,,,,38.56
2024-12-31,83.95,-7.72,0.0,12.62,6.65,20.78,4.04,
2025-03-29,,,,,,,,22.03
2025-03-31,62.34,-6.48,0.0,12.67,4.92,21.49,2.9,
2025-06-28,,,,,,,,25.92
2025-06-30,95.06,0.37,256.92,16.26,5.85,23.81,3.99,
2025-09-27,,,,,,,,33.13
2025-09-30,162.71,1.63,99.82,11.01,14.77,25.7,6.33,
2025-12-27,,,,,,,,60.04
2025-12-31,368.59,3.4,108.41,11.86,31.09,27.44,13.43,
2026-03-28,,,,,,,,59.69
2026-03-31,702.76,5.54,126.85,41.47,16.95,29.71,23.66,
2026-06-27,,,,,,,,51.57
2026-06-30,858.06,-92.96,0.0,52.41,16.37,36.29,23.64,
2026-09-14,835.03,,0.0,,15.93,,23.01,38.53
