period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,31.03,,,10.35,3.0,,,
2006-06-30,31.26,,,10.55,2.96,,,
2006-09-30,32.47,,,11.54,2.81,,,
2006-12-31,29.9,2.45,12.2,9.7,3.08,14.44,2.07,
2007-03-31,31.06,2.15,14.45,10.17,3.05,14.9,2.08,
2007-06-30,32.55,2.0,16.28,10.19,3.19,15.59,2.09,
2007-09-30,33.41,2.05,16.3,11.41,2.93,16.24,2.06,
2007-12-31,31.6,2.71,11.66,11.9,2.65,17.09,1.85,
2008-03-31,30.82,3.21,9.6,13.11,2.35,17.61,1.75,
2008-06-30,27.84,3.48,8.0,12.96,2.15,18.07,1.54,
2008-09-30,26.81,2.2,12.19,12.09,2.22,18.62,1.44,
2008-12-31,24.86,-1.89,0.0,5.93,4.19,18.62,1.33,
2009-03-31,20.9,-1.66,0.0,6.72,3.11,18.83,1.11,
2009-06-30,21.97,-1.48,0.0,7.45,2.95,18.94,1.16,
2009-09-30,21.26,-0.19,0.0,8.62,2.47,19.25,1.1,
2009-12-31,23.31,3.94,5.92,8.29,2.81,19.89,1.17,
2010-03-31,23.97,3.87,6.19,9.07,2.64,20.27,1.18,
2010-06-30,22.48,4.03,5.58,8.88,2.53,20.65,1.09,
2010-09-30,24.84,4.35,5.71,10.76,2.31,20.7,1.2,
2010-12-31,24.16,4.58,5.27,10.76,2.24,20.89,1.16,
2011-03-31,24.59,4.4,5.59,12.04,2.04,21.17,1.16,
2011-06-30,26.57,4.25,6.25,12.33,2.15,21.58,1.23,
2011-09-30,26.55,4.18,6.35,13.01,2.04,21.98,1.21,
2011-12-31,30.24,3.9,7.75,11.69,2.59,21.81,1.39,
2012-03-31,29.67,3.86,7.69,12.77,2.32,21.61,1.37,
2012-06-30,31.99,3.62,8.84,12.33,2.59,21.0,1.52,
2012-09-30,35.75,3.69,9.69,13.84,2.58,20.34,1.76,
2012-12-31,37.58,3.66,10.27,12.92,2.91,20.25,1.86,
2013-03-31,43.67,4.17,10.47,13.28,3.29,20.33,2.15,
2013-06-30,38.1,4.45,8.56,13.52,2.82,20.79,1.83,
2013-09-30,39.4,4.38,8.99,15.0,2.63,21.26,1.85,
2013-12-31,40.32,4.32,9.33,15.8,2.55,21.28,1.89,
2014-03-31,46.95,3.58,13.11,16.39,2.86,20.5,2.29,
2014-06-30,50.0,3.15,15.87,16.11,3.1,19.62,2.55,
2014-09-30,52.58,2.51,20.95,15.88,3.31,18.83,2.79,
2014-12-31,56.34,2.23,25.26,13.86,4.07,18.24,3.09,
2015-03-31,59.75,2.05,29.15,13.47,4.44,18.24,3.28,
2015-06-30,69.14,1.93,35.82,13.27,5.21,18.33,3.77,
2015-09-30,69.72,2.21,31.55,13.75,5.07,18.45,3.78,
2015-12-31,70.64,2.26,31.26,13.2,5.35,18.73,3.77,
2016-03-31,60.79,2.17,28.02,13.62,4.47,18.95,3.21,
2016-06-30,66.93,2.32,28.85,13.28,5.04,19.37,3.45,
2016-09-30,68.65,2.3,29.85,14.15,4.85,19.61,3.5,
2016-12-31,63.32,2.58,24.54,12.79,4.95,19.99,3.17,
2017-03-31,72.9,2.07,35.22,12.78,5.7,20.37,3.58,
2017-06-30,71.79,2.31,31.08,12.87,5.58,20.78,3.45,
2017-09-30,75.09,2.11,35.59,13.59,5.53,21.24,3.54,
2017-12-31,74.61,-0.19,0.0,10.61,7.03,18.92,3.94,
2018-03-31,68.86,1.07,64.35,13.44,5.12,18.7,3.68,
2018-06-30,76.47,-0.13,0.0,10.82,7.07,18.61,4.11,
2018-09-30,96.69,0.46,210.2,13.27,7.29,18.42,5.25,
2018-12-31,104.8,3.13,33.48,10.32,10.15,20.77,5.04,
2019-03-31,118.15,6.28,18.81,2.64,44.72,21.22,5.57,
2019-06-30,101.44,7.97,12.73,2.96,34.27,21.9,4.63,
2019-09-30,102.97,8.22,12.53,3.61,28.55,22.69,4.54,
2019-12-31,121.71,8.89,13.69,2.82,43.18,23.77,5.12,
2020-03-31,129.13,6.18,20.89,3.34,38.63,25.02,5.16,
2020-06-30,153.55,6.29,24.41,4.47,34.38,24.96,6.15,
2020-09-30,139.11,6.25,22.26,5.22,26.63,25.3,5.5,
2020-12-31,159.48,6.79,23.49,6.09,26.19,26.92,5.92,
2021-03-31,177.2,6.68,26.53,7.4,23.94,27.95,6.34,
2021-06-30,218.66,6.66,32.83,6.97,31.39,29.31,7.46,
2021-09-30,220.83,6.55,33.71,8.32,26.56,30.45,7.25,28.8
2021-12-31,264.85,6.12,43.28,9.6,27.59,31.07,8.52,31.77
2022-03-31,275.73,6.73,40.97,9.96,27.69,32.23,8.55,33.09
2022-06-30,313.24,6.25,50.12,9.11,34.37,32.01,9.78,42.68
2022-09-30,313.41,6.64,47.2,10.7,29.29,32.26,9.72,40.12
2022-12-31,355.54,6.9,51.53,11.34,31.35,31.55,11.27,46.27
2023-03-31,334.83,6.29,53.23,11.9,28.14,30.64,10.93,40.51
2023-06-30,458.43,7.19,63.76,11.74,39.03,32.67,14.03,51.1
2023-09-30,526.18,5.52,95.32,11.91,44.17,35.54,14.8,47.51
2023-12-31,572.09,5.8,98.64,11.44,49.99,37.82,15.13,53.37
2024-03-31,764.84,6.79,112.64,13.57,56.36,39.82,19.21,62.39
2024-06-30,891.63,8.12,109.81,14.35,62.15,43.11,20.68,61.54
2024-09-30,873.71,9.25,94.45,15.08,57.95,45.2,19.33,42.96
2024-12-31,762.6,11.71,65.12,15.06,50.65,49.81,15.31,35.13
2025-03-31,817.26,12.29,66.5,16.72,48.88,54.24,15.07,35.55
2025-06-30,772.95,15.3,50.52,19.37,39.9,59.03,13.09,31.21
2025-09-30,758.22,20.44,37.09,25.21,30.08,65.98,11.49,27.49
2025-12-31,1069.51,22.95,46.6,28.09,38.08,72.46,14.76,34.33
2026-03-31,916.88,28.15,32.57,33.07,27.73,80.42,11.4,26.51
2026-06-30,1197.71,29.8,40.19,35.77,33.49,88.84,13.48,32.15
2026-09-14,1138.28,,38.2,,31.82,,12.81,
2026-09-15,,,,,,,,27.91
