period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,3.65,,,0.88,4.16,,,
2006-06-30,3.96,,,0.99,3.99,,,
2006-09-30,3.85,,,1.12,3.42,,,
2006-12-31,4.29,0.39,11.15,1.23,3.5,1.52,2.82,
2007-03-31,4.02,0.44,9.13,1.25,3.21,1.67,2.4,
2007-06-30,4.36,0.49,8.99,0.95,4.58,1.79,2.44,
2007-09-30,4.52,0.48,9.49,1.12,4.04,1.91,2.36,
2007-12-31,3.67,0.45,8.11,1.24,2.95,1.96,1.87,
2008-03-31,3.24,0.42,7.74,1.33,2.43,1.99,1.63,
2008-06-30,3.07,0.35,8.84,1.42,2.16,1.96,1.57,
2008-09-30,2.67,0.24,11.32,1.4,1.91,1.76,1.52,
2008-12-31,1.81,0.13,14.33,1.38,1.31,1.51,1.2,
2009-03-31,1.93,-0.11,0.0,1.2,1.61,1.16,1.66,
2009-06-30,2.21,-0.24,0.0,1.15,1.92,0.89,2.49,
2009-09-30,2.9,-0.24,0.0,1.18,2.45,0.79,3.68,
2009-12-31,3.33,-0.16,0.0,1.24,2.67,0.94,3.54,
2010-03-31,3.17,0.09,35.18,1.3,2.43,1.29,2.45,
2010-06-30,3.23,0.27,11.92,1.4,2.3,1.66,1.94,
2010-09-30,3.55,0.41,8.6,1.54,2.31,2.06,1.73,
2010-12-31,4.39,0.54,8.18,1.69,2.6,2.38,1.85,
2011-03-31,4.81,0.59,8.18,1.87,2.57,2.53,1.9,
2011-06-30,3.76,0.58,6.49,2.0,1.88,2.59,1.45,
2011-09-30,3.22,0.48,6.69,1.96,1.65,2.49,1.29,
2011-12-31,3.14,0.33,9.49,2.06,1.52,2.28,1.38,
2012-03-31,3.79,0.22,16.9,2.18,1.74,2.18,1.74,
2012-06-30,3.2,0.14,23.72,2.75,1.16,2.17,1.48,
2012-09-30,2.7,0.08,34.13,2.86,0.94,2.12,1.27,
2012-12-31,3.07,0.06,54.74,2.83,1.08,2.13,1.44,
2013-03-31,3.52,0.03,121.29,2.81,1.25,2.09,1.68,
2013-06-30,3.76,0.07,57.0,2.76,1.36,2.07,1.82,
2013-09-30,4.34,0.11,38.1,2.79,1.56,2.16,2.01,
2013-12-31,4.62,0.2,23.45,2.88,1.61,2.31,2.0,
2014-03-31,4.67,0.28,16.55,2.97,1.57,2.53,1.85,
2014-06-30,5.75,0.36,15.88,3.1,1.86,2.67,2.15,
2014-09-30,6.37,0.39,16.25,3.07,2.08,2.73,2.33,
2014-12-31,6.78,0.41,16.74,3.14,2.16,2.78,2.44,
2015-03-31,6.02,0.43,14.16,3.22,1.87,2.85,2.11,
2015-06-30,6.99,0.37,18.9,3.37,2.07,2.97,2.36,
2015-09-30,5.64,0.46,12.37,3.5,1.61,3.24,1.74,
2015-12-31,6.88,0.48,14.22,3.61,1.9,3.36,2.05,
2016-03-31,7.19,0.45,15.97,3.69,1.95,3.33,2.16,
2016-06-30,7.34,0.52,14.06,3.81,1.93,3.37,2.18,
2016-09-30,8.3,0.5,16.5,3.95,2.1,3.36,2.47,
2016-12-31,9.3,0.56,16.73,4.06,2.29,3.57,2.61,
2017-03-31,11.34,0.78,14.46,4.22,2.69,3.98,2.85,
2017-06-30,12.53,0.92,13.56,4.32,2.9,4.37,2.87,
2017-09-30,16.44,1.1,14.97,4.57,3.6,4.81,3.41,
2017-12-31,16.4,0.91,18.0,3.93,4.17,5.39,3.04,
2018-03-31,18.14,1.03,17.54,4.2,4.32,5.83,3.11,
2018-06-30,15.52,1.32,11.78,4.19,3.7,6.29,2.47,
2018-09-30,13.71,1.32,10.4,3.51,3.91,6.35,2.16,
2018-12-31,12.39,1.68,7.4,3.79,3.27,6.3,1.97,
2019-03-31,16.39,1.59,10.31,3.56,4.6,6.24,2.63,
2019-06-30,17.3,1.37,12.63,3.27,5.29,5.99,2.89,
2019-09-30,21.4,1.36,15.78,3.44,6.23,6.01,3.56,
2019-12-31,27.19,1.35,20.17,3.1,8.77,6.18,4.4,
2020-03-31,22.45,1.39,16.16,3.13,7.16,6.32,3.55,
2020-06-30,30.37,1.51,20.12,3.57,8.52,6.72,4.52,
2020-09-30,31.27,1.76,17.77,3.75,8.33,7.44,4.2,
2020-12-31,44.63,2.01,22.17,3.85,11.6,8.09,5.52,
2021-03-31,56.39,2.37,23.83,3.77,14.96,9.06,6.22,
2021-06-30,61.77,2.69,22.96,4.23,14.6,10.04,6.15,
2021-09-26,,,,,,,,17.97
2021-09-30,54.16,2.96,18.31,4.13,13.1,10.9,4.97,
2021-12-26,,,,,,,,19.75
2021-12-31,68.59,3.21,21.39,4.62,14.86,11.52,5.95,
2022-03-27,,,,,,,,15.58
2022-03-31,51.44,3.2,16.1,4.34,11.84,11.76,4.38,
2022-06-26,,,,,,,,12.42
2022-06-30,40.91,3.28,12.49,4.58,8.93,12.2,3.35,
2022-09-25,,,,,,,,10.29
2022-09-30,35.27,3.49,10.12,5.44,6.49,12.88,2.74,
2022-12-25,,,,,,,,13.75
2022-12-31,40.66,3.72,10.93,6.13,6.63,13.76,2.95,
2023-03-26,,,,,,,,20.55
2023-03-31,51.46,3.59,14.33,6.24,8.24,13.72,3.75,
2023-06-25,,,,,,,,25.81
2023-06-30,62.58,3.32,18.85,6.16,10.16,12.79,4.89,
2023-09-24,,,,,,,,22.94
2023-09-30,61.2,2.95,20.74,6.09,10.04,11.7,5.23,
2023-12-24,,,,,,,,27.5
2023-12-31,76.69,2.59,29.56,6.26,12.24,10.68,7.18,
2024-03-31,95.33,2.72,35.01,6.14,15.54,10.7,8.91,31.13
2024-06-30,104.68,2.9,36.1,6.55,15.98,11.27,9.28,31.65
2024-09-29,,,,,,,,23.1
2024-09-30,80.47,3.09,26.04,6.56,12.27,11.86,6.79,
2024-12-29,,,,,,,,20.29
2024-12-31,71.44,3.29,21.71,6.85,10.42,12.4,5.76,
2025-03-30,,,,,,,,18.96
2025-03-31,72.12,3.59,20.09,7.41,9.73,13.18,5.47,
2025-06-29,,,,,,,,23.7
2025-06-30,96.8,4.15,23.33,7.77,12.45,14.26,6.79,
