period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-06-30,4.34,,,1.57,2.77,,,
2006-09-30,6.36,,,1.72,3.7,,,
2006-12-31,8.92,,,1.75,5.09,,,
2007-03-31,9.63,0.1,96.28,1.93,5.0,2.58,3.74,
2007-06-30,15.07,0.52,29.25,2.11,7.12,2.68,5.62,
2007-09-30,13.44,0.6,22.25,2.38,5.64,2.81,4.78,
2007-12-31,19.57,0.8,24.58,2.31,8.48,2.99,6.55,
2008-03-31,20.29,0.98,20.79,2.42,8.38,3.22,6.31,
2008-06-30,24.17,0.22,109.39,1.59,15.24,3.44,7.02,
2008-09-30,16.15,-0.16,0.0,1.37,11.83,3.68,4.39,
2008-12-31,13.03,-0.19,0.0,1.49,8.72,3.83,3.4,
2009-03-31,15.29,-0.25,0.0,1.72,8.87,3.82,4.0,
2009-06-30,15.28,0.59,26.08,2.06,7.41,3.85,3.97,
2009-09-30,18.48,1.08,17.13,2.49,7.43,3.87,4.78,
2009-12-31,23.42,1.12,20.99,2.71,8.66,3.92,5.97,
2010-03-31,23.26,1.18,19.67,2.93,7.94,4.03,5.77,
2010-06-30,18.28,1.26,14.46,3.15,5.8,4.09,4.47,
2010-09-30,20.54,1.31,15.64,3.71,5.54,4.13,4.97,
2010-12-31,20.56,1.41,14.63,3.98,5.16,4.23,4.86,
2011-03-31,23.11,1.49,15.53,4.05,5.71,4.38,5.28,
2011-06-30,27.68,1.62,17.14,4.31,6.42,4.64,5.97,
2011-09-30,29.15,1.78,16.34,4.71,6.18,4.98,5.86,
2011-12-31,34.28,1.48,23.16,4.63,7.4,5.23,6.56,
2012-03-31,38.68,1.59,24.37,5.04,7.67,5.46,7.08,
2012-06-30,39.59,1.67,23.76,5.02,7.88,5.61,7.06,
2012-09-30,41.58,1.72,24.18,5.56,7.48,5.71,7.28,
2012-12-31,45.28,2.19,20.68,5.62,8.05,5.87,7.71,
2013-03-31,49.9,2.27,21.94,5.54,9.0,6.03,8.27,
2013-06-30,53.04,2.42,21.93,5.81,9.12,6.31,8.4,
2013-09-30,62.18,2.53,24.56,6.37,9.76,6.61,9.4,
2013-12-31,77.28,2.56,30.19,6.28,12.31,6.83,11.32,
2014-03-31,69.19,2.67,25.91,5.6,12.35,7.11,9.74,
2014-06-30,68.15,2.77,24.6,5.45,12.51,7.41,9.2,
2014-09-30,68.67,2.91,23.6,5.67,12.11,7.72,8.89,
2014-12-31,80.16,3.1,25.86,5.92,13.53,8.06,9.94,
2015-03-31,80.53,3.26,24.7,5.54,14.53,8.17,9.86,
2015-06-30,87.3,3.27,26.7,5.68,15.38,8.24,10.59,
2015-09-30,84.3,3.26,25.86,5.6,15.05,8.33,10.13,
2015-12-31,91.23,3.35,27.23,5.43,16.8,8.48,10.76,
2016-03-31,88.73,3.32,26.72,5.0,17.74,8.74,10.15,
2016-06-30,82.85,3.4,24.37,5.35,15.49,9.09,9.11,
2016-09-30,95.95,3.62,26.51,5.72,16.77,9.48,10.12,
2016-12-31,97.53,3.69,26.43,5.26,18.55,9.77,9.98,
2017-03-31,106.46,3.83,27.8,5.25,20.28,10.1,10.54,
2017-06-30,115.19,4.04,28.51,5.51,20.91,10.49,10.98,
2017-09-30,134.16,4.3,31.2,6.1,21.99,11.05,12.14,
2017-12-31,144.04,3.65,39.46,5.22,27.62,11.64,12.38,
2018-03-31,166.95,4.06,41.12,5.47,30.53,12.5,13.36,
2018-06-30,187.58,4.46,42.06,5.08,36.92,13.15,14.26,
2018-09-30,212.75,4.94,43.07,5.6,37.99,13.71,15.52,
2018-12-31,180.5,5.6,32.23,5.26,34.35,14.25,12.66,
2019-03-31,225.67,5.99,37.67,5.07,44.52,14.64,15.42,
2019-06-30,253.89,6.49,39.12,4.96,51.23,15.15,16.75,
2019-09-30,260.97,6.74,38.72,4.93,52.98,15.8,16.52,
2019-12-31,287.28,7.94,36.18,5.88,48.89,16.48,17.43,
2020-03-31,232.72,7.82,29.76,5.4,43.08,16.68,13.95,
2020-06-30,285.32,7.23,39.46,6.47,44.08,15.98,17.85,
2020-09-30,326.73,6.67,48.99,5.87,55.63,15.41,21.2,
2020-12-31,345.27,6.37,54.2,6.52,52.95,15.19,22.73,
2021-03-31,344.85,6.52,52.89,6.48,53.24,15.39,22.41,
2021-06-30,354.02,7.19,49.24,6.62,53.48,16.63,21.29,
2021-09-30,337.54,8.12,41.57,6.88,49.04,17.85,18.91,37.5
2021-12-31,349.28,8.76,39.87,7.53,46.36,19.01,18.37,36.62
2022-03-31,347.85,9.61,36.2,7.28,47.75,20.12,17.29,34.65
2022-06-30,307.49,9.87,31.15,6.44,47.73,21.2,14.5,29.73
2022-09-30,277.56,10.01,27.73,6.67,41.62,22.12,12.55,25.49
2022-12-31,339.99,10.22,33.27,6.65,51.14,22.85,14.88,30.19
2023-03-31,355.9,10.01,35.55,5.68,62.64,23.59,15.08,29.75
2023-06-30,385.78,10.67,36.16,5.89,65.46,24.56,15.71,30.86
2023-09-30,388.9,11.48,33.88,6.77,57.42,25.54,15.23,29.65
2023-12-31,419.56,11.83,35.47,7.47,56.18,26.47,15.85,31.2
2024-03-31,474.47,12.58,37.72,7.83,60.63,27.24,17.42,33.46
2024-06-30,435.26,13.08,33.28,8.06,54.03,28.12,15.48,29.95
2024-09-30,487.92,13.22,36.91,8.13,60.05,29.16,16.73,32.33
2024-12-31,520.99,13.89,37.51,7.13,73.09,30.32,17.18,33.59
2025-03-31,543.13,14.26,38.09,7.36,73.81,31.46,17.26,34.47
2025-06-30,557.71,14.83,37.61,8.69,64.17,32.92,16.94,34.27
2025-09-30,565.29,15.64,36.14,8.8,64.25,34.46,16.4,32.36
2025-12-31,568.09,16.52,34.39,8.66,65.57,36.1,15.73,31.04
2026-03-31,497.97,17.28,28.82,7.58,65.71,37.58,13.25,25.5
2026-06-30,512.74,18.18,28.2,6.39,80.3,39.14,13.1,25.37
2026-09-14,574.42,,31.6,,89.96,,14.68,
2026-09-15,,,,,,,,27.01
