period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,19.44,,,12.17,1.6,,,
2006-06-30,19.01,,,12.75,1.49,,,
2006-09-30,22.13,,,12.55,1.76,,,
2006-12-31,25.69,2.83,9.08,12.84,2.0,16.67,1.54,
2007-03-31,26.11,2.96,8.82,13.21,1.98,17.13,1.52,
2007-06-30,29.42,1.69,17.41,12.66,2.32,17.72,1.66,
2007-09-30,31.57,1.9,16.62,12.66,2.49,18.19,1.74,
2007-12-31,35.05,1.98,17.7,13.11,2.67,18.86,1.86,
2008-03-31,33.4,2.17,15.39,12.72,2.63,19.35,1.73,
2008-06-30,33.89,3.81,8.9,13.0,2.61,19.74,1.72,
2008-09-30,37.42,3.97,9.43,11.71,3.2,20.37,1.84,
2008-12-31,38.05,3.76,10.12,12.0,3.17,20.48,1.86,
2009-03-31,33.7,3.82,8.82,11.5,2.93,20.18,1.67,
2009-06-30,35.8,3.76,9.52,12.14,2.95,19.97,1.79,
2009-09-30,35.85,3.86,9.29,12.22,2.93,19.96,1.8,
2009-12-31,39.56,4.11,9.63,13.03,3.04,20.5,1.93,
2010-03-31,42.63,4.24,10.05,13.12,3.25,21.13,2.02,
2010-06-30,42.44,4.39,9.67,12.34,3.44,21.52,1.97,
2010-09-30,48.37,4.53,10.68,12.91,3.75,21.88,2.21,
2010-12-31,50.22,4.58,10.97,13.89,3.62,22.24,2.26,
2011-03-31,50.19,4.73,10.61,13.93,3.6,22.89,2.19,
2011-06-30,56.03,4.95,11.32,14.49,3.87,24.0,2.33,
2011-09-30,58.75,5.11,11.5,13.04,4.51,25.02,2.35,
2011-12-31,67.63,5.27,12.83,14.09,4.8,25.8,2.62,
2012-03-31,66.59,5.35,12.45,14.43,4.62,26.36,2.53,
2012-06-30,60.56,5.32,11.38,13.92,4.35,26.52,2.28,
2012-09-30,63.26,5.3,11.94,13.83,4.57,26.68,2.37,
2012-12-31,61.37,5.36,11.45,15.25,4.02,26.97,2.28,
2013-03-31,69.91,5.39,12.97,15.19,4.6,27.15,2.58,
2013-06-30,69.97,5.45,12.84,15.18,4.61,27.42,2.55,
2013-09-30,68.55,5.54,12.37,15.24,4.5,27.66,2.48,
2013-12-31,69.71,5.55,12.56,16.16,4.31,27.9,2.5,
2014-03-31,71.03,5.5,12.91,16.34,4.35,28.09,2.53,
2014-06-30,73.58,5.52,13.33,16.45,4.47,28.3,2.6,
2014-09-30,69.84,5.09,13.72,14.0,4.99,28.11,2.48,
2014-12-31,69.64,4.82,14.45,13.35,5.22,27.72,2.51,
2015-03-31,73.05,4.45,16.41,11.9,6.14,27.17,2.69,
2015-06-30,71.89,4.31,16.68,11.21,6.41,26.72,2.69,
2015-09-30,75.16,4.62,16.27,9.05,8.31,26.7,2.82,
2015-12-31,90.83,4.8,18.92,7.82,11.62,26.75,3.4,
2016-03-31,97.36,5.21,18.69,4.4,22.12,27.16,3.58,
2016-06-30,93.9,5.2,18.06,0.75,125.21,27.57,3.41,
2016-09-30,90.72,5.3,17.12,-1.96,-46.38,28.07,3.23,
2016-12-31,96.46,5.44,17.73,-2.69,-35.85,28.36,3.4,
2017-03-31,103.47,5.66,18.28,-2.49,-41.53,28.65,3.61,
2017-06-30,123.04,6.11,20.14,-2.47,-49.82,28.84,4.27,
2017-09-30,126.62,6.93,18.27,-4.36,-29.02,28.34,4.47,
2017-12-31,139.92,6.37,21.97,-4.45,-31.43,27.89,5.02,
2018-03-31,127.93,6.62,19.32,-6.01,-21.29,27.44,4.66,
