period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,10.01,,,4.04,2.48,,,
2006-06-30,9.31,,,4.16,2.23,,,
2006-09-30,9.06,,,4.29,2.11,,,
2006-12-31,9.21,0.69,13.35,4.37,2.11,2.35,3.92,
2007-03-31,10.08,0.81,12.45,4.61,2.19,2.36,4.27,
2007-06-30,10.58,0.82,12.98,4.71,2.24,2.35,4.5,
2007-09-30,10.46,0.77,13.58,4.51,2.32,2.33,4.5,
2007-12-31,9.14,0.8,11.49,3.08,2.97,2.36,3.88,
2008-03-31,9.61,0.7,13.73,2.81,3.42,2.38,4.03,
2008-06-30,9.05,0.72,12.57,2.85,3.17,2.5,3.63,
2008-09-30,8.81,0.79,11.23,2.72,3.24,2.63,3.35,
2008-12-31,5.94,0.79,7.52,2.8,2.12,2.56,2.33,
2009-03-31,6.56,0.66,10.02,4.08,1.61,2.41,2.73,
2009-06-30,7.1,0.53,13.4,3.98,1.78,2.22,3.19,
2009-09-30,8.45,0.45,18.79,3.97,2.13,2.11,4.0,
2009-12-31,9.39,0.44,21.33,4.03,2.33,2.26,4.16,
2010-03-31,9.21,0.58,15.89,4.14,2.23,2.53,3.64,
2010-06-30,9.19,0.74,12.42,4.22,2.18,2.95,3.11,
2010-09-30,10.54,0.89,11.85,4.38,2.41,3.35,3.15,
2010-12-31,11.7,0.96,12.19,4.38,2.67,3.62,3.23,
2011-03-31,13.0,1.08,12.09,4.78,2.72,3.85,3.37,
2011-06-30,13.08,1.09,12.05,4.93,2.65,3.83,3.41,
2011-09-30,10.85,1.02,10.69,4.98,2.18,3.68,2.95,
2011-12-31,12.89,0.95,13.57,5.05,2.55,3.55,3.63,
2012-03-31,13.22,0.83,16.02,5.15,2.57,3.41,3.88,
2012-06-30,11.89,0.78,15.34,5.21,2.28,3.36,3.54,
2012-09-30,11.88,0.52,22.85,5.05,2.35,3.49,3.4,
2012-12-31,11.97,0.36,33.72,4.93,2.43,3.7,3.23,
2013-03-31,13.64,0.31,43.98,4.92,2.77,3.91,3.48,
2013-06-30,13.94,0.3,46.48,4.95,2.82,4.14,3.37,
2013-09-30,15.22,0.59,26.01,5.09,2.99,4.29,3.55,
2013-12-31,17.04,0.8,21.3,5.21,3.27,4.37,3.9,
2014-03-31,18.33,0.91,20.14,5.34,3.43,4.46,4.11,
2014-06-30,18.88,0.93,20.41,5.41,3.49,4.55,4.15,
2014-09-30,18.41,0.91,20.34,5.6,3.28,4.62,3.98,
2014-12-31,17.73,0.86,20.61,5.66,3.13,4.71,3.77,
2015-03-31,19.35,0.83,23.46,5.1,3.79,4.79,4.04,
2015-06-30,18.91,0.93,20.44,5.18,3.65,4.84,3.91,
2015-09-30,17.32,0.87,20.02,5.24,3.3,4.88,3.55,
2015-12-31,18.85,0.81,23.27,5.22,3.61,4.93,3.82,
2016-03-31,19.69,0.75,26.42,5.27,3.74,5.0,3.94,
2016-06-30,20.89,0.18,116.04,5.89,3.55,5.63,3.71,
2016-09-30,25.72,0.1,257.22,5.83,4.41,6.25,4.12,
2016-12-31,26.7,0.19,140.53,5.93,4.5,6.78,3.94,
2017-03-31,30.86,0.36,86.94,7.14,4.32,7.42,4.16,
2017-06-30,32.43,0.97,33.44,7.33,4.42,7.56,4.29,
2017-09-30,37.89,1.29,29.49,7.58,5.0,7.76,4.88,
2017-12-31,37.24,0.52,71.61,6.8,5.48,8.11,4.59,
2018-03-31,38.88,0.52,75.5,6.98,5.57,8.21,4.74,
2018-06-30,38.86,0.24,165.36,10.88,3.57,8.61,4.51,
2018-09-30,33.86,0.04,846.61,10.94,3.09,9.39,3.61,
2018-12-31,31.02,0.68,45.95,10.89,2.85,10.07,3.08,
2019-03-31,35.92,0.71,50.6,11.13,3.23,10.72,3.35,
2019-06-30,37.71,0.74,50.96,11.11,3.39,10.92,3.45,
2019-09-30,40.57,0.77,53.04,11.23,3.61,10.7,3.79,
2019-12-31,45.91,1.27,36.3,11.72,3.92,10.38,4.42,
2020-03-31,29.83,1.11,26.87,11.38,2.62,10.31,2.89,
2020-06-30,46.52,1.25,37.22,10.9,4.27,10.24,4.54,
2020-09-30,45.55,1.18,38.77,10.46,4.36,10.07,4.52,
2020-12-31,61.4,0.65,95.2,9.84,6.24,10.03,6.12,
2021-03-31,69.18,0.65,106.43,9.76,7.09,10.15,6.81,
2021-06-30,66.93,0.86,77.82,10.07,6.65,10.39,6.44,
2021-09-30,68.81,1.15,59.84,10.28,6.7,10.86,6.34,17.45
2021-12-31,78.28,1.7,46.05,10.44,7.5,11.5,6.81,17.96
2022-03-31,67.8,2.27,29.87,10.63,6.38,12.05,5.63,14.62
2022-06-30,52.63,2.72,19.35,10.82,4.86,12.77,4.12,10.65
2022-09-30,55.53,3.27,16.98,11.1,5.0,13.57,4.09,10.72
2022-12-31,64.21,3.69,17.4,11.52,5.57,14.38,4.47,11.57
2023-03-31,76.9,4.02,19.13,11.94,6.44,15.12,5.09,13.26
2023-06-30,82.64,4.33,19.08,12.55,6.58,15.78,5.24,14.23
2023-09-30,72.37,4.56,15.87,12.88,5.62,16.17,4.48,13.26
2023-12-31,84.05,4.29,19.59,13.1,6.41,15.49,5.43,20.74
2024-03-31,84.06,3.48,24.16,12.41,6.78,13.91,6.05,33.38
2024-06-30,86.14,2.51,34.32,11.94,7.21,12.04,7.15,34.68
2024-09-30,76.01,1.44,52.78,11.69,6.5,10.08,7.54,36.94
2024-12-31,54.67,0.57,95.9,11.22,4.87,8.76,6.24,34.76
2025-03-31,46.49,-0.01,0.0,13.14,3.54,8.15,5.7,54.22
2025-06-30,68.1,-0.34,0.0,12.71,5.36,7.86,8.67,49.96
2025-09-30,62.58,-0.45,0.0,12.39,5.05,7.8,8.02,36.49
2025-12-31,62.65,-0.29,0.0,12.12,5.17,8.07,7.77,32.07
2026-03-31,63.9,0.22,290.47,11.87,5.39,8.67,7.37,26.55
2026-06-30,90.65,0.68,133.32,11.88,7.63,9.37,9.68,28.85
2026-09-14,71.48,,105.12,,6.02,,7.63,18.13
