period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2012-06-30,30.83,,,6.21,4.96,,,
2012-09-30,21.47,,,6.54,3.28,,,
2012-12-31,26.39,,,4.98,5.3,,,
2013-03-31,25.36,0.02,1267.87,4.94,5.13,2.37,10.71,
2013-06-30,24.66,0.23,107.23,5.11,4.83,2.46,10.02,
2013-09-30,49.79,0.42,118.55,5.35,9.31,2.74,18.19,
2013-12-31,54.17,0.6,90.29,6.1,8.88,3.13,17.29,
2014-03-31,59.72,0.76,78.57,6.56,9.11,3.51,17.02,
2014-06-30,66.7,0.93,71.72,7.15,9.33,3.9,17.12,
2014-09-30,78.35,1.06,73.92,8.18,9.58,4.31,18.18,
2014-12-31,77.34,1.1,70.31,12.99,5.95,4.73,16.36,
2015-03-31,81.5,1.03,79.13,13.45,6.06,5.02,16.24,
2015-06-30,85.02,0.98,86.76,14.09,6.03,5.32,15.97,
2015-09-30,89.12,0.99,90.02,14.72,6.05,5.69,15.68,
2015-12-31,103.75,1.29,80.43,15.6,6.65,6.29,16.5,
2016-03-31,113.11,1.71,66.14,16.54,6.84,6.89,16.41,
2016-06-30,113.29,2.24,50.57,17.6,6.44,7.68,14.76,
2016-09-30,127.15,2.83,44.93,18.82,6.76,8.5,14.97,
2016-12-31,114.05,3.49,32.68,20.47,5.57,9.46,12.06,
2017-03-31,140.81,3.93,35.83,21.46,6.56,10.34,13.62,
2017-06-30,149.67,4.47,33.48,22.92,6.53,11.29,13.26,
2017-09-30,169.38,5.16,32.83,24.52,6.91,12.39,13.67,
2017-12-31,174.92,5.39,32.45,25.58,6.84,13.77,12.7,
2018-03-31,158.4,6.04,26.23,26.75,5.92,15.1,10.49,
2018-06-30,192.63,6.46,29.82,27.46,7.02,16.46,11.7,
2018-09-30,163.03,6.63,24.59,27.96,5.83,17.68,9.22,
2018-12-31,129.95,7.57,17.17,29.48,4.41,19.08,6.81,
2019-03-31,165.24,6.73,24.55,30.29,5.45,20.27,8.15,
2019-06-30,191.32,5.9,32.43,31.1,6.15,21.63,8.84,
2019-09-30,176.53,6.26,28.2,32.94,5.36,23.06,7.65,
2019-12-31,203.46,6.43,31.64,35.43,5.74,24.6,8.27,
2020-03-31,165.35,7.29,22.68,36.94,4.48,25.53,6.48,
2020-06-30,225.09,8.18,27.52,38.75,5.81,26.15,8.61,
2020-09-30,259.62,8.77,29.6,41.31,6.28,27.43,9.46,
2020-12-31,270.78,10.09,26.84,45.03,6.01,29.82,9.08,
2021-03-31,291.97,11.68,25.0,47.05,6.21,32.72,8.92,
2021-06-30,344.68,13.49,25.55,48.91,7.05,36.33,9.49,
2021-09-30,336.44,14.0,24.03,47.75,7.05,39.05,8.61,23.58
2021-12-31,333.42,13.77,24.21,45.56,7.32,41.11,8.11,24.69
2022-03-31,220.42,13.19,16.71,45.4,4.85,42.21,5.22,17.93
2022-06-30,159.85,12.04,13.28,46.63,3.43,42.73,3.74,13.63
2022-09-30,134.5,10.46,12.86,46.56,2.89,42.89,3.14,15.08
2022-12-31,119.29,8.59,13.89,48.09,2.48,43.02,2.77,16.39
2023-03-31,210.1,8.07,26.03,48.63,4.32,43.88,4.79,21.97
2023-06-30,284.48,8.59,33.12,52.09,5.46,45.5,6.25,22.41
2023-09-30,297.6,11.34,26.24,55.57,5.36,48.12,6.18,18.71
2023-12-31,350.88,14.87,23.6,59.81,5.87,51.47,6.82,20.78
2024-03-31,481.86,17.38,27.73,58.94,8.18,54.33,8.87,24.3
2024-06-30,500.86,19.56,25.61,61.89,8.09,57.04,8.78,24.73
2024-09-30,569.17,21.2,26.85,65.19,8.73,59.73,9.53,25.31
2024-12-31,582.63,23.86,24.42,72.07,8.08,62.98,9.25,23.96
2025-03-31,574.04,25.58,22.44,73.34,7.83,65.43,8.77,22.74
2025-06-30,735.68,27.56,26.69,77.53,9.49,68.95,10.67,28.95
2025-09-30,732.48,22.58,32.44,76.98,9.52,73.26,10.0,25.72
2025-12-31,658.92,23.49,28.05,85.87,7.67,78.02,8.45,22.59
2026-03-31,571.6,27.5,20.79,96.01,5.95,83.64,6.83,18.87
2026-06-30,563.29,26.54,21.22,102.52,5.49,88.85,6.34,17.16
2026-09-14,665.6,,25.08,,6.49,,7.49,
2026-09-15,,,,,,,,20.57
